    time    temp    dens
   6.91982299374067E-02   7.51683891882723E-01   1.19242202717409E+06
     nin     zin       y       x
  1    0     8.36521486924976E-01   8.36521486924976E-01
  0    1     3.49271042080662E-14   3.49271042080662E-14
  1    1     1.22989685951529E-12   2.45979371903057E-12
  2    1     1.04946542495731E-08   3.14839627487193E-08
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     1.07271001654488E-05   4.29084006617953E-05
  4    2     2.55072340147858E-07   1.53043404088715E-06
  3    3     6.64767487932444E-22   3.98860492759466E-21
  4    3     1.94490862580758E-15   1.36143603806530E-14
  5    3     2.65839540663762E-15   2.12671632531010E-14
  6    3     1.99814285410756E-07   1.79832856869680E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.94649151366278E-14   2.65184236229650E-13
  6    4     5.70229967466571E-13   5.70229967466571E-12
  7    4     1.81543013700526E-13   1.99697315070578E-12
  8    4     3.65289543590133E-06   4.38347452308160E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     3.26147193631015E-16   3.58761912994117E-15
  7    5     3.87581437802209E-14   4.65097725362650E-13
  8    5     6.56029792665084E-09   8.52838730464609E-08
  9    5     2.24193093482410E-06   3.13870330875373E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     6.63143218678470E-20   7.95771862414165E-19
  7    6     2.79996445204552E-17   3.63995378765918E-16
  8    6     4.87756423351036E-14   6.82858992691450E-13
  9    6     3.15459103722095E-13   4.73188655583143E-12
 10    6     1.61306939373171E-07   2.58091102997073E-06
 11    6     4.66883763919460E-06   7.93702398663082E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     3.15202597900761E-25   4.41283637061065E-24
  8    7     8.20966936292629E-17   1.23145040443894E-15
  9    7     6.97010369486855E-15   1.11521659117897E-13
 10    7     7.75357957105828E-14   1.31810852707991E-12
 11    7     6.98541523282849E-14   1.25737474190913E-12
 12    7     1.54360874050692E-14   2.93285660696315E-13
 13    7     3.81182788698821E-07   7.62365577397643E-06
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.50121035132898E-24   2.40193656212636E-23
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     8.45793877951361E-21   1.52242898031245E-19
 11    8     4.12182080393063E-17   7.83145952746820E-16
 12    8     2.12377089322842E-15   4.24754178645684E-14
 13    8     1.48907919686836E-13   3.12706631342355E-12
 14    8     3.34524399625130E-08   7.35953679175286E-07
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.89800404086845E-25   3.60620767765006E-24
 11    9     2.38152916064159E-25   4.76305832128319E-24
 12    9     8.75178333665251E-22   1.83787450069703E-20
 13    9     7.05542264065196E-17   1.55219298094343E-15
 14    9     3.92855575786054E-18   9.03567824307925E-17
 15    9     1.15237689886570E-17   2.76570455727768E-16
 16    9     1.62054792839968E-13   4.05136982099920E-12
 17    9     7.48774768402558E-11   1.94681439784665E-09
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.00000000000000E-99   1.00000000000000E-99
 13   10     9.10324949355736E-25   2.09374738351819E-23
 14   10     1.10580753388108E-22   2.65393808131460E-21
 15   10     3.45463106423878E-17   8.63657766059696E-16
 16   10     5.73704480191333E-17   1.49163164849747E-15
 17   10     9.86856355774622E-18   2.66451216059148E-16
 18   10     6.39160502139312E-17   1.78964940599007E-15
 19   10     4.46120942897051E-18   1.29375073440145E-16
 20   10     3.09567499852789E-17   9.28702499558368E-16
 21   10     1.29013122421693E-17   3.99940679507249E-16
 22   10     5.79686217287676E-11   1.85499589532056E-09
 23   10     1.11543559802617E-24   3.68093747348636E-23
 24   10     5.59119431852226E-20   1.90100606829757E-18
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
