    time    temp    dens
   2.85129685635656E+00   2.33857284282966E-01   1.70446324596135E+01
     nin     zin       y       x
  1    0     4.33449720751645E-10   4.33449720751645E-10
  0    1     1.49125848023216E-13   1.49125848023216E-13
  1    1     2.06505118659676E-15   4.13010237319352E-15
  2    1     1.65401235028097E-08   4.96203705084292E-08
  1    2     4.51691806873006E-16   1.35507542061902E-15
  2    2     2.68958243652016E-04   1.07583297460806E-03
  4    2     2.26804472925740E-08   1.36082683755444E-07
  3    3     9.27427092267655E-09   5.56456255360593E-08
  4    3     2.66453038261306E-09   1.86517126782914E-08
  5    3     5.17642525079794E-13   4.14114020063835E-12
  6    3     5.88195024134450E-08   5.29375521721005E-07
  3    4     4.18264818215696E-18   2.92785372750988E-17
  5    4     1.09093510879965E-06   9.81841597919682E-06
  6    4     7.61588766045545E-07   7.61588766045545E-06
  7    4     2.46443141512029E-13   2.71087455663232E-12
  8    4     1.87040486089433E-20   2.24448583307320E-19
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.06738996849223E-13   1.06738996849223E-12
  6    5     2.29065703548580E-08   2.51972273903437E-07
  7    5     4.36179664014499E-14   5.23415596817399E-13
  8    5     9.39068993361555E-17   1.22078969137002E-15
  9    5     1.73915409789917E-25   2.43481573705883E-24
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77236507457565E-07   5.72683808949078E-06
  7    6     1.65633342649067E-08   2.15323345443787E-07
  8    6     1.14099541404301E-08   1.59739357966022E-07
  9    6     3.56309305946825E-11   5.34463958920237E-10
 10    6     1.46898958164360E-06   2.35038333062977E-05
 11    6     1.28866229265224E-12   2.19072589750881E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     7.68211752218732E-20   9.98675277884352E-19
  7    7     1.87331738888270E-11   2.62264434443578E-10
  8    7     5.88763082713442E-06   8.83144624070162E-05
