    time    temp    dens
   2.87607426686482E+01   2.38493360307728E-02   1.66078975661884E-02
     nin     zin       y       x
  1    0     2.79302197310693E-10   2.79302197310693E-10
  0    1     6.91553316335614E-12   6.91553316335614E-12
  1    1     2.59393147037419E-16   5.18786294074838E-16
  2    1     2.55983775059650E-08   7.67951325178949E-08
  1    2     1.49028141752023E-15   4.47084425256070E-15
  2    2     2.69021913277267E-04   1.07608765310907E-03
  4    2     1.08062904301584E-17   6.48377425809506E-17
  3    3     1.66473557682811E-08   9.98841346096864E-08
  4    3     2.74849287205504E-09   1.92394501043853E-08
  5    3     1.06099242756568E-16   8.48793942052545E-16
  6    3     9.31824090338757E-25   8.38641681304881E-24
  3    4     9.11073533871532E-21   6.37751473710072E-20
  5    4     1.14965362927119E-06   1.03468826634407E-05
  6    4     7.61595735562074E-07   7.61595735562074E-06
  7    4     6.42983261561835E-13   7.07281587718018E-12
  8    4     3.30747613078363E-23   3.96897135694036E-22
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.94607396432237E-15   7.94607396432237E-14
  6    5     2.30423726738651E-08   2.53466099412516E-07
  7    5     2.45030094243039E-18   2.94036113091646E-17
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77250198521800E-07   5.72700238226160E-06
  7    6     1.65673663478511E-08   2.15375762522064E-07
  8    6     1.17670797993546E-08   1.64739117190964E-07
  9    6     2.60802886428367E-14   3.91204329642551E-13
 10    6     1.58829789334580E-16   2.54127662935328E-15
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.94029964154460E-20   6.42238953400798E-19
  7    7     1.86983893415257E-11   2.61777450781360E-10
  8    7     7.34194844130398E-06   1.10129226619560E-04
  9    7     9.28495342999341E-09   1.48559254879894E-07
 10    7     3.85185922562634E-10   6.54816068356478E-09
 11    7     1.88505008194232E-20   3.39309014749618E-19
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.46552170056386E-24   2.19828255084579E-23
  8    8     1.51188250719681E-07   2.41901201151489E-06
  9    8     2.86618097133539E-09   4.87250765127017E-08
 10    8     1.81507306695472E-08   3.26713152051849E-07
 11    8     2.82865037079275E-07   5.37443570450623E-06
 12    8     2.60092014307477E-07   5.20184028614954E-06
 13    8     9.10032205892051E-10   1.91106763237331E-08
 14    8     1.94461186557442E-09   4.27814610426373E-08
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     2.14885827967199E-24   3.65305907544238E-23
  9    9     1.47186806813298E-23   2.64936252263936E-22
 10    9     2.88834204828891E-07   5.48784989174893E-06
 11    9     3.13984391114471E-07   6.27968782228941E-06
 12    9     8.58127010194218E-09   1.80206672140786E-07
 13    9     2.00917486308793E-07   4.42018469879346E-06
 14    9     4.79943098055124E-13   1.10386912552679E-11
 15    9     1.40415221785985E-22   3.36996532286365E-21
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     4.84436178102659E-07   9.68872356205318E-06
 11   10     2.30185745781228E-07   4.83390066140578E-06
 12   10     8.41771304484241E-06   1.85189686986533E-04
 13   10     2.07216508135394E-09   4.76597968711407E-08
 14   10     1.95726086323982E-08   4.69742607177556E-07
 15   10     1.04779037445554E-17   2.61947593613885E-16
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     2.25034894609058E-21   4.95076768139928E-20
 12   11     1.22876036869385E-09   2.82614884799585E-08
 13   11     1.91867051647941E-09   4.60480923955059E-08
 14   11     4.78482084398884E-08   1.19620521099721E-06
 15   11     1.17086931210684E-13   3.04426021147777E-12
 16   11     1.03839042012606E-19   2.80365413434037E-18
 17   11     1.00000000000000E-99   1.00000000000000E-99
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
 20   11     1.00000000000000E-99   1.00000000000000E-99
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
