    time    temp    dens
   5.70166301119722E-04   2.40889322568253E+00   6.23849939384225E+11
     nin     zin       y       x
  1    0     8.78672202310794E-01   8.78672202310794E-01
  0    1     6.80751686418250E-20   6.80751686418250E-20
  1    1     8.96299082608003E-19   1.79259816521601E-18
  2    1     6.92630398711907E-12   2.07789119613572E-11
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     3.61983591378093E-12   1.44793436551237E-11
  4    2     3.81902255007544E-08   2.29141353004526E-07
  3    3     1.00000000000000E-99   1.00000000000000E-99
  4    3     2.62000918462569E-24   1.83400642923798E-23
  5    3     5.47079306891692E-22   4.37663445513354E-21
  6    3     1.20567468289791E-12   1.08510721460812E-11
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     3.80298176411771E-22   3.42268358770594E-21
  6    4     1.47724652481020E-20   1.47724652481020E-19
  7    4     2.61279110217415E-18   2.87407021239156E-17
  8    4     3.86084421891324E-11   4.63301306269589E-10
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     1.00000000000000E-99   1.00000000000000E-99
  7    5     6.61918862713294E-25   7.94302635255953E-24
  8    5     5.11957652408094E-17   6.65544948130523E-16
  9    5     5.66712159661705E-14   7.93397023526387E-13
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.00000000000000E-99   1.00000000000000E-99
  7    6     1.00000000000000E-99   1.00000000000000E-99
  8    6     1.00000000000000E-99   1.00000000000000E-99
  9    6     1.33651268835269E-25   2.00476903252903E-24
 10    6     5.07864688993740E-18   8.12583502389983E-17
 11    6     5.71211847751521E-15   9.71060141177586E-14
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     1.00000000000000E-99   1.00000000000000E-99
  9    7     1.00000000000000E-99   1.00000000000000E-99
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.20615092509089E-23   2.29168675767270E-22
 13    7     1.74721155270609E-18   3.49442310541218E-17
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
