    time    temp    dens
   1.26877492053479E+00   5.12388183085567E-01   1.93446639671249E+02
     nin     zin       y       x
  1    0     1.00328686303033E-07   1.00328686303033E-07
  0    1     3.65707320040972E-13   3.65707320040972E-13
  1    1     1.82317781463338E-13   3.64635562926676E-13
  2    1     4.30589865852320E-09   1.29176959755696E-08
  1    2     1.64497467759331E-19   4.93492403277993E-19
  2    2     2.69972695466291E-04   1.07989078186516E-03
  4    2     8.89017173643613E-08   5.33410304186168E-07
  3    3     1.68206679205033E-11   1.00924007523020E-10
  4    3     1.26781205349614E-09   8.87468437447298E-09
  5    3     3.49674003355468E-13   2.79739202684374E-12
  6    3     1.20297301343967E-06   1.08267571209570E-05
  3    4     9.64819512862729E-20   6.75373659003911E-19
  5    4     2.38325407505196E-07   2.14492866754676E-06
  6    4     7.64547868542644E-07   7.64547868542644E-06
  7    4     4.32488082733168E-16   4.75736891006484E-15
  8    4     2.52377395661899E-11   3.02852874794278E-10
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     5.06819367523019E-16   5.06819367523019E-15
  6    5     5.31262094098239E-09   5.84388303508063E-08
  7    5     2.93339154567189E-10   3.52006985480627E-09
  8    5     3.79162863100551E-11   4.92911722030716E-10
  9    5     3.37801995182848E-16   4.72922793255987E-15
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.90723055480762E-07   2.28867666576915E-06
  7    6     1.39073857515785E-08   1.80796014770521E-07
  8    6     8.79718039083305E-09   1.23160525471663E-07
  9    6     4.89355662600309E-11   7.34033493900464E-10
 10    6     6.34732999308600E-06   1.01557279889376E-04
 11    6     1.27575193402909E-12   2.16877828784946E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.39948486626029E-19   1.81933032613838E-18
  7    7     5.88004821900238E-12   8.23206750660334E-11
  8    7     1.01734060561027E-06   1.52601090841541E-05
  9    7     5.70061452313895E-08   9.12098323702233E-07
 10    7     3.62702992590153E-08   6.16595087403260E-07
 11    7     1.74890029389242E-08   3.14802052900636E-07
 12    7     2.88703353890186E-09   5.48536372391354E-08
 13    7     7.00674719416144E-07   1.40134943883229E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     2.16703107318315E-24   3.25054660977472E-23
  8    8     1.54643585367181E-09   2.47429736587490E-08
  9    8     6.16900500380473E-11   1.04873085064680E-09
 10    8     3.18843860693740E-09   5.73918949248732E-08
 11    8     2.87330487956018E-07   5.45927927116434E-06
 12    8     6.36347650847672E-07   1.27269530169534E-05
 13    8     2.29449168321340E-07   4.81843253474813E-06
 14    8     8.21295494496089E-06   1.80685008789140E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.68357058150460E-24   2.86206998855781E-23
  9    9     4.30744521506319E-21   7.75340138711375E-20
 10    9     3.22880449710107E-10   6.13472854449204E-09
 11    9     1.87582260969954E-09   3.75164521939908E-08
 12    9     9.65284890555852E-09   2.02709827016729E-07
 13    9     4.43921803756045E-07   9.76627968263299E-06
 14    9     2.05566336252106E-09   4.72802573379845E-08
 15    9     2.37552305776501E-09   5.70125533863604E-08
 16    9     2.02795224909022E-08   5.06988062272554E-07
 17    9     4.74722131724067E-13   1.23427754248257E-11
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     5.58783803560223E-12   1.11756760712045E-10
 11   10     8.47372669423411E-11   1.77948260578916E-09
 12   10     6.08282624325130E-09   1.33822177351529E-07
 13   10     5.09893307908951E-10   1.17275460819059E-08
 14   10     1.43995987693219E-08   3.45590370463725E-07
 15   10     4.64200334141803E-08   1.16050083535451E-06
 16   10     2.59500392165086E-09   6.74701019629224E-08
 17   10     1.52344659897873E-11   4.11330581724256E-10
 18   10     5.50527101671830E-12   1.54147588468112E-10
 19   10     7.52114816560531E-14   2.18113296802554E-12
 20   10     5.42880338859694E-16   1.62864101657908E-14
 21   10     8.34361275833438E-20   2.58651995508366E-18
 22   10     1.48470945815614E-22   4.75107026609965E-21
