    time    temp    dens
   1.46011814128534E-02   1.51123903447937E-01   1.26926105835832E+08
     nin     zin       y       x
  1    0     8.73487115330940E-01   8.73487115330940E-01
  0    1     2.45168164951440E-16   2.45168164951440E-16
  1    1     2.99498206522635E-14   5.98996413045270E-14
  2    1     3.34927134807232E-09   1.00478140442169E-08
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     4.17405699302048E-07   1.66962279720819E-06
  4    2     2.67407415913713E-07   1.60444449548228E-06
  3    3     1.24021296427621E-23   7.44127778565725E-23
  4    3     2.43479943876073E-19   1.70435960713251E-18
  5    3     4.82112820661530E-19   3.85690256529224E-18
  6    3     1.18886648318195E-09   1.06997983486376E-08
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.46625460452818E-15   1.31962914407536E-14
  6    4     4.09751404421608E-15   4.09751404421608E-14
  7    4     4.92678854835634E-15   5.41946740319198E-14
  8    4     2.53615696880685E-06   3.04338836256822E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     7.82146189071335E-19   8.60360807978469E-18
  7    5     4.21743049661533E-16   5.06091659593840E-15
  8    5     9.85867205804911E-14   1.28162736754638E-12
  9    5     4.85653337847377E-07   6.79914672986328E-06
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.02569433491042E-25   1.23083320189250E-24
  7    6     3.86753994186800E-23   5.02780192442839E-22
  8    6     4.23935199509752E-16   5.93509279313652E-15
  9    6     3.04901304414314E-15   4.57351956621471E-14
 10    6     4.39156862077557E-15   7.02650979324091E-14
 11    6     1.35756769337543E-07   2.30786507873823E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     1.17557829591710E-25   1.76336744387566E-24
  9    7     6.78530733291658E-18   1.08564917326665E-16
 10    7     9.99993611806177E-17   1.69998914007050E-15
 11    7     9.00922117648261E-17   1.62165981176687E-15
 12    7     1.88958761443517E-17   3.59021646742682E-16
 13    7     1.76430761557888E-09   3.52861523115776E-08
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.00000000000000E-99   1.00000000000000E-99
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     1.00000000000000E-99   1.00000000000000E-99
