    time    temp    dens
   6.27646452036836E+03   1.00000000000000E-02   1.59797401179369E-09
     nin     zin       y       x
  1    0     1.38242800492048E-09   1.38242800492048E-09
  0    1     3.47463227057744E-06   3.47463227057744E-06
  1    1     8.71269334106365E-10   1.74253866821273E-09
  2    1     3.27785961406102E-08   9.83357884218306E-08
  1    2     3.30039890603226E-13   9.90119671809679E-13
  2    2     2.88434760310839E-04   1.15373904124336E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     2.03479395571179E-23   1.22087637342708E-22
  4    3     2.90866704792977E-09   2.03606693355084E-08
  5    3     5.05836031727995E-23   4.04668825382396E-22
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.18021071818627E-06   1.06218964636764E-05
  6    4     7.85770999713157E-07   7.85770999713157E-06
  7    4     1.53094135714988E-20   1.68403549286487E-19
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.08759660403705E-17   7.08759660403705E-16
  6    5     2.20083918592466E-08   2.42092310451713E-07
  7    5     1.03293771779352E-24   1.23952526135222E-23
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.31203347120684E-07   5.17444016544820E-06
  7    6     1.98741804295062E-08   2.58364345583581E-07
  8    6     1.26453682431860E-08   1.77035155404604E-07
  9    6     1.87427173177235E-24   2.81140759765853E-23
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     4.24973565010653E-12   5.94962991014914E-11
  8    7     6.80534843931679E-06   1.02080226589752E-04
  9    7     4.53829077658064E-21   7.26126524252903E-20
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.70265537769070E-07   2.72424860430513E-06
  9    8     2.81556907253150E-09   4.78646742330355E-08
 10    8     1.83074904302400E-08   3.29534827744321E-07
 11    8     7.26544355214902E-23   1.38043427490831E-21
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     4.53951213282322E-07   8.62507305236412E-06
 11    9     2.07435766875082E-22   4.14871533750165E-21
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
