#                               Top nuclear energy producers for each reaction given in erg/g/s                                                                                                                                                                                                                                                                                                                                                                                                                                                  Top nuclear energy consumers for each reaction given in erg/g/s                                                                                                                                                                                                                                                                                                                                                                                                                             |     Top nuclear energy producers for each isotope given in erg/g/s                                                                                                                                                                                         Top nuclear energy consumers for each isotope given in erg/g/s
#    Time[s]   Etot[erg/g/s]    Reaction_1                       Reaction_2                       Reaction_3                       Reaction_4                       Reaction_5                       Reaction_6                       Reaction_7                       Reaction_8                       Reaction_9                       Reaction_10                           Ereac_1        Ereac_2        Ereac_3        Ereac_4        Ereac_5        Ereac_6        Ereac_7        Ereac_8        Ereac_9        Ereac_10         Reaction_1                       Reaction_2                       Reaction_3                       Reaction_4                       Reaction_5                       Reaction_6                       Reaction_7                       Reaction_8                       Reaction_9                       Reaction_10                          Ereac_1        Ereac_2        Ereac_3        Ereac_4        Ereac_5        Ereac_6        Ereac_7        Ereac_8        Ereac_9        Ereac_10         |      Iso1    Iso2    Iso3    Iso4    Iso5    Iso6    Iso7    Iso8    Iso9   Iso10        Eiso_1         Eiso_2         Eiso_3         Eiso_4         Eiso_5         Eiso_6         Eiso_7         Eiso_8         Eiso_9         Eiso_10           Iso1    Iso2    Iso3    Iso4    Iso5    Iso6    Iso7    Iso8    Iso9   Iso10        Eiso_1         Eiso_2         Eiso_3         Eiso_4         Eiso_5         Eiso_6         Eiso_7         Eiso_8         Eiso_9         Eiso_10
  2.3257E-05      0.0000E+00    p + p => d                       p + p => d                       f25 => n + ne24                  mn73 => n + n + fe71             s46 => n + cl45                  br105 => n + n + kr103           s46 => cl46                      se102 => n + n + br100           f25 => ne25                      br105 => n + kr104                   -4.9739E-15    -4.9739E-15    -1.0654E-06    -1.1042E-06    -1.1057E-06    -1.2592E-06    -1.4828E-06    -1.5083E-06    -1.5472E-06    -1.6594E-06       n => p                           se118 => n + br117               se118 => n + n + br116           se117 => n + br116               se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + cu97                 ni98 => n + n + cu96             ge111 => n + n + as109           as114 => n + n + se112              -6.6325E+17    -1.1503E+16    -1.1031E+16    -1.4374E+15    -1.3186E+15    -6.2169E+14    -4.9308E+14    -4.7683E+14    -3.6475E+14    -2.9874E+14       |     -----   -----   -----   -----   -----   -----   -----   -----   -----   -----        0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00       -----   -----   -----   -----   -----   -----   -----   -----   -----   -----        0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  2.3257E-05      4.9480E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7272E-53     8.7059E-52     4.1341E-18     5.8180E-17     4.6461E-11     1.2713E-07     8.8209E-07     2.1324E-06     3.4530E-06     3.6460E-06       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.8718E+20     8.9405E+19     4.9927E+19     3.1680E+19     2.3178E+19     2.1135E+19     1.8060E+19     1.5172E+19     1.3792E+19     8.0774E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7149E+20    -8.1887E+19    -7.3943E+19    -1.3747E+19    -1.2653E+19    -7.4217E+18    -2.7870E+18    -1.2177E+18    -1.0458E+18    -2.6375E+17
  2.3257E-05      5.7974E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7272E-53     8.7059E-52     4.1341E-18     5.8180E-17     4.6461E-11     1.2713E-07     8.8209E-07     2.1324E-06     3.4530E-06     3.6460E-06       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9397E+20     8.9212E+19     4.9741E+19     3.1982E+19     2.2429E+19     2.1829E+19     1.8223E+19     1.5960E+19     1.3816E+19     8.0767E+18       se118   se117   as115   se116   as114       n   br119   se115   br118   br117       -3.7555E+20    -8.3480E+19    -7.4115E+19    -1.3238E+19    -8.0974E+18    -6.3600E+18    -2.7969E+18    -1.2131E+18    -1.0800E+18    -2.6667E+17
  2.3257E-05      5.1359E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7272E-53     8.7059E-52     4.1341E-18     5.8180E-17     4.6461E-11     1.2713E-07     8.8209E-07     2.1324E-06     3.4530E-06     3.6460E-06       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9389E+20     8.9181E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0738E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7543E+20    -8.3458E+19    -7.4123E+19    -1.3234E+19    -1.2953E+19    -8.0967E+18    -2.7952E+18    -1.2127E+18    -1.0795E+18    -2.6658E+17
  2.3257E-05      5.1348E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7272E-53     8.7059E-52     4.1341E-18     5.8180E-17     4.6461E-11     1.2713E-07     8.8209E-07     2.1324E-06     3.4530E-06     3.6460E-06       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9388E+20     8.9181E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0738E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7543E+20    -8.3459E+19    -7.4123E+19    -1.3234E+19    -1.2960E+19    -8.0967E+18    -2.7952E+18    -1.2127E+18    -1.0795E+18    -2.6658E+17
  2.3257E-05      5.1362E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7272E-53     8.7059E-52     4.1341E-18     5.8180E-17     4.6461E-11     1.2713E-07     8.8209E-07     2.1324E-06     3.4530E-06     3.6460E-06       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9389E+20     8.9181E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0738E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7543E+20    -8.3458E+19    -7.4123E+19    -1.3234E+19    -1.2948E+19    -8.0967E+18    -2.7952E+18    -1.2127E+18    -1.0795E+18    -2.6658E+17
  2.3257E-05      5.1357E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7271E-53     8.7058E-52     4.1340E-18     5.8179E-17     4.6460E-11     1.2713E-07     8.8209E-07     2.1324E-06     3.4529E-06     3.6460E-06       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9389E+20     8.9181E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0738E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7543E+20    -8.3458E+19    -7.4123E+19    -1.3234E+19    -1.2952E+19    -8.0967E+18    -2.7952E+18    -1.2127E+18    -1.0795E+18    -2.6658E+17
  2.3257E-05      5.1356E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7271E-53     8.7057E-52     4.1340E-18     5.8177E-17     4.6459E-11     1.2713E-07     8.8209E-07     2.1323E-06     3.4529E-06     3.6460E-06       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9389E+20     8.9181E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0737E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7543E+20    -8.3459E+19    -7.4123E+19    -1.3234E+19    -1.2953E+19    -8.0967E+18    -2.7952E+18    -1.2127E+18    -1.0795E+18    -2.6658E+17
  2.3258E-05      5.1356E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5290E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7271E-53     8.7054E-52     4.1338E-18     5.8174E-17     4.6456E-11     1.2712E-07     8.8208E-07     2.1323E-06     3.4529E-06     3.6460E-06       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9389E+20     8.9180E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0737E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7543E+20    -8.3459E+19    -7.4123E+19    -1.3234E+19    -1.2952E+19    -8.0966E+18    -2.7952E+18    -1.2127E+18    -1.0796E+18    -2.6658E+17
  2.3258E-05      5.1361E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5289E+17     4.2493E+17     3.5114E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p44 => s44                       al39 => si39                     be10 => b10                      p + p => d                       p + p => d                       c16 => n16                       fe76 => n + n + co74             f25 => n + ne24                  ar52 => n + n + k50              mo128 => n + tc127                   1.7270E-53     8.7050E-52     4.1335E-18     5.8167E-17     4.6451E-11     1.2711E-07     8.8207E-07     2.1321E-06     3.4527E-06     3.6460E-06       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9389E+20     8.9180E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0735E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7543E+20    -8.3459E+19    -7.4122E+19    -1.3234E+19    -1.2948E+19    -8.0966E+18    -2.7952E+18    -1.2127E+18    -1.0796E+18    -2.6658E+17
