    time    temp    dens
   8.52650577042211E-01   6.34847407868134E-01   6.37384760656956E+02
     nin     zin       y       x
  1    0     2.57683447648943E-01   2.57683447648943E-01
  0    1     6.14608843625461E-11   6.14608843625461E-11
  1    1     1.73542196221838E-09   3.47084392443677E-09
  2    1     1.65410598907744E-07   4.96231796723231E-07
  1    2     8.79852597990408E-20   2.63955779397122E-19
  2    2     2.44526860343000E-04   9.78107441372001E-04
  4    2     7.34697340638913E-12   4.40818404383348E-11
  3    3     3.11514467032495E-22   1.86908680219497E-21
  4    3     1.60479675153927E-12   1.12335772607749E-11
  5    3     2.43169046697616E-12   1.94535237358093E-11
  6    3     2.34332774582216E-06   2.10899497123994E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.35166563773735E-11   1.21649907396361E-10
  6    4     1.47724270581217E-07   1.47724270581217E-06
  7    4     5.66006988792452E-11   6.22607687671697E-10
  8    4     1.13922106223755E-07   1.36706527468506E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     9.02796953184742E-14   9.93076648503216E-13
  7    5     7.99041108394873E-12   9.58849330073848E-11
  8    5     3.93164372133382E-08   5.11113683773396E-07
  9    5     4.46187828375187E-08   6.24662959725262E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.58774804274541E-15   1.90529765129450E-14
  7    6     1.26200008381638E-12   1.64060010896130E-11
  8    6     1.17071739263220E-11   1.63900434968509E-10
  9    6     7.44188449036959E-11   1.11628267355544E-09
 10    6     5.69591924527733E-06   9.11347079244373E-05
 11    6     2.82744156654602E-07   4.80665066312823E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     2.05310330609468E-21   2.87434462853255E-20
  8    7     2.07907962562007E-11   3.11861943843011E-10
  9    7     5.08505800715165E-11   8.13609281144264E-10
 10    7     2.07587909840799E-10   3.52899446729358E-09
 11    7     1.86974678421470E-10   3.36554421158647E-09
 12    7     3.92811682830603E-11   7.46342197378145E-10
 13    7     1.31448955350455E-06   2.62897910700911E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     2.25272579870234E-17   3.60436127792375E-16
  9    8     1.69487024312218E-19   2.88127941330771E-18
 10    8     4.36928143454764E-16   7.86470658218576E-15
 11    8     7.98191766881617E-13   1.51656435707507E-11
 12    8     5.26642925178592E-11   1.05328585035718E-09
 13    8     3.67661248488622E-09   7.72088621826105E-08
 14    8     3.78806430061004E-06   8.33374146134208E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.01031303712037E-20   1.91959477052870E-19
 11    9     7.31321718023736E-20   1.46264343604747E-18
 12    9     5.06513574746863E-14   1.06367850696841E-12
