    time    temp    dens
   1.17923529062985E+00   5.48701431866327E-01   2.40942572783268E+02
     nin     zin       y       x
  1    0     5.21355484453146E-07   5.21355484453146E-07
  0    1     1.11578130880744E-12   1.11578130880744E-12
  1    1     1.30886684019228E-10   2.61773368038455E-10
  2    1     5.36773132608907E-11   1.61031939782672E-10
  1    2     2.01478774823179E-16   6.04436324469536E-16
  2    2     2.60702464094472E-04   1.04280985637789E-03
  4    2     5.53906565973173E-12   3.32343939583904E-11
  3    3     5.77193774242296E-15   3.46316264545378E-14
  4    3     2.67997991462094E-10   1.87598594023466E-09
  5    3     2.17361127115348E-13   1.73888901692278E-12
  6    3     1.36910176123752E-06   1.23219158511377E-05
  3    4     6.00855818011560E-21   4.20599072608092E-20
  5    4     1.40568338871231E-07   1.26511504984108E-06
  6    4     7.30873526570935E-07   7.30873526570935E-06
  7    4     1.13380683680190E-15   1.24718752048209E-14
  8    4     3.62354072691239E-10   4.34824887229487E-09
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.37053554413845E-19   1.37053554413845E-18
  6    5     3.19527453775938E-10   3.51480199153532E-09
  7    5     1.11267644868755E-09   1.33521173842506E-08
  8    5     4.92327950742127E-10   6.40026335964765E-09
  9    5     8.55483711105635E-15   1.19767719554789E-13
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     7.62965649500523E-08   9.15558779400627E-07
  7    6     1.13490592676275E-08   1.47537770479158E-07
  8    6     8.07720136433565E-09   1.13080819100699E-07
  9    6     5.70955515145120E-11   8.56433272717680E-10
 10    6     4.77671895033328E-06   7.64275032053325E-05
 11    6     1.86279411070971E-12   3.16674998820650E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     5.19233417091191E-20   6.75003442218548E-19
  7    7     3.69415769753487E-13   5.17182077654882E-12
  8    7     3.55064170799039E-07   5.32596256198559E-06
  9    7     3.46057797697120E-08   5.53692476315392E-07
 10    7     2.50225299791071E-08   4.25383009644821E-07
 11    7     1.30262379719338E-08   2.34472283494808E-07
 12    7     2.32773253496954E-09   4.42269181644212E-08
 13    7     7.19020402221155E-07   1.43804080444231E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     4.47635593345713E-10   7.16216949353141E-09
  9    8     9.45042415780053E-12   1.60657210682609E-10
 10    8     1.07294566153720E-09   1.93130219076697E-08
 11    8     9.58510720540281E-08   1.82117036902653E-06
 12    8     2.74120311671747E-07   5.48240623343494E-06
 13    8     1.51884362888187E-07   3.18957162065194E-06
 14    8     4.72796027341905E-06   1.04015126015219E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     4.36988844073613E-25   7.42881034925143E-24
  9    9     9.00301423058454E-23   1.62054256150522E-21
 10    9     2.90412106548232E-11   5.51783002441641E-10
 11    9     2.29422643539416E-10   4.58845287078832E-09
 12    9     3.18281497373269E-09   6.68391144483865E-08
 13    9     1.30618535595858E-07   2.87360778310888E-06
 14    9     1.12688296738576E-09   2.59183082498725E-08
 15    9     1.51352098233342E-09   3.63245035760020E-08
 16    9     2.40079841917525E-08   6.00199604793813E-07
 17    9     8.52972112490475E-13   2.21772749247524E-11
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     2.78167000908320E-13   5.56334001816640E-12
 11   10     8.65954759595772E-12   1.81850499515112E-10
 12   10     8.36633719706820E-10   1.84059418335500E-08
 13   10     1.70308563546728E-10   3.91709696157473E-09
 14   10     5.21651812436124E-09   1.25196434984670E-07
 15   10     1.93185317390269E-08   4.82963293475672E-07
 16   10     1.88165003609566E-09   4.89229009384872E-08
 17   10     4.87226425469903E-11   1.31551134876874E-09
 18   10     6.13247060783370E-11   1.71709177019343E-09
 19   10     1.86008964320178E-12   5.39425996528517E-11
 20   10     3.06262166783829E-13   9.18786500351487E-12
 21   10     4.43413729582018E-16   1.37458256170426E-14
 22   10     2.53631703217800E-16   8.11621450296961E-15
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     8.85939301094491E-24   1.94906646240788E-22
 12   11     4.47443167102991E-14   1.02911928433688E-12
 13   11     2.82861866137115E-13   6.78868478729075E-12
 14   11     5.54313004373195E-10   1.38578251093299E-08
 15   11     3.82112639941117E-10   9.93492863846904E-09
 16   11     7.39747415341441E-10   1.99731802142189E-08
 17   11     1.65147071979680E-10   4.62411801543105E-09
 18   11     2.95565476654213E-10   8.57139882297219E-09
 19   11     4.80338027061779E-11   1.44101408118534E-09
 20   11     6.45876160933472E-11   2.00221609889376E-09
 21   11     1.75757423428270E-10   5.62423754970464E-09
 22   11     9.32545777345110E-16   3.07740106523886E-14
 23   11     3.60928449565636E-19   1.22715672852316E-17
 24   11     5.33016467689262E-22   1.86555763691242E-20
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     3.38961572762029E-20   8.13507774628869E-19
 13   12     3.48052691873848E-14   8.70131729684620E-13
 14   12     6.54066620119587E-12   1.70057321231093E-10
 15   12     2.68905773832696E-11   7.26045589348278E-10
 16   12     2.89769820402687E-10   8.11355497127523E-09
 17   12     2.33173032945284E-10   6.76201795541324E-09
 18   12     1.07109085217741E-09   3.21327255653223E-08
 19   12     8.18354368689807E-10   2.53689854293840E-08
 20   12     5.06709562098108E-09   1.62147059871395E-07
 21   12     8.01983905613294E-10   2.64654688852387E-08
 22   12     1.69590922576631E-09   5.76609136760546E-08
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     2.07661674061770E-21   7.47582026622373E-20
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.00000000000000E-99   1.00000000000000E-99
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.00000000000000E-99   1.00000000000000E-99
 14   13     2.59741485065103E-16   7.01302009675778E-15
 15   13     1.42859598823113E-16   4.00006876704717E-15
 16   13     2.39028140431206E-12   6.93181607250498E-11
 17   13     4.21612386024695E-11   1.26483715807409E-09
 18   13     2.71608239036261E-10   8.41985541012410E-09
 19   13     7.94108535178170E-10   2.54114731257014E-08
 20   13     3.18548303402705E-09   1.05120940122893E-07
 21   13     2.05849508565464E-09   6.99888329122576E-08
 22   13     4.96491241468205E-09   1.73771934513872E-07
 23   13     3.38507693342022E-10   1.21862769603128E-08
 24   13     8.75121153360514E-11   3.23794826743390E-09
 25   13     1.64963634458699E-14   6.26861810943058E-13
 26   13     4.31921162161922E-12   1.68449253243150E-10
 27   13     1.00000000000000E-99   1.00000000000000E-99
 28   13     1.27576222827547E-22   5.23062513592942E-21
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
