    time    temp    dens
   2.45582256014083E+03   1.00000000000000E-02   2.66762017091732E-08
     nin     zin       y       x
  1    0     1.97401313746182E-10   1.97401313746182E-10
  0    1     1.66486956597795E-09   1.66486956597795E-09
  1    1     9.43321881486579E-11   1.88664376297316E-10
  2    1     2.41170801981099E-12   7.23512405943298E-12
  1    2     1.42081662565635E-14   4.26244987696904E-14
  2    2     2.79032380264424E-04   1.11612952105770E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.04943106256993E-12   6.29658637541956E-12
  4    3     2.59255442668536E-10   1.81478809867975E-09
  5    3     1.07582110579530E-23   8.60656884636237E-23
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     5.58793979525022E-20   3.91155785667515E-19
  5    4     1.12628024160288E-06   1.01365221744259E-05
  6    4     7.32045963743355E-07   7.32045963743355E-06
  7    4     3.45911511358602E-20   3.80502662494462E-19
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     2.98497319767760E-17   2.98497319767760E-16
  6    5     3.66604174592656E-10   4.03264592051922E-09
  7    5     1.00000000000000E-99   1.00000000000000E-99
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.55369689021741E-07   5.46443626826089E-06
  7    6     1.56720533115169E-08   2.03736693049719E-07
  8    6     1.03511530238510E-08   1.44916142333915E-07
  9    6     3.66797954719652E-24   5.50196932079477E-23
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     3.59126061838921E-21   4.66863880390597E-20
  7    7     1.56067828052465E-12   2.18494959273451E-11
  8    7     5.07935264912292E-06   7.61902897368438E-05
  9    7     8.14497424878340E-21   1.30319587980534E-19
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.11279005274008E-07   1.78046408438413E-06
  9    8     1.99582884365898E-09   3.39290903422027E-08
 10    8     1.25552444244295E-08   2.25994399639730E-07
 11    8     1.23065541066105E-22   2.33824528025599E-21
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     9.71917548424533E-25   1.74945158716416E-23
 10    9     3.80928505391652E-07   7.23764160244140E-06
 11    9     4.20679256379808E-22   8.41358512759616E-21
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     7.05187481950102E-07   1.41037496390020E-05
 11   10     1.59444353192272E-07   3.34833141703770E-06
 12   10     4.85907105883125E-06   1.06899563294288E-04
 13   10     1.15161697956785E-17   2.64871905300606E-16
