    time    temp    dens
   3.95035755730137E-02   2.84747920068656E-01   6.40922808265694E+06
     nin     zin       y       x
  1    0     8.62134500732290E-01   8.62134500732290E-01
  0    1     5.39864859520383E-15   5.39864859520383E-15
  1    1     4.32289833557365E-13   8.64579667114730E-13
  2    1     8.61469874522017E-09   2.58440962356605E-08
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     3.54993054302567E-06   1.41997221721027E-05
  4    2     2.61710956480995E-07   1.57026573888597E-06
  3    3     2.37239572821760E-22   1.42343743693056E-21
  4    3     4.27510499382548E-17   2.99257349567784E-16
  5    3     8.44631030857455E-17   6.75704824685964E-16
  6    3     1.82587091650712E-08   1.64328382485641E-07
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.96699487552192E-14   1.77029538796973E-13
  6    4     6.66629952162747E-14   6.66629952162747E-13
  7    4     8.01618919552368E-14   8.81780811507604E-13
  8    4     4.18118665489545E-06   5.01742398587454E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     3.42626527882344E-17   3.76889180670579E-16
  7    5     1.16136979373711E-14   1.39364375248453E-13
  8    5     1.72847059959069E-12   2.24701177946789E-11
  9    5     1.76409277480611E-06   2.46972988472855E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     5.45496996871992E-23   6.54596396246391E-22
  7    6     5.16952743231871E-21   6.72038566201432E-20
  8    6     1.67306400815436E-14   2.34228961141611E-13
  9    6     1.17889625584906E-13   1.76834438377359E-12
 10    6     1.69877977498192E-13   2.71804763997107E-12
 11    6     1.69366599683123E-06   2.87923219461308E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     4.92125872678071E-23   7.38188809017106E-22
  9    7     1.09093417155072E-15   1.74549467448115E-14
 10    7     1.32841505441604E-14   2.25830559250726E-13
 11    7     1.19680600307094E-14   2.15425080552768E-13
 12    7     2.51017229702725E-15   4.76932736435177E-14
 13    7     6.86959944111531E-08   1.37391988822306E-06
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.00000000000000E-99   1.00000000000000E-99
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     2.22035175652785E-24   3.99663316175012E-23
 11    8     8.26987882293928E-19   1.57127697635846E-17
 12    8     1.82383481155521E-16   3.64766962311041E-15
 13    8     1.27877989429083E-14   2.68543777801075E-13
 14    8     3.11284252442029E-09   6.84825355372464E-08
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.00000000000000E-99   1.00000000000000E-99
 11    9     1.00000000000000E-99   1.00000000000000E-99
 12    9     1.16416568817663E-23   2.44474794517093E-22
 13    9     3.10944146194009E-18   6.84077121626819E-17
 14    9     1.73137896561411E-19   3.98217162091246E-18
 15    9     5.07871408428342E-19   1.21889138022802E-17
 16    9     4.97821943168934E-19   1.24455485792234E-17
 17    9     4.73513069243225E-12   1.23113398003238E-10
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.00000000000000E-99   1.00000000000000E-99
 13   10     1.00000000000000E-99   1.00000000000000E-99
 14   10     1.00000000000000E-99   1.00000000000000E-99
 15   10     3.02872610457057E-20   7.57181526142642E-19
 16   10     3.70116796154942E-19   9.62303670002850E-18
 17   10     1.58371655699933E-20   4.27603470389820E-19
 18   10     1.30021983757948E-19   3.64061554522253E-18
 19   10     7.83284709491402E-21   2.27152565752507E-19
 20   10     7.12283974328991E-20   2.13685192298697E-18
 21   10     2.03644933279262E-20   6.31299293165713E-19
 22   10     9.90182979934141E-13   3.16858553578925E-11
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     2.35447339004281E-23   8.00520952614555E-22
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     1.00000000000000E-99   1.00000000000000E-99
 15   11     1.00000000000000E-99   1.00000000000000E-99
 16   11     1.00000000000000E-99   1.00000000000000E-99
 17   11     1.00000000000000E-99   1.00000000000000E-99
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     2.17306767673993E-23   6.51920303021979E-22
 20   11     8.28736435926948E-21   2.56908295137354E-19
 21   11     7.35115518967510E-20   2.35236966069603E-18
 22   11     2.05247774009141E-19   6.77317654230165E-18
 23   11     8.94323403640509E-21   3.04069957237773E-19
 24   11     3.19717580809527E-13   1.11901153283334E-11
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     1.00000000000000E-99   1.00000000000000E-99
 17   12     1.00000000000000E-99   1.00000000000000E-99
 18   12     1.00000000000000E-99   1.00000000000000E-99
 19   12     1.00000000000000E-99   1.00000000000000E-99
 20   12     1.00000000000000E-99   1.00000000000000E-99
 21   12     2.10621545157019E-22   6.95051099018163E-21
 22   12     5.46351217661359E-13   1.85759414004862E-11
 23   12     1.31723177571059E-21   4.61031121498707E-20
 24   12     9.43425901868188E-14   3.39633324672548E-12
 25   12     1.41119624479785E-23   5.22142610575206E-22
 26   12     8.50584994548692E-17   3.23222297928503E-15
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     4.27194115970230E-20   1.70877646388092E-18
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     7.14580685316219E-20   3.14415501539136E-18
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
