    time    temp    dens
   3.42533517446912E+00   1.95021494684896E-01   9.83118171862123E+00
     nin     zin       y       x
  1    0     2.92451193781972E-10   2.92451193781972E-10
  0    1     2.60228251102991E-13   2.60228251102991E-13
  1    1     1.55669693218522E-15   3.11339386437044E-15
  2    1     1.85370666709681E-08   5.56112000129044E-08
  1    2     7.85877715275132E-16   2.35763314582540E-15
  2    2     2.68964606965276E-04   1.07585842786110E-03
  4    2     1.38379859715590E-08   8.30279158293541E-08
  3    3     1.31725807215267E-08   7.90354843291604E-08
  4    3     2.71310379653784E-09   1.89917265757648E-08
  5    3     3.58062150238218E-13   2.86449720190574E-12
  6    3     1.98380367498274E-08   1.78542330748447E-07
  3    4     2.80143697523507E-18   1.96100588266455E-17
  5    4     1.12983099499239E-06   1.01684789549315E-05
  6    4     7.61591975199988E-07   7.61591975199988E-06
  7    4     8.75858531296737E-13   9.63444384426411E-12
  8    4     2.80844256437745E-20   3.37013107725294E-19
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     4.90345407024540E-14   4.90345407024540E-13
  6    5     2.30144947218122E-08   2.53159441939934E-07
  7    5     1.77299970354959E-14   2.12759964425950E-13
  8    5     2.72331298055032E-18   3.54030687471541E-17
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77249885286155E-07   5.72699862343386E-06
  7    6     1.65653082805176E-08   2.15349007646729E-07
  8    6     1.15782368476881E-08   1.62095315867634E-07
  9    6     3.03207227651792E-11   4.54810841477688E-10
 10    6     8.65001614623169E-07   1.38400258339707E-05
 11    6     2.51179417123415E-13   4.27005009109805E-12
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     6.81854116004457E-20   8.86410350805795E-19
  7    7     1.87192369470493E-11   2.62069317258690E-10
  8    7     6.48557532021316E-06   9.72836298031975E-05
  9    7     9.79387357455304E-08   1.56701977192849E-06
 10    7     2.50262443602364E-08   4.25446154124018E-07
 11    7     1.54561130775175E-09   2.78210035395314E-08
 12    7     3.39085020279688E-11   6.44261538531407E-10
 13    7     1.41607481613259E-11   2.83214963226517E-10
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     2.92055295603579E-24   4.38082943405368E-23
  8    8     3.04433406647012E-08   4.87093450635219E-07
  9    8     1.55039483742406E-09   2.63567122362090E-08
 10    8     1.68877290318293E-08   3.03979122572927E-07
 11    8     5.42928311925275E-07   1.03156379265802E-05
 12    8     9.51631701453603E-07   1.90326340290721E-05
 13    8     1.46238677313068E-07   3.07101222357444E-06
 14    8     4.20224610144044E-06   9.24494142316896E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     8.04125128712174E-24   1.36701271881070E-22
  9    9     8.85037355287395E-23   1.59306723951731E-21
 10    9     2.88745670031245E-08   5.48616773059366E-07
 11    9     1.00172775444684E-07   2.00345550889367E-06
 12    9     7.57031166884114E-08   1.58976545045664E-06
 13    9     3.58727222267614E-06   7.89199888988750E-05
 14    9     1.10903932044674E-09   2.55079043702751E-08
 15    9     5.11106377744793E-11   1.22665530658750E-09
 16    9     2.77702147475934E-16   6.94255368689835E-15
 17    9     4.80506786322813E-24   1.24931764443931E-22
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     6.87119980705987E-09   1.37423996141197E-07
 11   10     1.74617916030558E-08   3.66697623664172E-07
 12   10     8.31102609475182E-07   1.82842574084540E-05
 13   10     2.05637844427046E-09   4.72967042182205E-08
 14   10     2.12927072091106E-08   5.11024973018654E-07
 15   10     5.50999882383114E-09   1.37749970595779E-07
 16   10     1.42823970458119E-12   3.71342323191109E-11
 17   10     2.79391404381373E-20   7.54356791829708E-19
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     4.75575685576337E-21   1.04626650826794E-19
 12   11     6.05328835060144E-11   1.39225632063833E-09
 13   11     1.50985464875012E-10   3.62365115700029E-09
 14   11     5.88722742068395E-08   1.47180685517099E-06
 15   11     1.65958354635492E-09   4.31491722052280E-08
 16   11     1.98802509457018E-11   5.36766775533950E-10
 17   11     3.59564033908823E-17   1.00677929494470E-15
 18   11     5.82867842312357E-22   1.69031674270584E-20
 19   11     3.19209036784781E-24   9.57627110354343E-23
 20   11     1.00000000000000E-99   1.00000000000000E-99
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     2.03956197499172E-15   4.89494873998014E-14
 13   12     1.02011208634005E-09   2.55028021585012E-08
 14   12     4.17179624596638E-09   1.08466702395126E-07
 15   12     2.21694020078940E-09   5.98573854213138E-08
 16   12     1.28412537034760E-09   3.59555103697328E-08
 17   12     2.47185920473247E-10   7.16839169372416E-09
 18   12     2.28161865636740E-11   6.84485596910220E-10
 19   12     1.77280484234723E-12   5.49569501127642E-11
 20   12     3.10166844509863E-16   9.92533902431561E-15
 21   12     6.91128659772652E-17   2.28072457724975E-15
 22   12     9.00061792603248E-23   3.06021009485104E-21
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     1.00000000000000E-99   1.00000000000000E-99
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.00000000000000E-99   1.00000000000000E-99
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     8.21979659327849E-23   2.13714711425241E-21
 14   13     4.59459543719855E-12   1.24054076804361E-10
 15   13     1.02977136040849E-13   2.88335980914378E-12
 16   13     5.35396253220193E-10   1.55264913433856E-08
 17   13     1.40655785394075E-09   4.21967356182225E-08
 18   13     3.10150308248857E-10   9.61465955571457E-09
 19   13     2.71563117175184E-15   8.69001974960590E-14
 20   13     5.13539197600551E-17   1.69467935208182E-15
 21   13     5.23223426967756E-22   1.77895965169037E-20
 22   13     1.34943277828937E-25   4.72301472401278E-24
 23   13     2.82170184769864E-17   1.01581266517151E-15
 24   13     6.10558956342756E-23   2.25906813846820E-21
 25   13     1.00000000000000E-99   1.00000000000000E-99
 26   13     1.00000000000000E-99   1.00000000000000E-99
 27   13     1.00000000000000E-99   1.00000000000000E-99
 28   13     1.00000000000000E-99   1.00000000000000E-99
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     7.69016668234917E-16   2.15324667105777E-14
 15   14     1.20171204539165E-12   3.48496493163577E-11
 16   14     5.44258569325036E-10   1.63277570797511E-08
 17   14     2.16366045772087E-09   6.70734741893470E-08
 18   14     1.03027072242755E-08   3.29686631176817E-07
 19   14     9.18815158766750E-09   3.03209002393028E-07
 20   14     1.20471646054597E-08   4.09603596585631E-07
 21   14     1.92634075763358E-09   6.74219265171751E-08
 22   14     1.69921117455708E-10   6.11716022840550E-09
 23   14     7.50778707042494E-16   2.77788121605723E-14
 24   14     1.46187948373562E-12   5.55514203819537E-11
 25   14     4.15775887020927E-19   1.62152595938162E-17
 26   14     9.88310233524117E-25   3.95324093409647E-23
 27   14     1.00000000000000E-99   1.00000000000000E-99
 28   14     1.00000000000000E-99   1.00000000000000E-99
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.00000000000000E-99   1.00000000000000E-99
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
 11   15     1.00000000000000E-99   1.00000000000000E-99
 12   15     1.00000000000000E-99   1.00000000000000E-99
 13   15     1.00000000000000E-99   1.00000000000000E-99
 14   15     1.00000000000000E-99   1.00000000000000E-99
 15   15     1.00000000000000E-99   1.00000000000000E-99
 16   15     2.15111257097472E-13   6.66844897002162E-12
 17   15     9.73887253331071E-16   3.11643921065943E-14
 18   15     2.46754351630878E-09   8.14289360381898E-08
 19   15     7.81436865665857E-09   2.65688534326392E-07
 20   15     1.28619315800220E-08   4.50167605300771E-07
 21   15     3.67744042513709E-09   1.32387855304935E-07
 22   15     6.36749499317176E-09   2.35597314747355E-07
 23   15     9.13682186565866E-10   3.47199230895029E-08
 24   15     2.22338115160291E-11   8.67118649125137E-10
 25   15     1.29134335073684E-14   5.16537340294737E-13
 26   15     2.02976900978924E-15   8.32205294013589E-14
 27   15     4.73895633343831E-21   1.99036166004409E-19
 28   15     1.76789774410159E-25   7.60196029963684E-24
 29   15     1.00000000000000E-99   1.00000000000000E-99
 30   15     1.00000000000000E-99   1.00000000000000E-99
 31   15     1.00000000000000E-99   1.00000000000000E-99
 32   15     1.00000000000000E-99   1.00000000000000E-99
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     1.00000000000000E-99   1.00000000000000E-99
  9   16     1.00000000000000E-99   1.00000000000000E-99
 10   16     1.00000000000000E-99   1.00000000000000E-99
 11   16     1.00000000000000E-99   1.00000000000000E-99
 12   16     1.00000000000000E-99   1.00000000000000E-99
 13   16     1.00000000000000E-99   1.00000000000000E-99
