    time    temp    dens
   3.71800024544484E+03   1.00000000000000E-02   7.68752788752143E-09
     nin     zin       y       x
  1    0     4.67103683515295E-11   4.67103683515295E-11
  0    1     1.80926202663977E-09   1.80926202663977E-09
  1    1     3.88468683856874E-16   7.76937367713748E-16
  2    1     2.58377367408207E-08   7.75132102224622E-08
  1    2     1.71120516915061E-13   5.13361550745182E-13
  2    2     2.90760268236525E-04   1.16304107294610E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.64077758950071E-08   9.84466553700429E-08
  4    3     2.74852568248712E-09   1.92396797774099E-08
  5    3     7.77076706195518E-24   6.21661364956415E-23
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     6.22803745770737E-21   4.35962622039516E-20
  5    4     1.14965352322403E-06   1.03468817090163E-05
  6    4     7.61595811041607E-07   7.61595811041607E-06
  7    4     2.41818008536758E-21   2.65999809390434E-20
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.62222354604294E-15   7.62222354604294E-14
  6    5     2.30430237127534E-08   2.53473260840287E-07
  7    5     1.75798230956528E-25   2.10957877147834E-24
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77250287407600E-07   5.72700344889120E-06
  7    6     1.65673900362882E-08   2.15376070471747E-07
  8    6     1.17670890271071E-08   1.64739246379499E-07
  9    6     2.83620118061332E-25   4.25430177091998E-24
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     7.05296619123181E-22   9.16885604860135E-21
  7    7     1.86979104013207E-11   2.61770745618489E-10
  8    7     7.34194843881580E-06   1.10129226582237E-04
  9    7     7.96863596568623E-22   1.27498175450980E-20
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.60839429336611E-07   2.57343086938577E-06
  9    8     2.88505068333842E-09   4.90458616167531E-08
 10    8     1.81507309591388E-08   3.26713157264498E-07
 11    8     1.17747929793645E-23   2.23721066607926E-22
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     9.61998783143752E-24   1.73159780965875E-22
 10    9     5.71699231840521E-07   1.08622854049699E-05
 11    9     4.25505126176737E-23   8.51010252353473E-22
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.05850418646852E-06   2.11700837293704E-05
 11   10     2.39681931076337E-07   5.03332055260307E-06
 12   10     8.62057013879701E-06   1.89652543053534E-04
 13   10     1.33489290841549E-18   3.07025368935562E-17
 14   10     8.80704456997544E-14   2.11369069679411E-12
 15   10     1.00000000000000E-99   1.00000000000000E-99
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
