    time    temp    dens
   6.61088301857166E-01   6.75315300646201E-01   1.36752895263053E+03
     nin     zin       y       x
  1    0     4.53824691070908E-01   4.53824691070908E-01
  0    1     2.99010329595937E-11   2.99010329595937E-11
  1    1     9.13212145231915E-10   1.82642429046383E-09
  2    1     1.82556037633748E-07   5.47668112901244E-07
  1    2     1.50560446824017E-20   4.51681340472050E-20
  2    2     2.14863741942892E-04   8.59454967771568E-04
  4    2     1.50358397462735E-07   9.02150384776409E-07
  3    3     6.91193171517602E-19   4.14715902910561E-18
  4    3     1.00209756323714E-12   7.01468294266000E-12
  5    3     1.45981799327013E-12   1.16785439461611E-11
  6    3     2.87738968595820E-06   2.58965071736238E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     4.27904210096300E-12   3.85113789086670E-11
  6    4     3.12567552288434E-08   3.12567552288434E-07
  7    4     2.37307620731407E-11   2.61038382804548E-10
  8    4     1.66572099249684E-07   1.99886519099621E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     3.94468920571427E-14   4.33915812628570E-13
  7    5     3.12132608658939E-12   3.74559130390727E-11
  8    5     5.15300206545622E-08   6.69890268509308E-07
  9    5     6.98726903061206E-08   9.78217664285688E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     2.76358218967417E-16   3.31629862760900E-15
  7    6     4.03021802118201E-13   5.23928342753661E-12
  8    6     4.29943494650241E-12   6.01920892510338E-11
  9    6     2.70415876922210E-11   4.05623815383315E-10
 10    6     9.11876418931162E-06   1.45900227028986E-04
 11    6     6.96634457467422E-07   1.18427857769462E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     5.81401003945386E-22   8.13961405523541E-21
  8    7     8.28851978651329E-12   1.24327796797699E-10
  9    7     2.09090668157776E-11   3.34545069052442E-10
 10    7     8.98861454831772E-11   1.52806447321401E-09
 11    7     8.09766198516313E-11   1.45757915732936E-09
 12    7     1.72398981636560E-11   3.27558065109465E-10
 13    7     2.27717979021425E-06   4.55435958042850E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     2.45801259682113E-18   3.93282015491381E-17
  9    8     1.66710756740043E-20   2.83408286458073E-19
 10    8     5.19436232856425E-17   9.34985219141565E-16
 11    8     3.76744117329427E-13   7.15813822925911E-12
 12    8     2.26982137661878E-11   4.53964275323756E-10
 13    8     1.59002267282398E-09   3.33904761293036E-08
 14    8     5.30598376514517E-06   1.16731642833194E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     4.75234688408570E-21   9.02945907976283E-20
 11    9     1.31241352624416E-20   2.62482705248833E-19
 12    9     5.47541021908568E-15   1.14983614600799E-13
 13    9     1.99637249867614E-11   4.39201949708751E-10
 14    9     1.11160061662001E-12   2.55668141822603E-11
 15    9     3.26062945945669E-12   7.82551070269606E-11
 16    9     1.00137262139297E-08   2.50343155348242E-07
 17    9     2.10369340299141E-08   5.46960284777765E-07
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     6.75792518626692E-24   1.41916428911605E-22
 12   10     3.64634430547381E-19   8.02195747204239E-18
 13   10     5.10931445480382E-18   1.17514232460488E-16
 14   10     9.70652283403780E-15   2.32956548016907E-13
 15   10     8.15204166860445E-13   2.03801041715111E-11
 16   10     6.58994404538316E-12   1.71338545179962E-10
 17   10     9.72303263616127E-13   2.62521881176354E-11
 18   10     6.46960828920840E-12   1.81149032097835E-10
 19   10     4.44914070948809E-13   1.29025080575155E-11
 20   10     3.16573446185166E-12   9.49720338555497E-11
 21   10     1.27153759213756E-12   3.94176653562642E-11
 22   10     8.02861869706948E-09   2.56915798306223E-07
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.70634360782634E-24   5.80156826660957E-23
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     2.09846072890010E-25   5.03630574936025E-24
 14   11     1.64310752210365E-20   4.10776880525913E-19
 15   11     3.28668881831675E-19   8.54539092762354E-18
 16   11     1.59136797251112E-17   4.29669352578003E-16
 17   11     1.23841786883168E-17   3.46757003272869E-16
 18   11     2.54318745080278E-16   7.37524360732807E-15
 19   11     2.22326658487057E-15   6.66979975461170E-14
 20   11     8.20620500592044E-13   2.54392355183534E-11
 21   11     4.06332763988313E-11   1.30026484476260E-09
 22   11     2.00624006353180E-11   6.62059220965495E-10
 23   11     7.45230737319487E-13   2.53378450688626E-11
 24   11     3.42037002833137E-09   1.19712950991598E-07
 25   11     1.66015499106196E-24   5.97655796782306E-23
 26   11     3.52684840275830E-24   1.30493390902057E-22
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     2.38544609688626E-25   6.44070446159290E-24
 16   12     7.25063074674506E-23   2.03017660908862E-21
 17   12     7.64783751776545E-21   2.21787288015198E-19
 18   12     5.17516346922762E-17   1.55254904076829E-15
 19   12     4.10386072344592E-17   1.27219682426823E-15
 20   12     1.64552166385777E-15   5.26566932434487E-14
 21   12     2.62831457014405E-14   8.67343808147537E-13
 22   12     4.33669604553439E-08   1.47447665548169E-06
 23   12     7.23231489878188E-16   2.53131021457366E-14
 24   12     9.12278164260175E-12   3.28420139133663E-10
 25   12     1.58971942508184E-20   5.88196187280281E-19
 26   12     8.01062446280244E-17   3.04403729586493E-15
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     4.91438290994432E-21   1.96575316397773E-19
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.00000000000000E-99   1.00000000000000E-99
 14   13     1.00000000000000E-99   1.00000000000000E-99
 15   13     1.00000000000000E-99   1.00000000000000E-99
 16   13     1.00000000000000E-99   1.00000000000000E-99
 17   13     8.05347289921822E-25   2.41604186976547E-23
 18   13     1.39517992665861E-22   4.32505777264169E-21
 19   13     5.09132563135733E-22   1.62922420203435E-20
 20   13     1.03921803515286E-13   3.42941951600443E-12
 21   13     2.68491219600632E-14   9.12870146642150E-13
 22   13     1.18262111210871E-12   4.13917389238048E-11
 23   13     8.92340029561785E-14   3.21242410642243E-12
 24   13     1.86172760324431E-11   6.88839213200394E-10
 25   13     1.01476057749470E-13   3.85609019447985E-12
 26   13     1.59463689692170E-08   6.21908389799464E-07
 27   13     1.08060973606753E-15   4.32243894427013E-14
 28   13     9.04608495324971E-11   3.70889483083238E-09
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     1.00000000000000E-99   1.00000000000000E-99
 15   14     1.00000000000000E-99   1.00000000000000E-99
 16   14     1.00000000000000E-99   1.00000000000000E-99
 17   14     1.00000000000000E-99   1.00000000000000E-99
 18   14     4.70220149950217E-21   1.50470447984069E-19
 19   14     4.73183053403629E-20   1.56150407623198E-18
 20   14     3.24592297455272E-18   1.10361381134792E-16
 21   14     3.45460074982605E-18   1.20911026243912E-16
 22   14     5.10614623672502E-17   1.83821264522101E-15
 23   14     7.66137386217202E-15   2.83470832900365E-13
 24   14     2.53440415810556E-12   9.63073580080115E-11
 25   14     2.91125263615175E-13   1.13538852809918E-11
 26   14     3.73996896688108E-13   1.49598758675243E-11
 27   14     1.66220146625840E-13   6.81502601165945E-12
 28   14     2.56318161146626E-08   1.07653627681583E-06
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.98840590180102E-24   8.74898596792447E-23
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.82546099031947E-25   8.39712055546957E-24
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
 11   15     1.00000000000000E-99   1.00000000000000E-99
 12   15     1.00000000000000E-99   1.00000000000000E-99
 13   15     1.00000000000000E-99   1.00000000000000E-99
 14   15     1.00000000000000E-99   1.00000000000000E-99
 15   15     1.00000000000000E-99   1.00000000000000E-99
 16   15     1.00000000000000E-99   1.00000000000000E-99
 17   15     1.00000000000000E-99   1.00000000000000E-99
 18   15     1.00000000000000E-99   1.00000000000000E-99
 19   15     1.00000000000000E-99   1.00000000000000E-99
 20   15     6.30154059334821E-25   2.20553920767188E-23
 21   15     6.91330715125643E-23   2.48879057445232E-21
 22   15     2.26008094410110E-19   8.36229949317407E-18
 23   15     1.15835291327918E-19   4.40174107046087E-18
 24   15     7.07097435378040E-19   2.75767999797436E-17
 25   15     1.45447859040078E-18   5.81791436160313E-17
 26   15     2.55192637092919E-13   1.04628981208097E-11
 27   15     5.61440194481186E-14   2.35804881682098E-12
 28   15     6.60688019758882E-08   2.84095848496319E-06
 29   15     4.62407773606436E-18   2.03459420386832E-16
 30   15     1.54582177667031E-13   6.95619799501639E-12
 31   15     4.94654258721923E-18   2.27540959012084E-16
 32   15     5.69409983945977E-13   2.67622692454609E-11
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     1.00000000000000E-99   1.00000000000000E-99
  9   16     1.00000000000000E-99   1.00000000000000E-99
 10   16     1.00000000000000E-99   1.00000000000000E-99
 11   16     1.00000000000000E-99   1.00000000000000E-99
 12   16     1.00000000000000E-99   1.00000000000000E-99
 13   16     1.00000000000000E-99   1.00000000000000E-99
 14   16     1.00000000000000E-99   1.00000000000000E-99
 15   16     1.00000000000000E-99   1.00000000000000E-99
 16   16     1.00000000000000E-99   1.00000000000000E-99
 17   16     1.00000000000000E-99   1.00000000000000E-99
 18   16     1.00000000000000E-99   1.00000000000000E-99
 19   16     1.00000000000000E-99   1.00000000000000E-99
 20   16     1.00000000000000E-99   1.00000000000000E-99
 21   16     1.00000000000000E-99   1.00000000000000E-99
 22   16     1.00000000000000E-99   1.00000000000000E-99
 23   16     1.00000000000000E-99   1.00000000000000E-99
 24   16     2.68465170676024E-20   1.07386068270410E-18
 25   16     3.54550740836927E-16   1.45365803743140E-14
 26   16     2.45842149029635E-13   1.03253702592447E-11
 27   16     3.67044305390225E-13   1.57829051317797E-11
 28   16     3.57290559049417E-12   1.57207845981744E-10
 29   16     4.33281438772505E-13   1.94976647447627E-11
 30   16     3.61827734278764E-10   1.66440757768232E-08
 31   16     6.61155574669400E-13   3.10743120094618E-11
 32   16     1.90852553849942E-08   9.16092258479720E-07
 33   16     4.61607451556672E-16   2.26187651262769E-14
 34   16     8.55250182522713E-13   4.27625091261357E-11
 35   16     1.00000000000000E-99   1.00000000000000E-99
 36   16     1.00000000000000E-99   1.00000000000000E-99
 37   16     1.00000000000000E-99   1.00000000000000E-99
 38   16     1.00000000000000E-99   1.00000000000000E-99
 39   16     1.00000000000000E-99   1.00000000000000E-99
 40   16     1.00000000000000E-99   1.00000000000000E-99
 41   16     1.00000000000000E-99   1.00000000000000E-99
 42   16     1.00000000000000E-99   1.00000000000000E-99
 43   16     1.00000000000000E-99   1.00000000000000E-99
 44   16     1.00000000000000E-99   1.00000000000000E-99
  9   17     1.00000000000000E-99   1.00000000000000E-99
 10   17     1.00000000000000E-99   1.00000000000000E-99
 11   17     1.00000000000000E-99   1.00000000000000E-99
 12   17     1.00000000000000E-99   1.00000000000000E-99
 13   17     1.00000000000000E-99   1.00000000000000E-99
 14   17     1.00000000000000E-99   1.00000000000000E-99
