    time    temp    dens
   1.01549000615963E+00   5.98968566827776E-01   3.77301025380359E+02
     nin     zin       y       x
  1    0     8.12742548815492E-02   8.12742548815492E-02
  0    1     1.06006240395772E-10   1.06006240395772E-10
  1    1     2.64177150785441E-09   5.28354301570882E-09
  2    1     8.13146815364918E-08   2.43944044609475E-07
  1    2     5.96360192155599E-19   1.78908057646680E-18
  2    2     2.68322543804253E-04   1.07329017521701E-03
  4    2     1.10681062508447E-07   6.64086375050682E-07
  3    3     1.15082624881275E-17   6.90495749287650E-17
  4    3     2.53680078160143E-12   1.77576054712100E-11
  5    3     3.93559909017393E-12   3.14847927213914E-11
  6    3     1.93614661753901E-06   1.74253195578511E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     6.13767774932992E-11   5.52390997439693E-10
  6    4     4.77968672927691E-07   4.77968672927691E-06
  7    4     6.48255502332734E-11   7.13081052566008E-10
  8    4     3.87804265617308E-08   4.65365118740770E-07
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     2.17984681921302E-13   2.39783150113432E-12
  7    5     1.50452432714332E-11   1.80542919257198E-10
  8    5     2.18000020585296E-08   2.83400026760884E-07
  9    5     1.44424263523837E-08   2.02193968933371E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.87140596688859E-14   2.24568716026631E-13
  7    6     4.12180755050237E-12   5.35834981565308E-11
  8    6     2.80432811223595E-11   3.92605935713033E-10
  9    6     1.77337543665211E-10   2.66006315497816E-09
 10    6     7.78429546223436E-06   1.24548727395750E-04
 11    6     1.76113900840774E-07   2.99393631429315E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.64054016760790E-20   2.29675623465106E-19
  8    7     1.61100020346743E-10   2.41650030520114E-09
  9    7     3.81203498708062E-10   6.09925597932899E-09
 10    7     1.46403763676753E-09   2.48886398250480E-08
 11    7     1.31545201258894E-09   2.36781362266009E-08
 12    7     2.75799249259575E-10   5.24018573593192E-09
 13    7     1.85245607367247E-06   3.70491214734494E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     9.01713931470289E-16   1.44274229035246E-14
  9    8     7.55580937385784E-18   1.28448759355583E-16
 10    8     1.69559624548307E-14   3.05207324186952E-13
 11    8     5.86061877319321E-12   1.11351756690671E-10
 12    8     4.21117875466976E-10   8.42235750933952E-09
 13    8     2.82323663234242E-08   5.92879692791907E-07
 14    8     8.29392084140946E-06   1.82466258511008E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.25215113650540E-19   2.37908715936026E-18
 11    9     2.67864920953937E-18   5.35729841907874E-17
 12    9     2.18213832243172E-12   4.58249047710661E-11
 13    9     7.09020422450328E-10   1.55984492939072E-08
 14    9     3.94686152607049E-11   9.07778150996214E-10
 15    9     1.15675926982549E-10   2.77622224758117E-09
 16    9     2.48103087090503E-08   6.20257717726256E-07
 17    9     3.04833341105778E-08   7.92566686875023E-07
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.16353259061962E-25   2.32706518123925E-24
 11   10     5.33344903281544E-20   1.12002429689124E-18
 12   10     2.85542221125086E-16   6.28192886475190E-15
 13   10     3.72632142429035E-15   8.57053927586780E-14
 14   10     5.51987434222751E-13   1.32476984213460E-11
 15   10     3.17611693123118E-11   7.94029232807794E-10
 16   10     2.23954973852167E-10   5.82282932015635E-09
 17   10     2.78145601731097E-11   7.50993124673962E-10
 18   10     1.89924137820897E-10   5.31787585898512E-09
 19   10     1.28399687887511E-11   3.72359094873783E-10
 20   10     9.36903347483482E-11   2.81071004245044E-09
 21   10     3.59664115731096E-11   1.11495875876640E-09
 22   10     1.19390923585462E-08   3.82050955473480E-07
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     7.55244666513206E-24   1.73706273298037E-22
 13   11     2.28206055599781E-22   5.47694533439474E-21
 14   11     1.20668842569690E-17   3.01672106424226E-16
 15   11     2.13592171037589E-16   5.55339644697732E-15
 16   11     9.45832113871011E-15   2.55374670745173E-13
 17   11     7.06786377184660E-15   1.97900185611705E-13
 18   11     1.42878609575643E-13   4.14347967769364E-12
 19   11     8.73809276154886E-14   2.62142782846466E-12
 20   11     2.40589144682693E-11   7.45826348516348E-10
 21   11     2.38049275396309E-09   7.61757681268188E-08
 22   11     5.31108558041536E-10   1.75265824153707E-08
 23   11     1.97736821860023E-11   6.72305194324078E-10
 24   11     4.68701730538442E-09   1.64045605688455E-07
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.67567120650350E-22   4.35674513690911E-21
 15   12     2.75940130890405E-21   7.45038353404094E-20
 16   12     6.27637389319885E-19   1.75738469009568E-17
 17   12     5.39438508141096E-18   1.56437167360918E-16
 18   12     5.88867525771687E-14   1.76660257731506E-12
 19   12     3.96121749408130E-14   1.22797742316520E-12
 20   12     1.59856372386003E-12   5.11540391635211E-11
 21   12     1.37192039096207E-12   4.52733729017484E-11
 22   12     6.75112260990912E-08   2.29538168736910E-06
 23   12     1.47977824857209E-15   5.17922387000231E-14
 24   12     1.02419249431621E-12   3.68709297953834E-11
 25   12     5.12205923044746E-23   1.89516191526556E-21
 26   12     2.16651790511554E-20   8.23276803943907E-19
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.00000000000000E-99   1.00000000000000E-99
 14   13     1.00000000000000E-99   1.00000000000000E-99
 15   13     1.00000000000000E-99   1.00000000000000E-99
 16   13     6.58672077344131E-25   1.91014902429798E-23
 17   13     1.77141850181514E-20   5.31425550544543E-19
 18   13     9.59936468784974E-19   2.97580305323342E-17
 19   13     3.33430611933082E-18   1.06697795818586E-16
 20   13     3.13871416497853E-12   1.03577567444291E-10
 21   13     8.04148010991080E-13   2.73410323736967E-11
 22   13     3.55762953604320E-11   1.24517033761512E-09
 23   13     2.68712975968505E-12   9.67366713486619E-11
 24   13     5.57392696499121E-10   2.06235297704675E-08
 25   13     2.97613466729479E-12   1.13093117357202E-10
 26   13     2.51578988369034E-08   9.81158054639232E-07
 27   13     9.49077327800330E-17   3.79630931120132E-15
 28   13     4.67382519070057E-13   1.91626832818723E-11
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     1.00000000000000E-99   1.00000000000000E-99
 15   14     1.00000000000000E-99   1.00000000000000E-99
 16   14     1.00000000000000E-99   1.00000000000000E-99
 17   14     1.68682767901659E-25   5.22916580495143E-24
 18   14     2.84547308689378E-18   9.10551387806008E-17
 19   14     2.77139356707218E-17   9.14559877133818E-16
 20   14     1.99215438531964E-15   6.77332491008678E-14
 21   14     2.03880569678151E-15   7.13581993873530E-14
 22   14     3.04930860202717E-14   1.09775109672978E-12
 23   14     3.22128730050236E-13   1.19187630118587E-11
 24   14     8.33795168565319E-11   3.16842164054821E-09
 25   14     9.14987027828358E-12   3.56844940853060E-10
 26   14     1.15537867606800E-11   4.62151470427200E-10
 27   14     5.13925837737688E-12   2.10709593472452E-10
 28   14     4.16659502997990E-08   1.74996991259156E-06
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.00000000000000E-99   1.00000000000000E-99
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
 11   15     1.00000000000000E-99   1.00000000000000E-99
 12   15     1.00000000000000E-99   1.00000000000000E-99
 13   15     1.00000000000000E-99   1.00000000000000E-99
 14   15     1.00000000000000E-99   1.00000000000000E-99
 15   15     1.00000000000000E-99   1.00000000000000E-99
 16   15     1.00000000000000E-99   1.00000000000000E-99
 17   15     1.00000000000000E-99   1.00000000000000E-99
 18   15     3.00226083011586E-25   9.90746073938233E-24
 19   15     3.67876327531217E-23   1.25077951360614E-21
 20   15     7.48983055205678E-21   2.62144069321987E-19
 21   15     6.24696229606816E-20   2.24890642658454E-18
 22   15     1.49107082135426E-16   5.51696203901077E-15
 23   15     7.36758207698101E-17   2.79968118925278E-15
 24   15     4.54106071491132E-16   1.77101367881541E-14
 25   15     8.95478716481005E-16   3.58191486592402E-14
 26   15     8.44504470904939E-12   3.46246833071025E-10
 27   15     1.77425534660924E-12   7.45187245575879E-11
 28   15     1.15403703483648E-07   4.96235924979687E-06
 29   15     1.97180849858867E-19   8.67595739379015E-18
 30   15     2.42712228738445E-15   1.09220502932300E-13
 31   15     1.03754658446381E-20   4.77271428853352E-19
 32   15     2.08906926343157E-16   9.81862553812839E-15
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     1.00000000000000E-99   1.00000000000000E-99
  9   16     1.00000000000000E-99   1.00000000000000E-99
 10   16     1.00000000000000E-99   1.00000000000000E-99
 11   16     1.00000000000000E-99   1.00000000000000E-99
 12   16     1.00000000000000E-99   1.00000000000000E-99
 13   16     1.00000000000000E-99   1.00000000000000E-99
 14   16     1.00000000000000E-99   1.00000000000000E-99
 15   16     1.00000000000000E-99   1.00000000000000E-99
 16   16     1.00000000000000E-99   1.00000000000000E-99
 17   16     1.00000000000000E-99   1.00000000000000E-99
 18   16     1.00000000000000E-99   1.00000000000000E-99
 19   16     1.00000000000000E-99   1.00000000000000E-99
 20   16     1.00000000000000E-99   1.00000000000000E-99
 21   16     1.29069560614864E-23   4.77557374274997E-22
 22   16     1.86763473111085E-22   7.09701197822122E-21
 23   16     3.23623574461935E-22   1.26213194040155E-20
 24   16     1.79398208597209E-17   7.17592834388835E-16
 25   16     1.21991149288575E-14   5.00163712083156E-13
 26   16     8.89527068202970E-12   3.73601368645247E-10
 27   16     1.27362179201244E-11   5.47657370565350E-10
 28   16     1.21853355336592E-10   5.36154763481005E-09
 29   16     1.46622873363132E-11   6.59802930134094E-10
 30   16     3.10052397976938E-08   1.42624103069391E-06
 31   16     1.30182906346550E-11   6.11859659828787E-10
 32   16     2.25702903447818E-08   1.08337393654953E-06
 33   16     2.41898110955506E-17   1.18530074368198E-15
 34   16     2.81885081798467E-15   1.40942540899234E-13
 35   16     1.00000000000000E-99   1.00000000000000E-99
 36   16     1.00000000000000E-99   1.00000000000000E-99
 37   16     1.00000000000000E-99   1.00000000000000E-99
 38   16     1.00000000000000E-99   1.00000000000000E-99
 39   16     1.00000000000000E-99   1.00000000000000E-99
 40   16     1.00000000000000E-99   1.00000000000000E-99
 41   16     1.00000000000000E-99   1.00000000000000E-99
 42   16     1.00000000000000E-99   1.00000000000000E-99
 43   16     1.00000000000000E-99   1.00000000000000E-99
 44   16     1.00000000000000E-99   1.00000000000000E-99
  9   17     1.00000000000000E-99   1.00000000000000E-99
 10   17     1.00000000000000E-99   1.00000000000000E-99
 11   17     1.00000000000000E-99   1.00000000000000E-99
 12   17     1.00000000000000E-99   1.00000000000000E-99
 13   17     1.00000000000000E-99   1.00000000000000E-99
 14   17     1.00000000000000E-99   1.00000000000000E-99
 15   17     1.00000000000000E-99   1.00000000000000E-99
 16   17     1.00000000000000E-99   1.00000000000000E-99
 17   17     1.00000000000000E-99   1.00000000000000E-99
 18   17     1.00000000000000E-99   1.00000000000000E-99
 19   17     1.00000000000000E-99   1.00000000000000E-99
 20   17     1.00000000000000E-99   1.00000000000000E-99
 21   17     1.00000000000000E-99   1.00000000000000E-99
 22   17     1.00000000000000E-99   1.00000000000000E-99
 23   17     1.00000000000000E-99   1.00000000000000E-99
 24   17     3.03311472908588E-22   1.24357703892521E-20
 25   17     1.22252674143172E-18   5.13461231401323E-17
 26   17     7.37398407602942E-17   3.17081315269265E-15
 27   17     1.55487024062835E-16   6.84142905876475E-15
 28   17     2.76536333722864E-12   1.24441350175289E-10
 29   17     2.04271353912675E-13   9.39648227998307E-12
 30   17     6.55139152992222E-11   3.07915401906344E-09
 31   17     1.03447804464735E-12   4.96549461430727E-11
 32   17     3.38794791739185E-10   1.66009447952201E-08
 33   17     7.63141603124206E-12   3.81570801562103E-10
 34   17     1.66894957831346E-08   8.51164284939863E-07
 35   17     2.80804190699771E-18   1.46018179163881E-16
 36   17     9.95601722781759E-17   5.27668913074332E-15
 37   17     1.00000000000000E-99   1.00000000000000E-99
 38   17     1.00000000000000E-99   1.00000000000000E-99
 39   17     1.00000000000000E-99   1.00000000000000E-99
 40   17     1.00000000000000E-99   1.00000000000000E-99
 41   17     1.00000000000000E-99   1.00000000000000E-99
 42   17     1.00000000000000E-99   1.00000000000000E-99
 43   17     1.00000000000000E-99   1.00000000000000E-99
 44   17     1.00000000000000E-99   1.00000000000000E-99
 45   17     1.00000000000000E-99   1.00000000000000E-99
 46   17     1.00000000000000E-99   1.00000000000000E-99
  9   18     1.00000000000000E-99   1.00000000000000E-99
 10   18     1.00000000000000E-99   1.00000000000000E-99
 11   18     1.00000000000000E-99   1.00000000000000E-99
 12   18     1.00000000000000E-99   1.00000000000000E-99
 13   18     1.00000000000000E-99   1.00000000000000E-99
 14   18     1.00000000000000E-99   1.00000000000000E-99
 15   18     1.00000000000000E-99   1.00000000000000E-99
 16   18     1.00000000000000E-99   1.00000000000000E-99
 17   18     1.00000000000000E-99   1.00000000000000E-99
 18   18     1.00000000000000E-99   1.00000000000000E-99
 19   18     1.00000000000000E-99   1.00000000000000E-99
 20   18     1.00000000000000E-99   1.00000000000000E-99
 21   18     1.00000000000000E-99   1.00000000000000E-99
 22   18     1.00000000000000E-99   1.00000000000000E-99
 23   18     1.00000000000000E-99   1.00000000000000E-99
 24   18     1.00000000000000E-99   1.00000000000000E-99
 25   18     1.27131759426731E-24   5.46666565534943E-23
 26   18     1.82120492836990E-19   8.01330168482754E-18
 27   18     8.43783425670399E-19   3.79702541551679E-17
 28   18     2.43537146527090E-16   1.12027087402461E-14
 29   18     3.02854868606884E-15   1.42341788245236E-13
