    time    temp    dens
   1.27757296903453E+02   1.00000000000000E-02   1.89477568686218E-04
     nin     zin       y       x
  1    0     4.85335811384371E-10   4.85335811384371E-10
  0    1     4.98720833224325E-11   4.98720833224325E-11
  1    1     3.42855879799660E-16   6.85711759599319E-16
  2    1     2.61115906516527E-08   7.83347719549580E-08
  1    2     5.97065266441474E-15   1.79119579932442E-14
  2    2     2.71034136577162E-04   1.08413654630865E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.34663989991260E-08   8.07983939947558E-08
  4    3     2.76970059092909E-09   1.93879041365036E-08
  5    3     2.05730015630660E-18   1.64584012504528E-17
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     6.30088348150897E-21   4.41061843705628E-20
  5    4     1.15281688533149E-06   1.03753519679834E-05
  6    4     7.65287317259403E-07   7.65287317259403E-06
  7    4     7.70085126980618E-15   8.47093639678680E-14
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.62383725279033E-15   1.62383725279033E-14
  6    5     2.28609156048668E-08   2.51470071653535E-07
  7    5     4.46920446619995E-20   5.36304535943994E-19
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.61298852663973E-07   5.53558623196767E-06
  7    6     1.58735794128657E-08   2.06356532367255E-07
  8    6     1.12689935484854E-08   1.57765909678795E-07
  9    6     7.51977848196204E-20   1.12796677229431E-18
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     3.37835652732485E-20   4.39186348552230E-19
  7    7     1.60968339746292E-11   2.25355675644809E-10
  8    7     7.29775767921639E-06   1.09466365188246E-04
  9    7     7.91690600402121E-13   1.26670496064339E-11
 10    7     5.90124708592558E-17   1.00321200460735E-15
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     5.11218866042578E-25   7.66828299063867E-24
  8    8     1.59968398923497E-07   2.55949438277595E-06
  9    8     2.91757563154877E-09   4.95987857363292E-08
 10    8     1.85123842761373E-08   3.33222916970472E-07
 11    8     2.24291698220992E-08   4.26154226619885E-07
 12    8     1.73156153771794E-09   3.46312307543587E-08
 13    8     5.37439804845247E-18   1.12862359017502E-16
 14    8     1.26507051447667E-21   2.78315513184867E-20
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     6.84788391369881E-25   1.16414026532880E-23
  9    9     1.82131427846450E-24   3.27836570123609E-23
 10    9     5.47240118252649E-07   1.03975622468003E-05
 11    9     5.96501877209527E-09   1.19300375441905E-07
 12    9     4.75522581403460E-15   9.98597420947265E-14
 13    9     3.85105390733312E-14   8.47231859613286E-13
 14    9     3.05678682942533E-25   7.03060970767827E-24
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.04536238291668E-06   2.09072476583335E-05
 11   10     2.44457452654782E-07   5.13360650575043E-06
 12   10     8.66247133673741E-06   1.90574369408223E-04
 13   10     3.45681971841571E-10   7.95068535235612E-09
 14   10     1.38082853126668E-08   3.31398847504004E-07
 15   10     5.56281107665228E-20   1.39070276916307E-18
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     2.26066429828726E-21   4.97346145623198E-20
 12   11     3.09684038524998E-09   7.12273288607495E-08
 13   11     7.43643767120122E-09   1.78474504108829E-07
 14   11     1.46490440088356E-08   3.66226100220889E-07
 15   11     4.89959574342162E-16   1.27389489328962E-14
 16   11     5.53994247996338E-24   1.49578446959011E-22
 17   11     1.00000000000000E-99   1.00000000000000E-99
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
 20   11     1.00000000000000E-99   1.00000000000000E-99
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     6.48820450935167E-12   1.55716908224440E-10
 13   12     4.89734953224045E-08   1.22433738306011E-06
 14   12     6.30829038373106E-09   1.64015549977007E-07
 15   12     1.96006575716096E-09   5.29217754433459E-08
 16   12     1.38433961817773E-09   3.87615093089764E-08
 17   12     1.31920116743331E-17   3.82568338555659E-16
 18   12     1.00000000000000E-99   1.00000000000000E-99
 19   12     1.00000000000000E-99   1.00000000000000E-99
 20   12     1.00000000000000E-99   1.00000000000000E-99
 21   12     1.00000000000000E-99   1.00000000000000E-99
 22   12     1.00000000000000E-99   1.00000000000000E-99
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     1.00000000000000E-99   1.00000000000000E-99
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.00000000000000E-99   1.00000000000000E-99
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
