    time    temp    dens
   2.01700000000000E-03   3.64347370891832E-01   2.95120000000000E+10
     nin     zin       y       x
  1    0     8.77911703195198E-01   8.77911703195198E-01
  0    1     1.22947678867428E-18   1.22947678867428E-18
  1    1     8.19957473588244E-17   1.63991494717649E-16
  2    1     8.02849199336316E-11   2.40854759800895E-10
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     2.94955707106987E-10   1.17982282842795E-09
  4    2     2.70339225463499E-07   1.62203535278100E-06
  3    3     1.00000000000000E-99   1.00000000000000E-99
  4    3     2.05727105976879E-22   1.44008974183816E-21
  5    3     4.00792353396698E-22   3.20633882717359E-21
  6    3     6.53821584509811E-11   5.88439426058830E-10
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     6.03445972426942E-18   5.43101375184248E-17
  6    4     2.24399904246626E-17   2.24399904246626E-16
  7    4     2.69824158828707E-17   2.96806574711578E-16
  8    4     2.39959946594820E-07   2.87951935913784E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     4.98006778803747E-22   5.47807456684121E-21
  7    5     1.29477679550624E-19   1.55373215460749E-18
  8    5     1.61304630183798E-17   2.09696019238937E-16
  9    5     3.77710869813104E-09   5.28795217738346E-08
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.00000000000000E-99   1.00000000000000E-99
  7    6     1.00000000000000E-99   1.00000000000000E-99
  8    6     6.06072354855165E-21   8.48501296797231E-20
  9    6     4.20794181096238E-20   6.31191271644356E-19
 10    6     6.08025314456512E-20   9.72840503130419E-19
 11    6     7.02641829808453E-11   1.19449111067437E-09
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     1.00000000000000E-99   1.00000000000000E-99
  9    7     7.82769087433482E-24   1.25243053989357E-22
 10    7     9.18641461363812E-23   1.56169048431848E-21
 11    7     8.27629759862642E-23   1.48973356775276E-21
 12    7     1.73586477409427E-23   3.29814307077912E-22
 13    7     6.40739231769535E-14   1.28147846353907E-12
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.00000000000000E-99   1.00000000000000E-99
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     1.00000000000000E-99   1.00000000000000E-99
 11    8     1.00000000000000E-99   1.00000000000000E-99
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.98817093604373E-24   4.17515896569183E-23
 14    8     6.72354506640960E-17   1.47917991461011E-15
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.00000000000000E-99   1.00000000000000E-99
 11    9     1.00000000000000E-99   1.00000000000000E-99
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
