    time    temp    dens
   1.42075141525220E+00   4.60920545373252E-01   1.37771902159900E+02
     nin     zin       y       x
  1    0     2.47157330148060E-08   2.47157330148060E-08
  0    1     1.80281541324032E-13   1.80281541324032E-13
  1    1     7.52899702508199E-14   1.50579940501640E-13
  2    1     5.36037019218900E-09   1.60811105765670E-08
  1    2     1.29025975960894E-18   3.87077927882682E-18
  2    2     2.69840079411928E-04   1.07936031764771E-03
  4    2     7.79533650604185E-08   4.67720190362511E-07
  3    3     9.11599234825809E-11   5.46959540895485E-10
  4    3     1.74608556092201E-09   1.22225989264541E-08
  5    3     3.26716855340527E-13   2.61373484272422E-12
  6    3     8.99167018235264E-07   8.09250316411738E-06
  3    4     5.75909970189159E-19   4.03136979132412E-18
  5    4     3.92489760827261E-07   3.53240784744535E-06
  6    4     7.64846787125430E-07   7.64846787125430E-06
  7    4     3.18583319063228E-16   3.50441650969550E-15
  8    4     2.12828830348210E-13   2.55394596417852E-12
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     6.05288762758968E-15   6.05288762758968E-14
  6    5     1.08536096333685E-08   1.19389705967053E-07
  7    5     4.86090146337595E-11   5.83308175605114E-10
  8    5     4.93590589790613E-12   6.41667766727797E-11
  9    5     1.18869230307762E-17   1.66416922430867E-16
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     5.87968476100364E-25   6.46765323710400E-24
  6    6     3.33906449607243E-07   4.00687739528692E-06
  7    6     1.52247469930847E-08   1.97921710910101E-07
  8    6     9.35256486333656E-09   1.30935908086712E-07
  9    6     5.34867031742374E-11   8.02300547613561E-10
 10    6     5.51306219650542E-06   8.82089951440867E-05
 11    6     1.45840803166649E-12   2.47929365383304E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     2.30056388103097E-19   2.99073304534026E-18
  7    7     1.25738310714518E-11   1.76033635000325E-10
  8    7     1.84126626730601E-06   2.76189940095901E-05
  9    7     6.63907469908782E-08   1.06225195185405E-06
 10    7     3.53994635788891E-08   6.01790880841115E-07
 11    7     1.47613952802683E-08   2.65705115044829E-07
 12    7     2.11186366824634E-09   4.01254096966805E-08
 13    7     3.23975258181288E-07   6.47950516362575E-06
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     5.68826909392861E-24   8.53240364089292E-23
  8    8     3.30777802729154E-09   5.29244484366647E-08
  9    8     2.04933096735579E-10   3.48386264450485E-09
 10    8     5.70837424839126E-09   1.02750736471043E-07
 11    8     4.36870962969120E-07   8.30054829641327E-06
 12    8     8.56010050107652E-07   1.71202010021530E-05
 13    8     2.23033285642288E-07   4.68369899848804E-06
 14    8     7.83738680054571E-06   1.72422509612006E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     3.74542131120510E-24   6.36721622904868E-23
  9    9     1.40938959851905E-20   2.53690127733428E-19
 10    9     1.42261536563361E-09   2.70296919470385E-08
 11    9     6.80543196069059E-09   1.36108639213812E-07
 12    9     1.76103018269510E-08   3.69816338365971E-07
 13    9     8.03780282846133E-07   1.76831662226149E-05
 14    9     2.02481334609890E-09   4.65707069602748E-08
 15    9     1.81637143499056E-09   4.35929144397735E-08
 16    9     5.48477780113889E-09   1.37119445028472E-07
 17    9     8.50711635157000E-14   2.21185025140820E-12
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     4.46280088960720E-11   8.92560177921440E-10
 11   10     3.82994870942125E-10   8.04289228978462E-09
 12   10     2.16107385975230E-08   4.75436249145506E-07
 13   10     7.99310363974884E-10   1.83841383714223E-08
 14   10     1.82885500162969E-08   4.38925200391126E-07
 15   10     4.92371978669976E-08   1.23092994667494E-06
 16   10     1.54059647801675E-09   4.00555084284354E-08
 17   10     6.92255749194760E-13   1.86909052282585E-11
 18   10     2.52265433196686E-14   7.06343212950719E-13
 19   10     8.34981270514319E-17   2.42144568449152E-15
 20   10     4.92143968014190E-20   1.47643190404257E-18
 21   10     1.02844547172848E-24   3.18818096235828E-23
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     5.60301820846455E-22   1.23266400586220E-20
 12   11     1.99579106384626E-12   4.59031944684640E-11
 13   11     9.81294383756554E-12   2.35510652101573E-10
 14   11     1.17204148569039E-08   2.93010371422598E-07
 15   11     3.16685992522473E-09   8.23383580558429E-08
 16   11     1.50552875913038E-09   4.06492764965203E-08
 17   11     6.02452388727905E-12   1.68686668843813E-10
 18   11     1.60451630030417E-11   4.65309727088209E-10
 19   11     2.94944535297211E-12   8.84833605891633E-11
 20   11     2.71350667460275E-14   8.41187069126852E-13
 21   11     2.02438253922446E-15   6.47802412551826E-14
 22   11     1.07011906118697E-20   3.53139290191701E-19
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.04160547034271E-17   2.49985312882250E-16
 13   12     1.04216910411700E-11   2.60542276029250E-10
 14   12     3.30851407483456E-10   8.60213659456987E-09
 15   12     6.59544362513133E-10   1.78076977878546E-08
 16   12     1.20211420854952E-09   3.36591978393865E-08
 17   12     7.30003113014408E-10   2.11700902774178E-08
 18   12     1.40881901908033E-09   4.22645705724099E-08
 19   12     7.20134585750081E-10   2.23241721582525E-08
 20   12     1.46385965179136E-09   4.68435088573237E-08
 21   12     2.41979893356382E-10   7.98533648076061E-09
 22   12     1.46675944362180E-12   4.98698210831412E-11
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     1.00000000000000E-99   1.00000000000000E-99
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.00000000000000E-99   1.00000000000000E-99
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.72001586089887E-23   4.47204123833707E-22
 14   13     7.21296004933638E-14   1.94749921332082E-12
 15   13     1.56640295600650E-14   4.38592827681820E-13
 16   13     7.52203870782419E-11   2.18139122526901E-09
 17   13     6.61232736609349E-10   1.98369820982805E-08
 18   13     1.52421294355703E-09   4.72506012502678E-08
 19   13     7.96524106738113E-10   2.54887714156196E-08
 20   13     4.01961320024680E-10   1.32647235608144E-08
