    time    temp    dens
   1.20131919458031E-01   8.66409924860038E-01   2.27897571758663E+05
     nin     zin       y       x
  1    0     8.23863958701969E-01   8.23863958701969E-01
  0    1     1.86791319418723E-13   1.86791319418723E-13
  1    1     5.73491084860988E-12   1.14698216972198E-11
  2    1     2.19006531640301E-08   6.57019594920902E-08
  1    2     6.28010657486865E-25   1.88403197246060E-24
  2    2     3.18207257012762E-05   1.27282902805105E-04
  4    2     2.44044891203623E-07   1.46426934722174E-06
  3    3     3.03399297036087E-21   1.82039578221652E-20
  4    3     1.57999671385436E-14   1.10599769969805E-13
  5    3     1.97723793048847E-14   1.58179034439078E-13
  6    3     7.09556287070754E-07   6.38600658363679E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     4.36149940929422E-14   3.92534946836480E-13
  6    4     1.23652282125589E-11   1.23652282125589E-10
  7    4     2.88187720461664E-13   3.17006492507830E-12
  8    4     1.73087298770354E-06   2.07704758524425E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     9.97997199596850E-16   1.09779691955653E-14
  7    5     1.01899510556898E-13   1.22279412668278E-12
  8    5     1.84287789360482E-07   2.39574126168627E-06
  9    5     1.32129881656930E-06   1.84981834319702E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.58834644395197E-19   5.50601573274237E-18
  7    6     3.62256212588852E-15   4.70933076365508E-14
  8    6     1.51294784549666E-13   2.11812698369532E-12
  9    6     9.41660169719501E-13   1.41249025457925E-11
 10    6     4.00352852047076E-06   6.40564563275321E-05
 11    6     3.92131072814989E-06   6.66622823785482E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     9.60019812601743E-24   1.34402773764244E-22
  8    7     9.40323408887061E-15   1.41048511333059E-13
  9    7     4.81471844121109E-14   7.70354950593774E-13
 10    7     3.76852188714944E-13   6.40648720815405E-12
 11    7     3.39516591733110E-13   6.11129865119598E-12
 12    7     7.10409241834793E-13   1.34977755948611E-11
 13    7     1.08905215614597E-06   2.17810431229194E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     6.80980511432418E-22   1.08956881829187E-20
  9    8     2.54942982200222E-24   4.33403069740377E-23
 10    8     2.85769278322183E-19   5.14384700979929E-18
 11    8     6.66213629442265E-16   1.26580589594030E-14
 12    8     2.79686686201567E-14   5.59373372403135E-13
 13    8     1.96100491190195E-12   4.11811031499408E-11
 14    8     2.04235562547731E-07   4.49318237605008E-06
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     2.37558771810931E-23   4.51361666440769E-22
 11    9     2.88349846293395E-23   5.76699692586790E-22
 12    9     7.67163488114621E-20   1.61104332504070E-18
 13    9     1.99956682482571E-15   4.39904701461656E-14
 14    9     1.11338647932702E-16   2.56078890245214E-15
 15    9     3.26593470298419E-16   7.83824328716206E-15
 16    9     7.04189382702579E-11   1.76047345675645E-09
 17    9     5.81661165284974E-10   1.51231902974093E-08
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     7.78240992420686E-25   1.71213018332551E-23
 13   10     2.23526006702493E-22   5.14109815415734E-21
 14   10     1.80810456015955E-19   4.33945094438292E-18
 15   10     3.50593112933817E-15   8.76482782334543E-14
 16   10     5.10429834606599E-15   1.32711756997716E-13
 17   10     1.07578259930743E-15   2.90461301813006E-14
 18   10     6.71490143215164E-15   1.88017240100246E-13
 19   10     4.77974779099807E-16   1.38612685938944E-14
 20   10     3.21171778732939E-15   9.63515336198817E-14
 21   10     1.40353075878902E-15   4.35094535224597E-14
 22   10     1.83906274989325E-09   5.88500079965839E-08
 23   10     1.35694208604832E-22   4.47790888395944E-21
 24   10     7.39840179534351E-20   2.51545661041679E-18
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     2.95952281497602E-25   7.39880703744005E-24
 15   11     1.16083961377131E-24   3.01818299580541E-23
 16   11     5.91617296038782E-23   1.59736669930471E-21
 17   11     2.77760359657851E-21   7.77729007041984E-20
 18   11     4.62225838967400E-19   1.34045493300546E-17
 19   11     1.87089783773885E-18   5.61269351321654E-17
 20   11     6.78916980029506E-16   2.10464263809147E-14
 21   11     9.97327295743593E-15   3.19144734637950E-13
 22   11     1.64566093006585E-14   5.43068106921731E-13
 23   11     8.17373211553430E-16   2.77906891928166E-14
 24   11     6.86674737515716E-10   2.40336158130501E-08
 25   11     4.76730194321568E-21   1.71622869955764E-19
 26   11     4.06495297007890E-20   1.50403259892919E-18
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     1.00000000000000E-99   1.00000000000000E-99
 17   12     1.00000000000000E-99   1.00000000000000E-99
