    time    temp    dens
   1.14422199989991E+00   5.65787063844504E-01   2.63744897004120E+02
     nin     zin       y       x
  1    0     4.23661762345829E-05   4.23661762345829E-05
  0    1     8.26044818929574E-11   8.26044818929574E-11
  1    1     6.30609829305558E-10   1.26121965861112E-09
  2    1     1.29279301114869E-09   3.87837903344606E-09
  1    2     6.01550961493600E-17   1.80465288448080E-16
  2    2     2.87346683315771E-04   1.14938673326308E-03
  4    2     1.00284310628657E-07   6.01705863771940E-07
  3    3     3.11273377002714E-14   1.86764026201629E-13
  4    3     1.61664494185754E-10   1.13165145930028E-09
  5    3     7.40245724063469E-12   5.92196579250775E-11
  6    3     1.63435564730470E-06   1.47092008257423E-05
  3    4     2.13457337626965E-21   1.49420136338875E-20
  5    4     2.37739431827894E-08   2.13965488645105E-07
  6    4     7.68400445998147E-07   7.68400445998147E-06
  7    4     7.33778388252822E-14   8.07156227078104E-13
  8    4     3.63757973031685E-09   4.36509567638022E-08
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.95310014378448E-20   1.95310014378448E-19
  6    5     1.33017137943638E-10   1.46318851738001E-09
  7    5     9.95892855776747E-10   1.19507142693210E-08
  8    5     6.85491435749570E-09   8.91138866474441E-08
  9    5     7.23937831568407E-12   1.01351296419577E-10
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.58594255207998E-09   1.90313106249598E-08
  7    6     1.93029656908614E-09   2.50938553981198E-08
  8    6     3.49902854517297E-09   4.89863996324216E-08
  9    6     1.43148289682073E-09   2.14722434523109E-08
 10    6     6.85787909142354E-06   1.09726065462777E-04
 11    6     1.42215831443068E-10   2.41766913453216E-09
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.19469548856180E-21   1.55310413513034E-20
  7    7     4.56528422967625E-15   6.39139792154675E-14
  8    7     5.67134948472835E-08   8.50702422709252E-07
  9    7     2.81114176426047E-08   4.49782682281675E-07
 10    7     3.54573319391246E-08   6.02774642965118E-07
 11    7     2.04132278156578E-08   3.67438100681840E-07
 12    7     3.89693542495688E-09   7.40417730741807E-08
 13    7     1.47061632487798E-06   2.94123264975596E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     3.44481732115280E-11   5.51170771384448E-10
  9    8     3.46296653004783E-13   5.88704310108132E-12
 10    8     1.58628124290810E-10   2.85530623723457E-09
 11    8     8.04121080734745E-09   1.52783005339601E-07
 12    8     7.74651999002843E-08   1.54930399800569E-06
 13    8     2.27491992645437E-07   4.77733184555418E-06
 14    8     8.77803109159245E-06   1.93116684015034E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     5.24757150177959E-14   9.97038585338123E-13
 11    9     1.22031064454723E-12   2.44062128909446E-11
 12    9     8.47866490639425E-10   1.78051963034279E-08
 13    9     4.92997892268821E-08   1.08459536299141E-06
 14    9     1.63375472708509E-09   3.75763587229570E-08
 15    9     3.23324175033344E-09   7.75978020080025E-08
 16    9     7.18232069566519E-08   1.79558017391630E-06
 17    9     1.22211778733085E-10   3.17750624706022E-09
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     8.78668608970412E-17   1.75733721794082E-15
 11   10     5.19091188895366E-14   1.09009149668027E-12
 12   10     2.55259240931743E-11   5.61570330049834E-10
 13   10     4.08195605786886E-11   9.38849893309839E-10
 14   10     1.09246652666718E-09   2.62191966400123E-08
 15   10     7.17750854968179E-09   1.79437713742045E-07
 16   10     4.22661829388332E-09   1.09892075640966E-07
 17   10     3.89787612589854E-10   1.05242655399261E-08
 18   10     1.60007796475569E-09   4.48021830131593E-08
 19   10     9.78900552671601E-11   2.83881160274764E-09
 20   10     3.74332450049082E-10   1.12299735014725E-08
 21   10     5.74740849801427E-11   1.78169663438442E-09
