    time    temp    dens
   3.06883375479580E+04   1.00000000000000E-02   1.36708292610035E-11
     nin     zin       y       x
  1    0     1.80039023599107E-15   1.80039023599107E-15
  0    1     3.47598173442033E-06   3.47598173442033E-06
  1    1     8.71269537486794E-10   1.74253907497359E-09
  2    1     3.27771698580017E-08   9.83315095740050E-08
  1    2     1.75584092963621E-12   5.26752278890862E-12
  2    2     2.89269742868080E-04   1.15707897147232E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     2.04716328161403E-23   1.22829796896842E-22
  4    3     2.90866703008559E-09   2.03606692105991E-08
  5    3     1.00000000000000E-99   1.00000000000000E-99
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.18021071884950E-06   1.06218964696455E-05
  6    4     7.85770999317097E-07   7.85770999317096E-06
  7    4     1.00000000000000E-99   1.00000000000000E-99
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     3.74428883139560E-16   3.74428883139560E-15
  6    5     2.20083914730268E-08   2.42092306203295E-07
  7    5     1.00000000000000E-99   1.00000000000000E-99
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.31203346513790E-07   5.17444015816548E-06
  7    6     1.98741803897607E-08   2.58364345066889E-07
  8    6     1.26453670352447E-08   1.77035138493426E-07
  9    6     1.00000000000000E-99   1.00000000000000E-99
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
