    time    temp    dens
   2.07402830524479E-01   8.91712978404596E-01   4.42864541366190E+04
     nin     zin       y       x
  1    0     7.54455019531764E-01   7.54455019531764E-01
  0    1     9.65098647504428E-13   9.65098647504428E-13
  1    1     2.83211018723704E-11   5.66422037447408E-11
  2    1     4.59846740836802E-08   1.37954022251041E-07
  1    2     1.52003534467911E-23   4.56010603403732E-23
  2    2     6.25910045576314E-05   2.50364018230526E-04
  4    2     2.22743143867352E-07   1.33645886320411E-06
  3    3     1.52651215244380E-20   9.15907291466280E-20
  4    3     7.47801348587636E-14   5.23460944011345E-13
  5    3     9.17594076097741E-14   7.34075260878193E-13
  6    3     1.57957002928335E-06   1.42161302635501E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     6.70594797834023E-14   6.03535318050620E-13
  6    4     1.33913298163943E-10   1.33913298163943E-09
  7    4     4.47864765937750E-13   4.92651242531525E-12
  8    4     2.73424246179791E-07   3.28109095415749E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     2.16049179670008E-15   2.37654097637009E-14
  7    5     1.36710636212116E-13   1.64052763454540E-12
  8    5     2.63561652136007E-07   3.42630147776809E-06
  9    5     2.22966185136570E-07   3.12152659191198E-06
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.66896473155596E-18   2.00275767786715E-17
  7    6     2.83853487783453E-14   3.69009534118488E-13
  8    6     2.74017726790175E-13   3.83624817506244E-12
  9    6     1.46269046374584E-12   2.19403569561877E-11
 10    6     1.03505264532283E-05   1.65608423251653E-04
 11    6     1.30724320321272E-06   2.22231344546163E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     5.54646974623377E-23   7.76505764472728E-22
  8    7     1.32764905988508E-13   1.99147358982762E-12
  9    7     3.54787911010607E-13   5.67660657616972E-12
 10    7     1.65286145695281E-12   2.80986447681978E-11
 11    7     1.48910616133785E-12   2.68039109040814E-11
 12    7     1.16040193635772E-11   2.20476367907967E-10
 13    7     1.62868256463983E-06   3.25736512927966E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.47314565550780E-20   2.35703304881248E-19
  9    8     5.43416458756343E-23   9.23807979885784E-22
 10    8     1.29310560925622E-18   2.32759009666120E-17
 11    8     5.66840057690896E-15   1.07699610961270E-13
 12    8     2.28381836696305E-13   4.56763673392611E-12
 13    8     1.60123797642571E-11   3.36259975049400E-10
 14    8     6.50478448004497E-07   1.43105258560989E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     5.32481865675129E-22   1.01171554478274E-20
 11    9     6.43395652025334E-22   1.28679130405067E-20
 12    9     2.05514996453566E-18   4.31581492552489E-17
 13    9     3.48462749515643E-14   7.66618048934414E-13
 14    9     1.94028866993076E-15   4.46266394084075E-14
 15    9     5.69151193574217E-15   1.36596286457812E-13
 16    9     2.06489346790066E-09   5.16223366975164E-08
 17    9     1.95181628933064E-09   5.07472235225967E-08
  7   10     1.00000000000000E-99   1.00000000000000E-99
