    time    temp    dens
   1.07667706280330E+00   5.87164306481542E-01   3.16561841281241E+02
     nin     zin       y       x
  1    0     1.43260102555844E-02   1.43260102555844E-02
  0    1     1.25678448902123E-10   1.25678448902123E-10
  1    1     2.72954246095335E-09   5.45908492190670E-09
  2    1     1.97112124324311E-08   5.91336372972934E-08
  1    2     3.51236963660295E-18   1.05371089098089E-17
  2    2     2.69269907985655E-04   1.07707963194262E-03
  4    2     1.04973725872939E-07   6.29842355237633E-07
  3    3     7.52565743166376E-17   4.51539445899826E-16
  4    3     4.38671709500190E-12   3.07070196650133E-11
  5    3     6.23297042522969E-12   4.98637634018375E-11
  6    3     1.73553085343321E-06   1.56197776808989E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     3.72269996448708E-10   3.35042996803837E-09
  6    4     6.82489051020313E-07   6.82489051020313E-06
  7    4     1.71675682345160E-11   1.88843250579676E-10
  8    4     9.89539628567502E-09   1.18744755428100E-07
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.28121942784740E-24   1.28121942784740E-23
  6    5     1.07249002236131E-12   1.17973902459744E-11
  7    5     2.83483628667805E-11   3.40180354401366E-10
  8    5     1.30328845929624E-08   1.69427499708512E-07
  9    5     1.95243597331083E-09   2.73341036263517E-08
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     5.00520587569596E-13   6.00624705083515E-12
  7    6     1.77193684504982E-11   2.30351789856477E-10
  8    6     8.65969506924225E-11   1.21235730969391E-09
  9    6     4.67260033577418E-10   7.00890050366126E-09
 10    6     7.54990080359926E-06   1.20798412857588E-04
 11    6     3.46667945380521E-08   5.89335507146886E-07
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     3.70729617895823E-19   5.19021465054153E-18
  8    7     1.06781501106761E-09   1.60172251660141E-08
  9    7     2.42390134640883E-09   3.87824215425413E-08
 10    7     8.37641498961731E-09   1.42399054823494E-07
 11    7     7.14377948115100E-09   1.28588030660718E-07
 12    7     1.48099869169676E-09   2.81389751422384E-08
 13    7     1.73029413794942E-06   3.46058827589884E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     3.60189825779611E-14   5.76303721247377E-13
  9    8     3.08873326054446E-16   5.25084654292558E-15
 10    8     6.30912027028883E-13   1.13564164865199E-11
 11    8     3.67133215727404E-11   6.97553109882068E-10
 12    8     2.66878785513214E-09   5.33757571026429E-08
 13    8     1.12427969480878E-07   2.36098735909844E-06
 14    8     8.59436219572142E-06   1.89075968305871E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     3.60550033296167E-18   6.85045063262717E-17
 11    9     1.11698234342397E-16   2.23396468684794E-15
 12    9     5.03179408035503E-11   1.05667675687456E-09
 13    9     4.63687558416865E-09   1.02011262851710E-07
 14    9     2.56719357064484E-10   5.90454521248313E-09
 15    9     7.40603189963334E-10   1.77744765591200E-08
 16    9     6.08790299361076E-08   1.52197574840269E-06
 17    9     1.71618297976641E-08   4.46207574739268E-07
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     3.33392309840066E-23   6.66784619680133E-22
 11   10     8.29065062799509E-18   1.74103663187897E-16
 12   10     1.28779025437050E-14   2.83313855961511E-13
 13   10     1.62792735014346E-13   3.74423290532996E-12
 14   10     9.38831457228736E-12   2.25319549734897E-10
 15   10     3.09419721270240E-10   7.73549303175600E-09
 16   10     1.09002550173505E-09   2.83406630451112E-08
 17   10     1.30994861782250E-10   3.53686126812076E-09
 18   10     8.68049287145919E-10   2.43053800400857E-08
 19   10     5.83566634944862E-11   1.69234324134010E-09
 20   10     4.15436739756793E-10   1.24631021927038E-08
 21   10     1.55091296719578E-10   4.80783019830691E-09
 22   10     8.52668600977419E-09   2.72853952312774E-07
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     2.23119220535940E-21   5.13174207232662E-20
 13   11     2.73552571178430E-20   6.56526170828231E-19
 14   11     7.75834968702334E-16   1.93958742175584E-14
 15   11     7.26138404546427E-15   1.88795985182071E-13
 16   11     3.03370531492466E-13   8.19100435029659E-12
 17   11     2.19352271493199E-13   6.14186360180957E-12
 18   11     4.36388692209019E-12   1.26552720740615E-10
 19   11     1.04731323490460E-12   3.14193970471380E-11
 20   11     1.25426456608255E-10   3.88822015485590E-09
 21   11     1.59820037866476E-08   5.11424121172723E-07
 22   11     8.14177995914493E-10   2.68678738651783E-08
 23   11     2.99551208552766E-11   1.01847410907940E-09
 24   11     1.26272003333734E-09   4.41952011668068E-08
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.85829718905998E-24   4.64574297264995E-23
 14   12     3.89984129081792E-20   1.01395873561266E-18
 15   12     5.94550053227029E-19   1.60528514371298E-17
 16   12     1.28185031449425E-16   3.58918088058391E-15
 17   12     3.89869170970237E-16   1.13062059581369E-14
 18   12     2.64293956519893E-12   7.92881869559678E-11
 19   12     1.59968788679321E-12   4.95903244905894E-11
 20   12     6.17481574184287E-11   1.97594103738972E-09
 21   12     2.54408765308914E-11   8.39548925519415E-10
 22   12     5.62361387183525E-08   1.91202871642398E-06
 23   12     4.25134868352836E-16   1.48797203923492E-14
 24   12     8.44957764167377E-14   3.04184795100256E-12
 25   12     5.66902033604505E-25   2.09753752433667E-23
 26   12     5.28572193201048E-22   2.00857433416398E-20
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.00000000000000E-99   1.00000000000000E-99
 14   13     1.00000000000000E-99   1.00000000000000E-99
 15   13     1.00000000000000E-99   1.00000000000000E-99
 16   13     3.19549631193418E-22   9.26693930460912E-21
 17   13     5.32827703665569E-18   1.59848311099671E-16
 18   13     2.41805972110048E-16   7.49598513541148E-15
 19   13     8.18393510321594E-16   2.61885923302910E-14
 20   13     1.75405201213699E-11   5.78837164005206E-10
 21   13     4.49065906861487E-12   1.52682408332906E-10
 22   13     1.97461651949688E-10   6.91115781823907E-09
 23   13     1.49130750584742E-11   5.36870702105072E-10
 24   13     2.69537879504572E-09   9.97290154166916E-08
 25   13     1.43068720092614E-11   5.43661136351932E-10
 26   13     2.05259667084329E-08   8.00512701628883E-07
 27   13     1.16584771771528E-17   4.66339087086114E-16
 28   13     1.54275827983150E-14   6.32530894730913E-13
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     1.00000000000000E-99   1.00000000000000E-99
 15   14     1.00000000000000E-99   1.00000000000000E-99
 16   14     1.67611815088988E-24   5.02835445266964E-23
 17   14     2.82925712138794E-22   8.77069707630262E-21
 18   14     1.07354380473358E-16   3.43534017514745E-15
 19   14     1.03946876658339E-15   3.43024692972519E-14
 20   14     7.46185851069060E-14   2.53703189363480E-12
 21   14     7.27266562554146E-14   2.54543296893951E-12
 22   14     1.01594055282449E-12   3.65738599016816E-11
 23   14     4.25844416132106E-12   1.57562433968879E-10
 24   14     4.90777181126109E-10   1.86495328827921E-08
 25   14     5.33715533137863E-11   2.08149057923766E-09
 26   14     6.71495032624723E-11   2.68598013049889E-09
 27   14     2.98453539825255E-11   1.22365951328355E-09
 28   14     3.90714364573724E-08   1.64100033120964E-06
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.00000000000000E-99   1.00000000000000E-99
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
 11   15     1.00000000000000E-99   1.00000000000000E-99
 12   15     1.00000000000000E-99   1.00000000000000E-99
 13   15     1.00000000000000E-99   1.00000000000000E-99
 14   15     1.00000000000000E-99   1.00000000000000E-99
 15   15     1.00000000000000E-99   1.00000000000000E-99
 16   15     1.00000000000000E-99   1.00000000000000E-99
 17   15     1.00000000000000E-99   1.00000000000000E-99
 18   15     7.57897220994806E-23   2.50106082928286E-21
 19   15     9.25723940986712E-21   3.14746139935482E-19
 20   15     1.72665688976110E-18   6.04329911416385E-17
 21   15     6.43208787790279E-18   2.31555163604501E-16
 22   15     6.04548560869174E-15   2.23682967521594E-13
 23   15     2.93202881347751E-15   1.11417094912146E-13
 24   15     1.80256838680719E-14   7.03001670854803E-13
 25   15     3.52333051039163E-14   1.40933220415665E-12
 26   15     5.36413250386372E-11   2.19929432658413E-09
 27   15     1.11802790759800E-11   4.69571721191158E-10
 28   15     1.17099127314522E-07   5.03526247452446E-06
 29   15     2.60579169925213E-20   1.14654834767094E-18
 30   15     2.66397266830691E-16   1.19878770073811E-14
 31   15     2.00909401685172E-22   9.24183247751791E-21
 32   15     1.15352491868346E-17   5.42156711781227E-16
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     1.00000000000000E-99   1.00000000000000E-99
  9   16     1.00000000000000E-99   1.00000000000000E-99
 10   16     1.00000000000000E-99   1.00000000000000E-99
 11   16     1.00000000000000E-99   1.00000000000000E-99
 12   16     1.00000000000000E-99   1.00000000000000E-99
 13   16     1.00000000000000E-99   1.00000000000000E-99
 14   16     1.00000000000000E-99   1.00000000000000E-99
 15   16     1.00000000000000E-99   1.00000000000000E-99
 16   16     1.00000000000000E-99   1.00000000000000E-99
 17   16     1.00000000000000E-99   1.00000000000000E-99
 18   16     1.00000000000000E-99   1.00000000000000E-99
 19   16     1.00000000000000E-99   1.00000000000000E-99
 20   16     7.17091249557949E-24   2.58152849840862E-22
 21   16     3.50709128792587E-21   1.29762377653257E-19
 22   16     5.01480650903831E-20   1.90562647343456E-18
 23   16     8.61156050230941E-20   3.35850859590067E-18
 24   16     7.70857396320066E-16   3.08342958528026E-14
 25   16     8.47087462806501E-14   3.47305859750665E-12
 26   16     6.11704428447883E-11   2.56915859948111E-09
 27   16     8.67839022148553E-11   3.73170779523878E-09
 28   16     8.09937134647060E-10   3.56372339244706E-08
 29   16     9.70270645104537E-11   4.36621790297042E-09
 30   16     8.31762385790934E-08   3.82610697463830E-06
 31   16     6.81198730370860E-12   3.20163403274304E-10
 32   16     5.52899232229870E-09   2.65391631470338E-07
 33   16     8.57692504525940E-19   4.20269327217711E-17
 34   16     4.28007048796078E-17   2.14003524398039E-15
 35   16     1.00000000000000E-99   1.00000000000000E-99
 36   16     1.00000000000000E-99   1.00000000000000E-99
 37   16     1.00000000000000E-99   1.00000000000000E-99
 38   16     1.00000000000000E-99   1.00000000000000E-99
 39   16     1.00000000000000E-99   1.00000000000000E-99
 40   16     1.00000000000000E-99   1.00000000000000E-99
 41   16     1.00000000000000E-99   1.00000000000000E-99
 42   16     1.00000000000000E-99   1.00000000000000E-99
 43   16     1.00000000000000E-99   1.00000000000000E-99
 44   16     1.00000000000000E-99   1.00000000000000E-99
  9   17     1.00000000000000E-99   1.00000000000000E-99
 10   17     1.00000000000000E-99   1.00000000000000E-99
 11   17     1.00000000000000E-99   1.00000000000000E-99
 12   17     1.00000000000000E-99   1.00000000000000E-99
 13   17     1.00000000000000E-99   1.00000000000000E-99
 14   17     1.00000000000000E-99   1.00000000000000E-99
 15   17     1.00000000000000E-99   1.00000000000000E-99
 16   17     1.00000000000000E-99   1.00000000000000E-99
 17   17     1.00000000000000E-99   1.00000000000000E-99
 18   17     1.00000000000000E-99   1.00000000000000E-99
 19   17     1.00000000000000E-99   1.00000000000000E-99
 20   17     1.00000000000000E-99   1.00000000000000E-99
 21   17     1.00000000000000E-99   1.00000000000000E-99
 22   17     1.00000000000000E-99   1.00000000000000E-99
 23   17     9.34935937020918E-24   3.73974374808367E-22
 24   17     1.42473381915983E-20   5.84140865855531E-19
 25   17     5.61587278775983E-17   2.35866657085913E-15
 26   17     3.32434359922575E-15   1.42946774766707E-13
 27   17     6.95553743326683E-15   3.06043647063741E-13
 28   17     4.99322377018373E-11   2.24695069658268E-09
 29   17     2.77470240238467E-12   1.27636310509695E-10
 30   17     3.51662295721932E-10   1.65281278989308E-08
 31   17     5.50049529900659E-12   2.64023774352316E-10
 32   17     3.46984809573002E-09   1.70022556690771E-07
 33   17     3.07282769143805E-11   1.53641384571903E-09
 34   17     1.16863400542635E-08   5.96003342767437E-07
 35   17     2.77641643878225E-19   1.44373654816677E-17
 36   17     2.35422665932645E-18   1.24774012944302E-16
 37   17     1.00000000000000E-99   1.00000000000000E-99
 38   17     1.00000000000000E-99   1.00000000000000E-99
 39   17     1.00000000000000E-99   1.00000000000000E-99
 40   17     1.00000000000000E-99   1.00000000000000E-99
 41   17     1.00000000000000E-99   1.00000000000000E-99
 42   17     1.00000000000000E-99   1.00000000000000E-99
 43   17     1.00000000000000E-99   1.00000000000000E-99
 44   17     1.00000000000000E-99   1.00000000000000E-99
 45   17     1.00000000000000E-99   1.00000000000000E-99
 46   17     1.00000000000000E-99   1.00000000000000E-99
  9   18     1.00000000000000E-99   1.00000000000000E-99
 10   18     1.00000000000000E-99   1.00000000000000E-99
 11   18     1.00000000000000E-99   1.00000000000000E-99
 12   18     1.00000000000000E-99   1.00000000000000E-99
 13   18     1.00000000000000E-99   1.00000000000000E-99
 14   18     1.00000000000000E-99   1.00000000000000E-99
 15   18     1.00000000000000E-99   1.00000000000000E-99
 16   18     1.00000000000000E-99   1.00000000000000E-99
 17   18     1.00000000000000E-99   1.00000000000000E-99
 18   18     1.00000000000000E-99   1.00000000000000E-99
 19   18     1.00000000000000E-99   1.00000000000000E-99
 20   18     1.00000000000000E-99   1.00000000000000E-99
 21   18     1.00000000000000E-99   1.00000000000000E-99
 22   18     1.00000000000000E-99   1.00000000000000E-99
 23   18     1.00000000000000E-99   1.00000000000000E-99
 24   18     9.11186846375711E-24   3.82698475477798E-22
 25   18     3.84797577414346E-22   1.65462958288169E-20
 26   18     2.21885658721847E-17   9.76296898376128E-16
 27   18     6.74760001694338E-17   3.03642000762452E-15
 28   18     9.04957284179616E-15   4.16280350722623E-13
 29   18     1.87084956048802E-13   8.79299293429371E-12
 30   18     1.72488157130345E-11   8.27943154225656E-10
 31   18     3.18865216398813E-12   1.56243956035418E-10
 32   18     7.55422709867107E-10   3.77711354933553E-08
 33   18     1.39805410046655E-11   7.13007591237941E-10
 34   18     3.21789321052926E-08   1.67330446947521E-06
 35   18     1.37412636636880E-14   7.28286974175466E-13
 36   18     1.70665809615639E-12   9.21595371924451E-11
 37   18     9.57087926416792E-15   5.26398359529235E-13
 38   18     1.48089427817207E-12   8.29300795776359E-11
 39   18     1.00000000000000E-99   1.00000000000000E-99
 40   18     1.00000000000000E-99   1.00000000000000E-99
 41   18     1.00000000000000E-99   1.00000000000000E-99
 42   18     1.00000000000000E-99   1.00000000000000E-99
 43   18     1.00000000000000E-99   1.00000000000000E-99
 44   18     1.00000000000000E-99   1.00000000000000E-99
 45   18     1.00000000000000E-99   1.00000000000000E-99
 46   18     1.00000000000000E-99   1.00000000000000E-99
 47   18     1.00000000000000E-99   1.00000000000000E-99
 48   18     1.00000000000000E-99   1.00000000000000E-99
 49   18     1.00000000000000E-99   1.00000000000000E-99
 10   19     1.00000000000000E-99   1.00000000000000E-99
 11   19     1.00000000000000E-99   1.00000000000000E-99
 12   19     1.00000000000000E-99   1.00000000000000E-99
 13   19     1.00000000000000E-99   1.00000000000000E-99
 14   19     1.00000000000000E-99   1.00000000000000E-99
 15   19     1.00000000000000E-99   1.00000000000000E-99
 16   19     1.00000000000000E-99   1.00000000000000E-99
 17   19     1.00000000000000E-99   1.00000000000000E-99
 18   19     1.00000000000000E-99   1.00000000000000E-99
 19   19     1.00000000000000E-99   1.00000000000000E-99
 20   19     1.00000000000000E-99   1.00000000000000E-99
 21   19     1.00000000000000E-99   1.00000000000000E-99
 22   19     1.00000000000000E-99   1.00000000000000E-99
