    time    temp    dens
   1.89049019381499E+02   1.00000000000000E-02   5.84778853735569E-05
     nin     zin       y       x
  1    0     7.30459617244073E-10   7.30459617244073E-10
  0    1     1.16957796533939E-10   1.16957796533939E-10
  1    1     3.42286542516523E-16   6.84573085033047E-16
  2    1     2.58279217936382E-08   7.74837653809145E-08
  1    2     8.69499408360411E-15   2.60849822508123E-14
  2    2     2.71645072518386E-04   1.08658029007354E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.64177538575344E-08   9.85065231452062E-08
  4    3     2.74852510897669E-09   1.92396757628368E-08
  5    3     9.41390440377817E-19   7.53112352302253E-18
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     6.33602109917113E-21   4.43521476941979E-20
  5    4     1.14965352777842E-06   1.03468817500058E-05
  6    4     7.61595808127296E-07   7.61595808127296E-06
  7    4     6.92033854593697E-16   7.61237240053067E-15
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.59535777217583E-15   7.59535777217583E-14
  6    5     2.30430218273308E-08   2.53473240100639E-07
  7    5     2.09213369325410E-20   2.51056043190492E-19
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77250288388059E-07   5.72700346065671E-06
  7    6     1.65673890550794E-08   2.15376057716033E-07
  8    6     1.17670887802654E-08   1.64739242923715E-07
  9    6     3.56509958347163E-20   5.34764937520744E-19
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.07693706942240E-20   5.30001819024912E-19
  7    7     1.86977808459734E-11   2.61768931843627E-10
  8    7     7.34194844274616E-06   1.10129226641192E-04
  9    7     3.02806912287943E-15   4.84491059660709E-14
 10    7     5.68453788790813E-21   9.66371440944382E-20
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     5.83367621582785E-25   8.75051432374177E-24
  8    8     1.60839425650615E-07   2.57343081040984E-06
  9    8     2.88505091384571E-09   4.90458655353771E-08
 10    8     1.81507309514455E-08   3.26713157126019E-07
 11    8     4.75655716837780E-09   9.03745861991783E-08
 12    8     8.25730584015834E-11   1.65146116803167E-09
 13    8     4.08766046905745E-22   8.58408698502065E-21
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     3.71407412738614E-25   6.31392601655644E-24
  9    9     1.39619224279551E-23   2.51314603703191E-22
 10    9     5.66942674931442E-07   1.07719108236974E-05
 11    9     3.30222039825435E-10   6.60444079650870E-09
 12    9     6.84538831749797E-17   1.43753154667457E-15
 13    9     4.21848940411697E-18   9.28067668905734E-17
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.05809141472131E-06   2.11618282944263E-05
 11   10     2.39682162281773E-07   5.03332540791724E-06
 12   10     8.62057013764045E-06   1.89652543028090E-04
 13   10     1.07865120861630E-10   2.48089777981749E-09
 14   10     1.13319153334206E-08   2.71965968002096E-07
 15   10     2.10950806697374E-20   5.27377016743436E-19
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     2.18264433566571E-21   4.80181753846457E-20
 12   11     3.20154917344316E-09   7.36356309891927E-08
 13   11     1.01462229318956E-08   2.43509350365495E-07
 14   11     7.37029357528823E-09   1.84257339382206E-07
 15   11     1.13416315304809E-16   2.94882419792503E-15
 16   11     5.92546297449255E-25   1.59987500311299E-23
 17   11     1.00000000000000E-99   1.00000000000000E-99
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
 20   11     1.00000000000000E-99   1.00000000000000E-99
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
