    time    temp    dens
   8.03640256459121E-02   8.65628865825334E-01   7.61254540216350E+05
     nin     zin       y       x
  1    0     8.27819400771379E-01   8.27819400771379E-01
  0    1     5.59129171603044E-14   5.59129171603044E-14
  1    1     1.73000707570627E-12   3.46001415141254E-12
  2    1     1.21242205448172E-08   3.63726616344516E-08
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     1.45097329473006E-05   5.80389317892023E-05
  4    2     2.52609426352889E-07   1.51565655811733E-06
  3    3     9.36233067935094E-22   5.61739840761057E-21
  4    3     3.97108404193067E-15   2.77975882935147E-14
  5    3     4.98042309872118E-15   3.98433847897695E-14
  6    3     3.39370608893598E-07   3.05433548004238E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.87530983678117E-14   2.58777885310305E-13
  6    4     2.52254010960126E-12   2.52254010960126E-11
  7    4     1.89979603635476E-13   2.08977563999024E-12
  8    4     3.03475767359467E-06   3.64170920831361E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     4.74425500522819E-16   5.21868050575101E-15
  7    5     5.00040825698478E-14   6.00048990838173E-13
  8    5     8.43120415339962E-08   1.09605653994195E-06
  9    5     2.05498007033156E-06   2.87697209846418E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.37680601687256E-19   1.65216722024707E-18
  7    6     4.94163835741276E-16   6.42412986463659E-15
  8    6     6.47183478892471E-14   9.06056870449459E-13
  9    6     4.08482683998087E-13   6.12724025997131E-12
 10    6     1.38630213514472E-06   2.21808341623156E-05
 11    6     4.60320851842793E-06   7.82545448132748E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     2.08209811670889E-24   2.91493736339245E-23
  8    7     9.71044986162952E-16   1.45656747924443E-14
  9    7     1.14799798556148E-14   1.83679677689838E-13
 10    7     1.12428787429832E-13   1.91128938630714E-12
 11    7     1.01290220657303E-13   1.82322397183145E-12
 12    7     1.15633993659690E-13   2.19704587953411E-12
 13    7     5.52377306366401E-07   1.10475461273280E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     4.31062296164396E-23   6.89699673863034E-22
  9    8     1.62562978237465E-25   2.76357063003690E-24
 10    8     5.65545782338008E-20   1.01798240820841E-18
 11    8     1.00641877915884E-16   1.91219568040179E-15
 12    8     4.23036038512929E-15   8.46072077025857E-14
 13    8     2.96610798629492E-13   6.22882677121934E-12
 14    8     5.89187767990532E-08   1.29621308957917E-06
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     2.58859875153948E-24   4.91833762792501E-23
 11    9     3.14054312312841E-24   6.28108624625683E-23
 12    9     7.24474566071588E-21   1.52139658875034E-19
 13    9     1.72030559044558E-16   3.78467229898028E-15
 14    9     9.57890005082983E-18   2.20314701169086E-16
 15    9     2.80981194606905E-17   6.74354867056572E-16
 16    9     5.07551552101140E-12   1.26887888025285E-10
 17    9     1.42654854115479E-10   3.70902620700246E-09
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.00000000000000E-99   1.00000000000000E-99
 13   10     1.54388533084146E-23   3.55093626093535E-22
 14   10     4.12918519147489E-21   9.91004445953974E-20
 15   10     4.61530037398040E-16   1.15382509349510E-14
 16   10     6.49043280795377E-16   1.68751253006798E-14
 17   10     1.36620322172029E-16   3.68874869864479E-15
 18   10     8.52951088510605E-16   2.38826304782970E-14
 19   10     6.07077664861102E-17   1.76052522809720E-15
 20   10     4.07980310110387E-16   1.22394093033116E-14
 21   10     1.78246211183570E-16   5.52563254669068E-15
 22   10     5.78232092708803E-10   1.85034269666817E-08
 23   10     1.40718617296976E-22   4.64371437080022E-21
 24   10     2.61506466260324E-19   8.89121985285103E-18
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     1.00000000000000E-99   1.00000000000000E-99
 15   11     1.00000000000000E-99   1.00000000000000E-99
 16   11     2.24391346751086E-24   6.05856636227932E-23
 17   11     9.21616132088342E-23   2.58052516984736E-21
 18   11     4.83571635679867E-20   1.40235774347161E-18
 19   11     1.75685224891483E-19   5.27055674674448E-18
 20   11     6.35859598157107E-17   1.97116475428703E-15
 21   11     6.89883482315721E-16   2.20762714341031E-14
 22   11     1.53982083022126E-15   5.08140873973015E-14
 23   11     7.31710811544683E-17   2.48781675925192E-15
 24   11     1.80908642833837E-10   6.33180249918431E-09
 25   11     4.16583168820686E-21   1.49969940775447E-19
 26   11     1.20857104999461E-19   4.47171288498007E-18
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     1.00000000000000E-99   1.00000000000000E-99
