    time    temp    dens
   3.84467136880374E+00   1.73946302964994E-01   6.95244042379630E+00
     nin     zin       y       x
  1    0     2.48454728716853E-10   2.48454728716853E-10
  0    1     3.51958166059327E-13   3.51958166059327E-13
  1    1     1.28263880050336E-15   2.56527760100672E-15
  2    1     1.95982811770214E-08   5.87948435310643E-08
  1    2     9.42223900474354E-16   2.82667170142306E-15
  2    2     2.68967417624204E-04   1.07586967049682E-03
  4    2     9.65092838821065E-09   5.79055703292639E-08
  3    3     1.51462991566826E-08   9.08777949400958E-08
  4    3     2.72890708176547E-09   1.91023495723583E-08
  5    3     2.67362448736143E-13   2.13889958988914E-12
  6    3     8.99228871196068E-09   8.09305984076461E-08
  3    4     1.87021570135934E-18   1.30915099095154E-17
  5    4     1.14066681749563E-06   1.02660013574607E-05
  6    4     7.61592996026029E-07   7.61592996026029E-06
  7    4     1.15329143491099E-12   1.26862057840209E-11
  8    4     2.24463818541559E-20   2.69356582249871E-19
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     3.24605860655291E-14   3.24605860655291E-13
  6    5     2.30322213742611E-08   2.53354435116873E-07
  7    5     1.09587288679384E-14   1.31504746415260E-13
  8    5     2.43608544975029E-19   3.16691108467537E-18
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77249930471212E-07   5.72699916565454E-06
  7    6     1.65659317009861E-08   2.15357112112819E-07
  8    6     1.16483779045604E-08   1.63077290663846E-07
  9    6     2.69430149450531E-11   4.04145224175797E-10
 10    6     5.87872534773590E-07   9.40596055637744E-06
 11    6     7.86574064472662E-14   1.33717590960353E-12
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     6.43725574434752E-20   8.36843246765178E-19
  7    7     1.87139614784068E-11   2.61995460697695E-10
  8    7     6.75993363627260E-06   1.01399004544089E-04
  9    7     9.67421975358631E-08   1.54787516057381E-06
 10    7     2.33435845760540E-08   3.96840937792919E-07
 11    7     9.71211955878926E-10   1.74818152058207E-08
 12    7     1.44788665745974E-11   2.75098464917351E-10
 13    7     1.81593141460788E-12   3.63186282921577E-11
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     2.57092801158311E-24   3.85639201737467E-23
  8    8     3.60142568783526E-08   5.76228110053642E-07
  9    8     1.67310700738986E-09   2.84428191256276E-08
 10    8     1.73599562117817E-08   3.12479211812071E-07
 11    8     5.37091765302782E-07   1.02047435407529E-05
 12    8     9.31395837678522E-07   1.86279167535704E-05
 13    8     1.34342300928262E-07   2.82118831949349E-06
 14    8     3.69416964455279E-06   8.12717321801614E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     7.18484265738360E-24   1.22142325175521E-22
  9    9     5.61125114719886E-23   1.01002520649580E-21
 10    9     3.46939977989615E-08   6.59185958180269E-07
 11    9     1.17547169685127E-07   2.35094339370254E-06
