time_days,Ra224 top 13
1.1574074074074073e-05,5.503806345096499e-89
1.1576109151910821e-05,5.5038063429603226e-89
1.157814458757678e-05,5.503806340823772e-89
1.158018038113487e-05,5.503806338686845e-89
1.1582216532648015e-05,5.503806336549543e-89
1.1584253042179158e-05,5.503806334411865e-89
1.1586289909791249e-05,5.503806332273811e-89
1.1588327135547246e-05,5.503806330135382e-89
1.1590364719510128e-05,5.503806327996575e-89
1.1592402661742875e-05,5.5038063258573936e-89
1.1594440962308483e-05,5.503806323717837e-89
1.1596479621269957e-05,5.503806321577902e-89
1.1598518638690315e-05,5.503806319437591e-89
1.1600558014632583e-05,5.503806317296905e-89
1.1602597749159803e-05,5.5038063151558414e-89
1.1604637842335022e-05,5.503806313014401e-89
1.1606678294221306e-05,5.5038063108725854e-89
1.1608719104881723e-05,5.503806308730392e-89
1.1610760274379357e-05,5.503806306587823e-89
1.1612801802777306e-05,5.503806304444877e-89
1.1614843690138673e-05,5.503806302301555e-89
1.1616885936526574e-05,5.5038063001578544e-89
1.1618928542004138e-05,5.503806298013778e-89
1.1620971506634507e-05,5.503806295869324e-89
1.1623014830480826e-05,5.503806293724492e-89
1.162505851360626e-05,5.503806291579285e-89
1.1627102556073979e-05,5.503806289433699e-89
1.1629146957947168e-05,5.503806287287737e-89
1.163119171928902e-05,5.5038062851413985e-89
1.1633236840162742e-05,5.503806282994681e-89
1.1635282320631548e-05,5.503806280847586e-89
1.163732816075867e-05,5.5038062787001135e-89
1.1639374360607345e-05,5.503806276552264e-89
1.1641420920240822e-05,5.503806274404037e-89
1.1643467839722364e-05,5.503806272255432e-89
1.1645515119115243e-05,5.503806270106449e-89
1.1647562758482743e-05,5.503806267957088e-89
1.1649610757888157e-05,5.5038062658073496e-89
1.1651659117394789e-05,5.5038062636572337e-89
1.1653707837065959e-05,5.503806261506738e-89
1.1655756916964996e-05,5.503806259355865e-89
1.1657806357155237e-05,5.503806257204615e-89
1.1659856157700035e-05,5.503806255052986e-89
1.1661906318662747e-05,5.503806252900978e-89
1.1663956840106745e-05,5.503806250748591e-89
1.1666007722095419e-05,5.503806248595827e-89
1.1668058964692159e-05,5.503806246442684e-89
1.1670110567960373e-05,5.503806244289162e-89
1.1672162531963473e-05,5.5038062421352624e-89
1.1674214856764896e-05,5.503806239980984e-89
1.1676267542428077e-05,5.503806237826326e-89
1.1678320589016465e-05,5.503806235671289e-89
1.1680373996593523e-05,5.5038062335158734e-89
1.1682427765222725e-05,5.50380623136008e-89
1.1684481894967554e-05,5.503806229203906e-89
1.1686536385891505e-05,5.503806227047354e-89
1.1688591238058084e-05,5.503806224890422e-89
1.1690646451530811e-05,5.50380622273311e-89
1.1692702026373212e-05,5.50380622057542e-89
1.169475796264883e-05,5.5038062184173504e-89
1.1696814260421214e-05,5.503806216258901e-89
1.1698870919753925e-05,5.503806214100073e-89
1.170092794071054e-05,5.503806211940864e-89
1.1702985323354636e-05,5.503806209781276e-89
1.1705043067749818e-05,5.5038062076213085e-89
1.170710117395969e-05,5.503806205460961e-89
1.1709159642047868e-05,5.5038062033002336e-89
1.1711218472077982e-05,5.503806201139126e-89
1.1713277664113672e-05,5.50380619897764e-89
1.1715337218218593e-05,5.503806196815771e-89
1.1717397134456403e-05,5.503806194653524e-89
1.1719457412890783e-05,5.503806192490897e-89
1.172151805358541e-05,5.503806190327889e-89
1.1723579056603986e-05,5.503806188164501e-89
1.1725640422010216e-05,5.503806186000732e-89
1.1727702149867825e-05,5.503806183836582e-89
1.1729764240240532e-05,5.503806181672053e-89
1.1731826693192089e-05,5.5038061795071435e-89
1.173388950878624e-05,5.5038061773418515e-89
1.1735952687086755e-05,5.5038061751761806e-89
1.1738016228157407e-05,5.503806173010129e-89
1.174008013206198e-05,5.5038061708436954e-89
1.1742144398864272e-05,5.503806168676881e-89
1.1744209028628096e-05,5.503806166509685e-89
1.1746274021417267e-05,5.503806164342109e-89
1.1748339377295616e-05,5.503806162174152e-89
1.1750405096326988e-05,5.503806160005814e-89
1.1752471178575235e-05,5.5038061578370946e-89
1.1754537624104223e-05,5.5038061556679935e-89
1.1756604432977824e-05,5.50380615349851e-89
1.1758671605259932e-05,5.5038061513286465e-89
1.1760739141014437e-05,5.503806149158402e-89
1.1762807040305254e-05,5.503806146987774e-89
1.1764875303196305e-05,5.503806144816765e-89
1.1766943929751517e-05,5.5038061426453746e-89
1.1769012920034836e-05,5.503806140473603e-89
1.1771082274110218e-05,5.503806138301449e-89
1.1773151992041629e-05,5.503806136128913e-89
1.1775222073893044e-05,5.503806133955995e-89
1.1777292519728452e-05,5.5038061317826936e-89
1.177936332961185e-05,5.503806129609012e-89
1.1781434503607254e-05,5.503806127434948e-89
1.1783506041778683e-05,5.503806125260501e-89
1.178557794419017e-05,5.503806123085672e-89
1.1787650210905758e-05,5.5038061209104606e-89
1.178972284198951e-05,5.503806118734867e-89
1.1791795837505486e-05,5.5038061165588905e-89
1.1793869197517767e-05,5.503806114382531e-89
1.179594292209044e-05,5.50380611220579e-89
1.1798017011287611e-05,5.503806110028665e-89
1.180009146517339e-05,5.503806107851158e-89
1.1802166283811898e-05,5.503806105673268e-89
1.180424146726727e-05,5.5038061034949946e-89
1.1806317015603657e-05,5.503806101316339e-89
1.1808392928885212e-05,5.503806099137299e-89
1.1810469207176105e-05,5.5038060969578776e-89
1.1812545850540515e-05,5.503806094778072e-89
1.1814622859042633e-05,5.503806092597883e-89
1.1816700232746663e-05,5.503806090417311e-89
1.1818777971716817e-05,5.503806088236354e-89
1.182085607601732e-05,5.503806086055016e-89
1.182293454571241e-05,5.5038060838732936e-89
1.1825013380866334e-05,5.503806081691188e-89
1.182709258154335e-05,5.5038060795086975e-89
1.1829172147807727e-05,5.503806077325824e-89
1.183125207972375e-05,5.503806075142568e-89
1.183333237735571e-05,5.503806072958925e-89
1.1835413040767908e-05,5.503806070774901e-89
1.1837494070024666e-05,5.5038060685904904e-89
1.1839575465190307e-05,5.5038060664056984e-89
1.1841657226329168e-05,5.50380606422052e-89
1.18437393535056e-05,5.503806062034959e-89
1.1845821846783964e-05,5.503806059849012e-89
1.184790470622863e-05,5.503806057662682e-89
1.1849987931903983e-05,5.5038060554759665e-89
1.1852071523874415e-05,5.503806053288868e-89
1.1854155482204337e-05,5.5038060511013846e-89
1.185623980695816e-05,5.503806048913515e-89
1.185832449820032e-05,5.503806046725262e-89
1.186040955599525e-05,5.503806044536625e-89
1.1862494980407405e-05,5.503806042347602e-89
1.1864580771501242e-05,5.5038060401581935e-89
1.1866666929341244e-05,5.5038060379684016e-89
1.1868753453991893e-05,5.5038060357782245e-89
1.1870840345517681e-05,5.503806033587662e-89
1.187292760398312e-05,5.503806031396713e-89
1.187501522945273e-05,5.503806029205381e-89
1.1877103221991039e-05,5.503806027013662e-89
1.1879191581662589e-05,5.503806024821558e-89
1.1881280308531934e-05,5.503806022629069e-89
1.188336940266364e-05,5.503806020436193e-89
1.1885458864122283e-05,5.5038060182429346e-89
1.1887548692972447e-05,5.503806016049287e-89
1.1889638889278737e-05,5.503806013855257e-89
1.1891729453105753e-05,5.503806011660838e-89
1.1893820384518129e-05,5.5038060094660346e-89
1.1895911683580489e-05,5.503806007270845e-89
1.1898003350357477e-05,5.503806005075271e-89
1.1900095384913753e-05,5.503806002879309e-89
1.190218778731398e-05,5.503806000682962e-89
1.1904280557622842e-05,5.503805998486228e-89
1.1906373695905023e-05,5.503805996289109e-89
1.1908467202225226e-05,5.503805994091603e-89
1.1910561076648163e-05,5.5038059918937106e-89
1.1912655319238558e-05,5.5038059896954314e-89
1.1914749930061148e-05,5.503805987496766e-89
1.1916844909180674e-05,5.5038059852977134e-89
1.1918940256661901e-05,5.5038059830982754e-89
1.1921035972569594e-05,5.503805980898451e-89
1.1923132056968534e-05,5.5038059786982365e-89
1.1925228509923516e-05,5.503805976497639e-89
1.1927325331499338e-05,5.5038059742966516e-89
1.1929422521760818e-05,5.503805972095279e-89
1.1931520080772786e-05,5.5038059698935194e-89
1.1933618008600073e-05,5.503805967691371e-89
1.193571630530753e-05,5.503805965488837e-89
1.1937814970960021e-05,5.503805963285916e-89
1.1939914005622416e-05,5.503805961082607e-89
1.1942013409359598e-05,5.5038059588789105e-89
1.1944113182236459e-05,5.503805956674827e-89
1.1946213324317909e-05,5.503805954470354e-89
1.1948313835668861e-05,5.503805952265495e-89
1.1950414716354249e-05,5.50380595006025e-89
1.1952515966439013e-05,5.503805947854615e-89
1.1954617585988102e-05,5.5038059456485914e-89
1.1956719575066477e-05,5.503805943442182e-89
1.195882193373912e-05,5.5038059412353835e-89
1.1960924662071011e-05,5.5038059390281976e-89
1.196302776012715e-05,5.5038059368206226e-89
1.1965131227972544e-05,5.50380593461266e-89
1.1967235065672215e-05,5.50380593240431e-89
1.1969339273291195e-05,5.50380593019557e-89
1.1971443850894526e-05,5.5038059279864434e-89
1.1973548798547261e-05,5.5038059257769276e-89
1.197565411631447e-05,5.503805923567024e-89
1.197775980426123e-05,5.50380592135673e-89
1.1979865862452626e-05,5.5038059191460485e-89
1.1981972290953762e-05,5.50380591693498e-89
1.1984079089829748e-05,5.503805914723519e-89
1.198618625914571e-05,5.503805912511672e-89
1.198829379896678e-05,5.5038059102994356e-89
1.1990401709358103e-05,5.50380590808681e-89
1.199250999038484e-05,5.5038059058737946e-89
1.1994618642112156e-05,5.50380590366039e-89
1.1996727664605237e-05,5.503805901446598e-89
1.1998837057929273e-05,5.503805899232415e-89
1.2000946822149464e-05,5.503805897017844e-89
1.2003056957331031e-05,5.5038058948028824e-89
1.2005167463539195e-05,5.503805892587533e-89
1.2007278340839195e-05,5.503805890371792e-89
1.2009389589296282e-05,5.503805888155663e-89
