Epsilon_beta,Time [Days]
137786036459679.39,1.1574074074074073e-05
137613884901368.03,1.1576109151910821e-05
137441708028546.3,1.157814458757678e-05
137269505835903.64,1.158018038113487e-05
137097278318127.97,1.1582216532648015e-05
136925027054093.95,1.1584253042179158e-05
136752753908746.34,1.1586289909791249e-05
136580455422075.39,1.1588327135547246e-05
136408131588764.53,1.1590364719510128e-05
136235782403497.5,1.1592402661742875e-05
136063407860955.48,1.1594440962308483e-05
135891007955819.22,1.1596479621269957e-05
135718582682767.62,1.1598518638690315e-05
135546132036478.34,1.1600558014632583e-05
135373660755023.06,1.1602597749159803e-05
135201166971908.6,1.1604637842335022e-05
135028647799560.52,1.1606678294221306e-05
134856103232653.45,1.1608719104881723e-05
134683533265860.42,1.1610760274379357e-05
134510937893852.81,1.1612801802777306e-05
134338317111300.75,1.1614843690138673e-05
134165670912873.55,1.1616885936526574e-05
133993000004508.95,1.1618928542004138e-05
133820313241630.23,1.1620971506634507e-05
133647601047091.08,1.1623014830480826e-05
133474863415556.81,1.162505851360626e-05
133302100341691.72,1.1627102556073979e-05
133129311820158.53,1.1629146957947168e-05
132956497845619.03,1.163119171928902e-05
132783658412733.25,1.1633236840162742e-05
132610793516160.8,1.1635282320631548e-05
132437911638682.67,1.163732816075867e-05
132265008809787.83,1.1639374360607345e-05
132092080501641.84,1.1641420920240822e-05
131919126708900.11,1.1643467839722364e-05
131746147426216.73,1.1645515119115243e-05
131573142648244.94,1.1647562758482743e-05
131400112369636.62,1.1649610757888157e-05
131227056585042.23,1.1651659117394789e-05
131053981112864.27,1.1653707837065959e-05
130880890107359.84,1.1655756916964996e-05
130707773580540.69,1.1657806357155237e-05
130534631527053.52,1.1659856157700035e-05
130361463941544.61,1.1661906318662747e-05
130188270818658.72,1.1663956840106745e-05
130015052153038.84,1.1666007722095419e-05
129841807939326.6,1.1668058964692159e-05
129668542170089.3,1.1670110567960373e-05
129495265514273.22,1.1672162531963473e-05
129321963295284.48,1.1674214856764896e-05
129148635507761.53,1.1676267542428077e-05
128975282146342.22,1.1678320589016465e-05
128801903205662.66,1.1680373996593523e-05
128628498680357.86,1.1682427765222725e-05
128455068565061.27,1.1684481894967554e-05
128281616881803.12,1.1686536385891505e-05
128108157168951.12,1.1688591238058084e-05
127934671851286.39,1.1690646451530811e-05
127761160923439.42,1.1692702026373212e-05
127587624380039.44,1.169475796264883e-05
127414062215714.73,1.1696814260421214e-05
127240474425091.86,1.1698870919753925e-05
127066861002796.02,1.170092794071054e-05
126893228890147.11,1.1702985323354636e-05
126719588778814.2,1.1705043067749818e-05
126545923021258.66,1.170710117395969e-05
126372231612102.78,1.1709159642047868e-05
126198514545968.03,1.1711218472077982e-05
126024771817474.6,1.1713277664113672e-05
