time_days,Xe135 top 15
1.1574074074074073e-05,1.7539499747980256e-88
1.1576109151910821e-05,1.7539499683003312e-88
1.157814458757678e-05,1.7539499618014938e-88
1.158018038113487e-05,1.7539499553015148e-88
1.1582216532648015e-05,1.7539499488003926e-88
1.1584253042179158e-05,1.7539499422981268e-88
1.1586289909791249e-05,1.7539499357947183e-88
1.1588327135547246e-05,1.7539499292901662e-88
1.1590364719510128e-05,1.75394992278447e-88
1.1592402661742875e-05,1.7539499162776306e-88
1.1594440962308483e-05,1.7539499097696468e-88
1.1596479621269957e-05,1.7539499032605187e-88
1.1598518638690315e-05,1.7539498967502464e-88
1.1600558014632583e-05,1.7539498902388291e-88
1.1602597749159803e-05,1.753949883726267e-88
1.1604637842335022e-05,1.75394987721256e-88
1.1606678294221306e-05,1.7539498706977073e-88
1.1608719104881723e-05,1.7539498641817094e-88
1.1610760274379357e-05,1.7539498576645653e-88
1.1612801802777306e-05,1.753949851146276e-88
1.1614843690138673e-05,1.7539498446268407e-88
1.1616885936526574e-05,1.7539498381062584e-88
1.1618928542004138e-05,1.7539498315845303e-88
1.1620971506634507e-05,1.753949825061655e-88
1.1623014830480826e-05,1.7539498185376328e-88
1.162505851360626e-05,1.7539498120124635e-88
1.1627102556073979e-05,1.7539498054861475e-88
1.1629146957947168e-05,1.7539497989586838e-88
1.163119171928902e-05,1.753949792430072e-88
1.1633236840162742e-05,1.7539497859003124e-88
1.1635282320631548e-05,1.7539497793694046e-88
1.163732816075867e-05,1.7539497728373486e-88
1.1639374360607345e-05,1.7539497663041446e-88
1.1641420920240822e-05,1.7539497597697911e-88
1.1643467839722364e-05,1.7539497532342891e-88
1.1645515119115243e-05,1.753949746697638e-88
1.1647562758482743e-05,1.7539497401598372e-88
1.1649610757888157e-05,1.7539497336208873e-88
1.1651659117394789e-05,1.7539497270807876e-88
1.1653707837065959e-05,1.753949720539538e-88
1.1655756916964996e-05,1.7539497139971382e-88
1.1657806357155237e-05,1.7539497074535879e-88
1.1659856157700035e-05,1.7539497009088873e-88
1.1661906318662747e-05,1.7539496943630356e-88
1.1663956840106745e-05,1.7539496878160334e-88
1.1666007722095419e-05,1.7539496812678798e-88
1.1668058964692159e-05,1.753949674718575e-88
1.1670110567960373e-05,1.7539496681681186e-88
1.1672162531963473e-05,1.7539496616165104e-88
1.1674214856764896e-05,1.7539496550637503e-88
1.1676267542428077e-05,1.753949648509838e-88
1.1678320589016465e-05,1.7539496419547735e-88
1.1680373996593523e-05,1.7539496353985566e-88
1.1682427765222725e-05,1.7539496288411865e-88
1.1684481894967554e-05,1.753949622282664e-88
1.1686536385891505e-05,1.7539496157229877e-88
1.1688591238058084e-05,1.7539496091621586e-88
1.1690646451530811e-05,1.753949602600175e-88
1.1692702026373212e-05,1.7539495960370385e-88
1.169475796264883e-05,1.7539495894727475e-88
1.1696814260421214e-05,1.753949582907303e-88
1.1698870919753925e-05,1.753949576340704e-88
1.170092794071054e-05,1.75394956977295e-88
1.1702985323354636e-05,1.7539495632040412e-88
1.1705043067749818e-05,1.7539495566339777e-88
1.170710117395969e-05,1.7539495500627585e-88
1.1709159642047868e-05,1.7539495434903846e-88
1.1711218472077982e-05,1.7539495369168545e-88
1.1713277664113672e-05,1.7539495303421692e-88
1.1715337218218593e-05,1.7539495237663275e-88
1.1717397134456403e-05,1.7539495171893294e-88
1.1719457412890783e-05,1.7539495106111752e-88
1.172151805358541e-05,1.7539495040318644e-88
1.1723579056603986e-05,1.7539494974513966e-88
1.1725640422010216e-05,1.7539494908697716e-88
1.1727702149867825e-05,1.75394948428699e-88
1.1729764240240532e-05,1.7539494777030507e-88
1.1731826693192089e-05,1.7539494711179535e-88
1.173388950878624e-05,1.7539494645316985e-88
1.1735952687086755e-05,1.7539494579442858e-88
1.1738016228157407e-05,1.7539494513557146e-88
1.174008013206198e-05,1.753949444765985e-88
1.1742144398864272e-05,1.7539494381750963e-88
1.1744209028628096e-05,1.7539494315830496e-88
1.1746274021417267e-05,1.7539494249898432e-88
1.1748339377295616e-05,1.7539494183954777e-88
1.1750405096326988e-05,1.753949411799953e-88
1.1752471178575235e-05,1.7539494052032684e-88
1.1754537624104223e-05,1.753949398605424e-88
1.1756604432977824e-05,1.7539493920064192e-88
1.1758671605259932e-05,1.7539493854062544e-88
1.1760739141014437e-05,1.7539493788049293e-88
1.1762807040305254e-05,1.7539493722024434e-88
1.1764875303196305e-05,1.7539493655987966e-88
1.1766943929751517e-05,1.7539493589939887e-88
1.1769012920034836e-05,1.7539493523880194e-88
1.1771082274110218e-05,1.7539493457808887e-88
1.1773151992041629e-05,1.7539493391725958e-88
1.1775222073893044e-05,1.7539493325631412e-88
1.1777292519728452e-05,1.753949325952525e-88
1.177936332961185e-05,1.753949319340746e-88
1.1781434503607254e-05,1.7539493127278047e-88
1.1783506041778683e-05,1.7539493061137008e-88
1.178557794419017e-05,1.7539492994984336e-88
1.1787650210905758e-05,1.7539492928820035e-88
1.178972284198951e-05,1.7539492862644096e-88
1.1791795837505486e-05,1.7539492796456523e-88
1.1793869197517767e-05,1.7539492730257316e-88
1.179594292209044e-05,1.753949266404647e-88
1.1798017011287611e-05,1.7539492597823983e-88
1.180009146517339e-05,1.7539492531589847e-88
1.1802166283811898e-05,1.7539492465344067e-88
1.180424146726727e-05,1.7539492399086643e-88
1.1806317015603657e-05,1.7539492332817562e-88
1.1808392928885212e-05,1.7539492266536834e-88
1.1810469207176105e-05,1.7539492200244452e-88
1.1812545850540515e-05,1.7539492133940415e-88
1.1814622859042633e-05,1.7539492067624716e-88
1.1816700232746663e-05,1.753949200129736e-88
1.1818777971716817e-05,1.753949193495834e-88
1.182085607601732e-05,1.753949186860766e-88
1.182293454571241e-05,1.753949180224531e-88
1.1825013380866334e-05,1.753949173587129e-88
1.182709258154335e-05,1.75394916694856e-88
1.1829172147807727e-05,1.753949160308824e-88
1.183125207972375e-05,1.7539491536679207e-88
1.183333237735571e-05,1.7539491470258497e-88
1.1835413040767908e-05,1.7539491403826105e-88
1.1837494070024666e-05,1.7539491337382035e-88
1.1839575465190307e-05,1.753949127092628e-88
1.1841657226329168e-05,1.7539491204458844e-88
1.18437393535056e-05,1.753949113797972e-88
1.1845821846783964e-05,1.7539491071488906e-88
1.184790470622863e-05,1.75394910049864e-88
1.1849987931903983e-05,1.7539490938472202e-88
1.1852071523874415e-05,1.7539490871946312e-88
1.1854155482204337e-05,1.753949080540872e-88
1.185623980695816e-05,1.7539490738859433e-88
1.185832449820032e-05,1.7539490672298447e-88
1.186040955599525e-05,1.7539490605725752e-88
1.1862494980407405e-05,1.7539490539141354e-88
1.1864580771501242e-05,1.7539490472545246e-88
1.1866666929341244e-05,1.753949040593743e-88
1.1868753453991893e-05,1.7539490339317905e-88
1.1870840345517681e-05,1.7539490272686665e-88
1.187292760398312e-05,1.753949020604371e-88
1.187501522945273e-05,1.753949013938904e-88
1.1877103221991039e-05,1.7539490072722645e-88
1.1879191581662589e-05,1.7539490006044534e-88
1.1881280308531934e-05,1.7539489939354693e-88
1.188336940266364e-05,1.753948987265313e-88
1.1885458864122283e-05,1.7539489805939833e-88
1.1887548692972447e-05,1.7539489739214814e-88
1.1889638889278737e-05,1.7539489672478062e-88
1.1891729453105753e-05,1.7539489605729572e-88
1.1893820384518129e-05,1.753948953896935e-88
1.1895911683580489e-05,1.7539489472197388e-88
1.1898003350357477e-05,1.753948940541368e-88
1.1900095384913753e-05,1.7539489338618235e-88
1.190218778731398e-05,1.7539489271811051e-88
1.1904280557622842e-05,1.7539489204992112e-88
1.1906373695905023e-05,1.753948913816143e-88
1.1908467202225226e-05,1.753948907131899e-88
1.1910561076648163e-05,1.7539489004464802e-88
1.1912655319238558e-05,1.753948893759886e-88
1.1914749930061148e-05,1.753948887072116e-88
1.1916844909180674e-05,1.7539488803831705e-88
1.1918940256661901e-05,1.7539488736930484e-88
1.1921035972569594e-05,1.7539488670017502e-88
1.1923132056968534e-05,1.7539488603092753e-88
1.1925228509923516e-05,1.7539488536156238e-88
1.1927325331499338e-05,1.7539488469207953e-88
1.1929422521760818e-05,1.7539488402247896e-88
1.1931520080772786e-05,1.7539488335276067e-88
1.1933618008600073e-05,1.7539488268292463e-88
1.193571630530753e-05,1.7539488201297083e-88
1.1937814970960021e-05,1.7539488134289922e-88
1.1939914005622416e-05,1.753948806727098e-88
1.1942013409359598e-05,1.7539488000240252e-88
1.1944113182236459e-05,1.753948793319774e-88
1.1946213324317909e-05,1.753948786614344e-88
1.1948313835668861e-05,1.753948779907735e-88
1.1950414716354249e-05,1.7539487731999467e-88
1.1952515966439013e-05,1.7539487664909788e-88
1.1954617585988102e-05,1.7539487597808316e-88
1.1956719575066477e-05,1.7539487530695046e-88
1.195882193373912e-05,1.7539487463569975e-88
1.1960924662071011e-05,1.7539487396433103e-88
1.196302776012715e-05,1.753948732928442e-88
1.1965131227972544e-05,1.753948726212394e-88
1.1967235065672215e-05,1.7539487194951644e-88
1.1969339273291195e-05,1.7539487127767537e-88
1.1971443850894526e-05,1.7539487060571624e-88
1.1973548798547261e-05,1.753948699336389e-88
1.197565411631447e-05,1.7539486926144344e-88
1.197775980426123e-05,1.7539486858912977e-88
1.1979865862452626e-05,1.753948679166979e-88
1.1981972290953762e-05,1.7539486724414777e-88
1.1984079089829748e-05,1.753948665714794e-88
1.198618625914571e-05,1.7539486589869277e-88
1.198829379896678e-05,1.753948652257878e-88
1.1990401709358103e-05,1.753948645527646e-88
1.199250999038484e-05,1.7539486387962296e-88
1.1994618642112156e-05,1.7539486320636303e-88
1.1996727664605237e-05,1.753948625329847e-88
1.1998837057929273e-05,1.75394861859488e-88
1.2000946822149464e-05,1.7539486118587283e-88
1.2003056957331031e-05,1.753948605121393e-88
1.2005167463539195e-05,1.753948598382873e-88
1.2007278340839195e-05,1.753948591643167e-88
1.2009389589296282e-05,1.7539485849022773e-88
1.2011501208975716e-05,1.7539485781602015e-88
1.2013613199942771e-05,1.7539485714169406e-88
1.2015725562262726e-05,1.753948564672494e-88
1.2017838296000882e-05,1.753948557926862e-88
1.2019951401222542e-05,1.7539485511800433e-88
1.2022064877993026e-05,1.7539485444320386e-88
1.2024178726377662e-05,1.7539485376828473e-88
1.2026292946441793e-05,1.7539485309324696e-88
1.202840753825077e-05,1.7539485241809047e-88
1.2030522501869958e-05,1.753948517428153e-88
1.2032637837364735e-05,1.7539485106742138e-88
1.2034753544800484e-05,1.753948503919087e-88
1.2036869624242604e-05,1.7539484971627723e-88
1.203898607575651e-05,1.7539484904052698e-88
1.204110289940762e-05,1.7539484836465795e-88
1.2043220095261365e-05,1.7539484768867003e-88
1.2045337663383193e-05,1.7539484701256333e-88
1.204745560383856e-05,1.7539484633633766e-88
1.2049573916692932e-05,1.7539484565999315e-88
1.2051692602011791e-05,1.753948449835297e-88
1.2053811659860622e-05,1.7539484430694734e-88
1.2055931090304936e-05,1.7539484363024598e-88
1.205805089341024e-05,1.753948429534257e-88
1.206017106924206e-05,1.7539484227648633e-88
1.2062291617865934e-05,1.7539484159942798e-88
1.2064412539347413e-05,1.753948409222506e-88
1.2066533833752049e-05,1.7539484024495407e-88
1.2068655501145422e-05,1.753948395675385e-88
1.2070777541593109e-05,1.7539483889000388e-88
1.2072899955160708e-05,1.7539483821235007e-88
1.2075022741913823e-05,1.7539483753457716e-88
1.2077145901918073e-05,1.75394836856685e-88
1.2079269435239086e-05,1.7539483617867374e-88
1.20813933419425e-05,1.7539483550054325e-88
1.2083517622093972e-05,1.7539483482229347e-88
1.2085642275759164e-05,1.7539483414392443e-88
1.208776730300375e-05,1.7539483346543617e-88
1.2089892703893416e-05,1.753948327868286e-88
1.2092018478493862e-05,1.7539483210810173e-88
1.2094144626870797e-05,1.7539483142925548e-88
1.2096271149089946e-05,1.7539483075028989e-88
1.2098398045217035e-05,1.753948300712049e-88
1.2100525315317814e-05,1.7539482939200056e-88
1.2102652959458035e-05,1.7539482871267675e-88
1.210478097770347e-05,1.7539482803323356e-88
1.2106909370119895e-05,1.7539482735367082e-88
1.2109038136773103e-05,1.7539482667398863e-88
1.2111167277728895e-05,1.7539482599418694e-88
1.2113296793053085e-05,1.7539482531426574e-88
1.2115426682811497e-05,1.7539482463422496e-88
1.2117556947069973e-05,1.753948239540646e-88
1.2119687585894356e-05,1.7539482327378464e-88
