time_days,Ce144 top 20
1.1574074074074073e-05,6.007083910361296e-92
1.1576109151910821e-05,6.007083910331535e-92
1.157814458757678e-05,6.0070839103017705e-92
1.158018038113487e-05,6.0070839102719995e-92
1.1582216532648015e-05,6.007083910242224e-92
1.1584253042179158e-05,6.007083910212443e-92
1.1586289909791249e-05,6.007083910182656e-92
1.1588327135547246e-05,6.007083910152865e-92
1.1590364719510128e-05,6.0070839101230683e-92
1.1592402661742875e-05,6.007083910093266e-92
1.1594440962308483e-05,6.007083910063459e-92
1.1596479621269957e-05,6.0070839100336464e-92
1.1598518638690315e-05,6.007083910003829e-92
1.1600558014632583e-05,6.007083909974005e-92
1.1602597749159803e-05,6.007083909944177e-92
1.1604637842335022e-05,6.007083909914344e-92
1.1606678294221306e-05,6.0070839098845054e-92
1.1608719104881723e-05,6.007083909854661e-92
1.1610760274379357e-05,6.0070839098248115e-92
1.1612801802777306e-05,6.007083909794957e-92
1.1614843690138673e-05,6.007083909765097e-92
1.1616885936526574e-05,6.0070839097352316e-92
1.1618928542004138e-05,6.007083909705362e-92
1.1620971506634507e-05,6.007083909675486e-92
1.1623014830480826e-05,6.007083909645606e-92
1.162505851360626e-05,6.00708390961572e-92
1.1627102556073979e-05,6.007083909585829e-92
1.1629146957947168e-05,6.007083909555931e-92
1.163119171928902e-05,6.00708390952603e-92
1.1633236840162742e-05,6.007083909496122e-92
1.1635282320631548e-05,6.007083909466211e-92
1.163732816075867e-05,6.007083909436293e-92
1.1639374360607345e-05,6.00708390940637e-92
1.1641420920240822e-05,6.0070839093764416e-92
1.1643467839722364e-05,6.0070839093465084e-92
1.1645515119115243e-05,6.007083909316569e-92
1.1647562758482743e-05,6.0070839092866265e-92
1.1649610757888157e-05,6.007083909256677e-92
1.1651659117394789e-05,6.007083909226723e-92
1.1653707837065959e-05,6.0070839091967625e-92
1.1655756916964996e-05,6.007083909166798e-92
1.1657806357155237e-05,6.0070839091368274e-92
1.1659856157700035e-05,6.0070839091068514e-92
1.1661906318662747e-05,6.007083909076871e-92
1.1663956840106745e-05,6.007083909046885e-92
1.1666007722095419e-05,6.007083909016895e-92
1.1668058964692159e-05,6.0070839089868975e-92
1.1670110567960373e-05,6.0070839089568956e-92
1.1672162531963473e-05,6.007083908926889e-92
1.1674214856764896e-05,6.007083908896877e-92
1.1676267542428077e-05,6.007083908866859e-92
1.1678320589016465e-05,6.0070839088368354e-92
1.1680373996593523e-05,6.007083908806807e-92
1.1682427765222725e-05,6.0070839087767737e-92
1.1684481894967554e-05,6.007083908746734e-92
1.1686536385891505e-05,6.007083908716691e-92
1.1688591238058084e-05,6.0070839086866405e-92
1.1690646451530811e-05,6.007083908656586e-92
1.1692702026373212e-05,6.007083908626526e-92
1.169475796264883e-05,6.007083908596462e-92
1.1696814260421214e-05,6.007083908566391e-92
1.1698870919753925e-05,6.0070839085363154e-92
1.170092794071054e-05,6.007083908506234e-92
1.1702985323354636e-05,6.007083908476148e-92
1.1705043067749818e-05,6.007083908446056e-92
1.170710117395969e-05,6.0070839084159596e-92
1.1709159642047868e-05,6.0070839083858575e-92
1.1711218472077982e-05,6.00708390835575e-92
1.1713277664113672e-05,6.007083908325637e-92
1.1715337218218593e-05,6.0070839082955186e-92
1.1717397134456403e-05,6.0070839082653954e-92
1.1719457412890783e-05,6.007083908235267e-92
1.172151805358541e-05,6.007083908205132e-92
1.1723579056603986e-05,6.007083908174993e-92
1.1725640422010216e-05,6.007083908144849e-92
1.1727702149867825e-05,6.0070839081146984e-92
1.1729764240240532e-05,6.0070839080845425e-92
1.1731826693192089e-05,6.0070839080543825e-92
1.173388950878624e-05,6.007083908024217e-92
1.1735952687086755e-05,6.007083907994046e-92
1.1738016228157407e-05,6.00708390796387e-92
1.174008013206198e-05,6.007083907933688e-92
1.1742144398864272e-05,6.0070839079035015e-92
1.1744209028628096e-05,6.007083907873308e-92
1.1746274021417267e-05,6.007083907843111e-92
1.1748339377295616e-05,6.0070839078129085e-92
1.1750405096326988e-05,6.0070839077826995e-92
1.1752471178575235e-05,6.007083907752485e-92
1.1754537624104223e-05,6.007083907722267e-92
1.1756604432977824e-05,6.0070839076920424e-92
1.1758671605259932e-05,6.007083907661813e-92
1.1760739141014437e-05,6.007083907631578e-92
1.1762807040305254e-05,6.0070839076013376e-92
1.1764875303196305e-05,6.0070839075710925e-92
1.1766943929751517e-05,6.007083907540842e-92
1.1769012920034836e-05,6.0070839075105845e-92
1.1771082274110218e-05,6.007083907480323e-92
1.1773151992041629e-05,6.0070839074500574e-92
1.1775222073893044e-05,6.007083907419786e-92
1.1777292519728452e-05,6.007083907389508e-92
1.177936332961185e-05,6.007083907359225e-92
1.1781434503607254e-05,6.007083907328937e-92
1.1783506041778683e-05,6.007083907298644e-92
1.178557794419017e-05,6.0070839072683454e-92
1.1787650210905758e-05,6.007083907238041e-92
1.178972284198951e-05,6.0070839072077325e-92
1.1791795837505486e-05,6.007083907177418e-92
1.1793869197517767e-05,6.007083907147097e-92
1.179594292209044e-05,6.007083907116772e-92
1.1798017011287611e-05,6.0070839070864406e-92
1.180009146517339e-05,6.0070839070561055e-92
1.1802166283811898e-05,6.0070839070257636e-92
1.180424146726727e-05,6.007083906995416e-92
1.1806317015603657e-05,6.0070839069650656e-92
1.1808392928885212e-05,6.007083906934707e-92
1.1810469207176105e-05,6.007083906904344e-92
1.1812545850540515e-05,6.0070839068739766e-92
1.1814622859042633e-05,6.0070839068436033e-92
1.1816700232746663e-05,6.007083906813225e-92
1.1818777971716817e-05,6.0070839067828406e-92
1.182085607601732e-05,6.007083906752452e-92
1.182293454571241e-05,6.0070839067220566e-92
1.1825013380866334e-05,6.007083906691657e-92
1.182709258154335e-05,6.007083906661251e-92
1.1829172147807727e-05,6.00708390663084e-92
1.183125207972375e-05,6.007083906600424e-92
1.183333237735571e-05,6.0070839065700025e-92
1.1835413040767908e-05,6.007083906539577e-92
1.1837494070024666e-05,6.007083906509144e-92
1.1839575465190307e-05,6.0070839064787064e-92
1.1841657226329168e-05,6.007083906448264e-92
1.18437393535056e-05,6.007083906417815e-92
1.1845821846783964e-05,6.007083906387361e-92
1.184790470622863e-05,6.007083906356903e-92
1.1849987931903983e-05,6.0070839063264384e-92
1.1852071523874415e-05,6.007083906295969e-92
1.1854155482204337e-05,6.007083906265493e-92
1.185623980695816e-05,6.007083906235012e-92
1.185832449820032e-05,6.007083906204528e-92
1.186040955599525e-05,6.007083906174036e-92
1.1862494980407405e-05,6.00708390614354e-92
1.1864580771501242e-05,6.0070839061130376e-92
1.1866666929341244e-05,6.007083906082531e-92
1.1868753453991893e-05,6.0070839060520186e-92
1.1870840345517681e-05,6.0070839060215e-92
1.187292760398312e-05,6.007083905990977e-92
1.187501522945273e-05,6.0070839059604487e-92
1.1877103221991039e-05,6.007083905929915e-92
1.1879191581662589e-05,6.007083905899376e-92
1.1881280308531934e-05,6.00708390586883e-92
1.188336940266364e-05,6.00708390583828e-92
1.1885458864122283e-05,6.007083905807726e-92
1.1887548692972447e-05,6.007083905777164e-92
1.1889638889278737e-05,6.0070839057465976e-92
1.1891729453105753e-05,6.007083905716027e-92
1.1893820384518129e-05,6.007083905685449e-92
1.1895911683580489e-05,6.007083905654867e-92
1.1898003350357477e-05,6.0070839056242797e-92
1.1900095384913753e-05,6.0070839055936864e-92
1.190218778731398e-05,6.007083905563088e-92
1.1904280557622842e-05,6.0070839055324835e-92
1.1906373695905023e-05,6.007083905501875e-92
1.1908467202225226e-05,6.00708390547126e-92
1.1910561076648163e-05,6.0070839054406396e-92
1.1912655319238558e-05,6.0070839054100144e-92
1.1914749930061148e-05,6.0070839053793836e-92
1.1916844909180674e-05,6.007083905348748e-92
1.1918940256661901e-05,6.0070839053181065e-92
1.1921035972569594e-05,6.00708390528746e-92
1.1923132056968534e-05,6.0070839052568075e-92
1.1925228509923516e-05,6.0070839052261495e-92
1.1927325331499338e-05,6.007083905195487e-92
1.1929422521760818e-05,6.007083905164817e-92
1.1931520080772786e-05,6.0070839051341435e-92
1.1933618008600073e-05,6.0070839051034644e-92
1.193571630530753e-05,6.00708390507278e-92
1.1937814970960021e-05,6.007083905042089e-92
1.1939914005622416e-05,6.0070839050113944e-92
1.1942013409359598e-05,6.007083904980693e-92
1.1944113182236459e-05,6.0070839049499864e-92
1.1946213324317909e-05,6.007083904919276e-92
1.1948313835668861e-05,6.007083904888558e-92
1.1950414716354249e-05,6.007083904857836e-92
1.1952515966439013e-05,6.007083904827108e-92
1.1954617585988102e-05,6.007083904796375e-92
1.1956719575066477e-05,6.007083904765637e-92
1.195882193373912e-05,6.007083904734892e-92
1.1960924662071011e-05,6.007083904704142e-92
1.196302776012715e-05,6.007083904673388e-92
1.1965131227972544e-05,6.007083904642628e-92
1.1967235065672215e-05,6.0070839046118615e-92
1.1969339273291195e-05,6.0070839045810904e-92
1.1971443850894526e-05,6.007083904550314e-92
1.1973548798547261e-05,6.007083904519532e-92
1.197565411631447e-05,6.007083904488744e-92
1.197775980426123e-05,6.0070839044579516e-92
1.1979865862452626e-05,6.007083904427154e-92
1.1981972290953762e-05,6.00708390439635e-92
1.1984079089829748e-05,6.007083904365541e-92
1.198618625914571e-05,6.007083904334726e-92
1.198829379896678e-05,6.007083904303906e-92
1.1990401709358103e-05,6.007083904273082e-92
1.199250999038484e-05,6.00708390424225e-92
1.1994618642112156e-05,6.007083904211414e-92
1.1996727664605237e-05,6.007083904180573e-92
1.1998837057929273e-05,6.007083904149726e-92
1.2000946822149464e-05,6.0070839041188735e-92
1.2003056957331031e-05,6.007083904088016e-92
1.2005167463539195e-05,6.007083904057152e-92
1.2007278340839195e-05,6.0070839040262844e-92
1.2009389589296282e-05,6.0070839039954104e-92
1.2011501208975716e-05,6.007083903964531e-92
1.2013613199942771e-05,6.0070839039336455e-92
1.2015725562262726e-05,6.007083903902756e-92
1.2017838296000882e-05,6.0070839038718594e-92
1.2019951401222542e-05,6.0070839038409575e-92
1.2022064877993026e-05,6.0070839038100515e-92
1.2024178726377662e-05,6.0070839037791394e-92
1.2026292946441793e-05,6.0070839037482226e-92
1.202840753825077e-05,6.007083903717299e-92
1.2030522501869958e-05,6.0070839036863704e-92
1.2032637837364735e-05,6.007083903655437e-92
1.2034753544800484e-05,6.007083903624498e-92
1.2036869624242604e-05,6.007083903593553e-92
1.203898607575651e-05,6.007083903562603e-92
1.204110289940762e-05,6.007083903531647e-92
1.2043220095261365e-05,6.007083903500686e-92
1.2045337663383193e-05,6.007083903469719e-92
1.204745560383856e-05,6.0070839034387465e-92
1.2049573916692932e-05,6.0070839034077704e-92
1.2051692602011791e-05,6.007083903376786e-92
1.2053811659860622e-05,6.007083903345798e-92
1.2055931090304936e-05,6.0070839033148045e-92
1.205805089341024e-05,6.007083903283806e-92
1.206017106924206e-05,6.007083903252801e-92
1.2062291617865934e-05,6.0070839032217916e-92
1.2064412539347413e-05,6.0070839031907745e-92
1.2066533833752049e-05,6.007083903159755e-92
1.2068655501145422e-05,6.007083903128728e-92
1.2070777541593109e-05,6.007083903097697e-92
1.2072899955160708e-05,6.0070839030666594e-92
1.2075022741913823e-05,6.007083903035616e-92
1.2077145901918073e-05,6.007083903004568e-92
1.2079269435239086e-05,6.007083902973514e-92
1.20813933419425e-05,6.007083902942455e-92
1.2083517622093972e-05,6.0070839029113904e-92
1.2085642275759164e-05,6.0070839028803195e-92
1.208776730300375e-05,6.0070839028492446e-92
1.2089892703893416e-05,6.0070839028181635e-92
1.2092018478493862e-05,6.007083902787077e-92
1.2094144626870797e-05,6.007083902755986e-92
1.2096271149089946e-05,6.0070839027248876e-92
1.2098398045217035e-05,6.0070839026937855e-92
1.2100525315317814e-05,6.0070839026626765e-92
