time_days,epsilon_dot_alpha,epsilon_dot_beta_minus,epsilon_dot
1.1574074074074073e-05,7.833911683501269e-07,722786694142577.6,722786694142577.6
1.1576109151910821e-05,7.895360775754707e-07,723226465692575.0,723226465692575.0
1.157814458757678e-05,7.956820672645337e-07,723666314567913.6,723666314567913.6
1.158018038113487e-05,8.01829137607303e-07,724106240782192.4,724106240782192.4
1.1582216532648015e-05,8.079772887937747e-07,724546244349008.1,724546244349008.1
1.1584253042179158e-05,8.141265210140063e-07,724986325281963.5,724986325281963.5
1.1586289909791249e-05,8.202768344580782e-07,725426483594660.1,725426483594660.1
1.1588327135547246e-05,8.267700845272789e-07,725886392951280.1,725886392951280.1
1.1590364719510128e-05,8.333753196545005e-07,726352762170726.9,726352762170726.9
1.1592402661742875e-05,8.39981716184866e-07,726819213392204.2,726819213392204.2
1.1594440962308483e-05,8.465892743225943e-07,727285746630130.2,727285746630130.2
1.1596479621269957e-05,8.531979942719207e-07,727752361898926.4,727752361898926.4
1.1598518638690315e-05,8.598078762371391e-07,728219059213014.4,728219059213014.4
1.1600558014632583e-05,8.664189204225593e-07,728685838586820.9,728685838586820.9
1.1602597749159803e-05,8.730582275731117e-07,729154228552607.4,729154228552607.4
1.1604637842335022e-05,8.801557340864878e-07,729648478277160.4,729648478277160.4
1.1606678294221306e-05,8.872544885594461e-07,730142814905993.5,730142814905993.5
1.1608719104881723e-05,8.943544912114051e-07,730637238454387.0,730637238454387.0
1.1610760274379357e-05,9.014557422618293e-07,731131748937620.5,731131748937620.5
1.1612801802777306e-05,9.085582419302355e-07,731626346370984.9,731626346370984.9
1.1614843690138673e-05,9.156619904361597e-07,732121030769764.4,732121030769764.4
1.1616885936526574e-05,9.227669879991903e-07,732615802149251.9,732615802149251.9
1.1618928542004138e-05,9.301364954922763e-07,733125230753347.2,733125230753347.2
1.1620971506634507e-05,9.377732950059949e-07,733649470560711.2,733649470560711.2
1.1623014830480826e-05,9.454114373035519e-07,734173802545529.8,734173802545529.8
1.162505851360626e-05,9.530509226210529e-07,734698226724012.4,734698226724012.4
1.1627102556073979e-05,9.606917511946416e-07,735222743112371.2,735222743112371.2
1.1629146957947168e-05,9.683339232605095e-07,735747351726816.8,735747351726816.8
1.163119171928902e-05,9.75977439054868e-07,736272052583566.1,736272052583566.1
1.1633236840162742e-05,9.836222988140048e-07,736796845698839.9,736796845698839.9
1.1635282320631548e-05,9.91722212756092e-07,737346243997548.9,737346243997548.9
1.163732816075867e-05,9.99945923023074e-07,737902350381583.9,737902350381583.9
1.1639374360607345e-05,1.008171079270828e-06,738458554546197.8,738458554546197.8
1.1641420920240822e-05,1.0163976817535979e-06,739014856508583.6,739014856508583.6
1.1643467839722364e-05,1.024625730725681e-06,739571256285937.9,739571256285937.9
1.1645515119115243e-05,1.032855226441414e-06,740127753895457.8,740127753895457.8
1.1647562758482743e-05,1.0410861691551862e-06,740684349354346.9,740684349354346.9
1.1649610757888157e-05,1.0494599098253817e-06,741248536683833.8,741248536683833.8
1.1651659117394789e-05,1.0583105190752953e-06,741838027342373.0,741838027342373.0
1.1653707837065959e-05,1.0671626845340806e-06,742427621651474.8,742427621651474.8
1.1655756916964996e-05,1.0760164064753604e-06,743017319629360.0,743017319629360.0
1.1657806357155237e-05,1.084871685172801e-06,743607121294257.5,743607121294257.5
1.1659856157700035e-05,1.093728520900147e-06,744197026664400.0,744197026664400.0
1.1661906318662747e-05,1.1025869139311542e-06,744787035758020.5,744787035758020.5
1.1663956840106745e-05,1.1114468645396451e-06,745377148593356.6,745377148593356.6
1.1666007722095419e-05,1.1208478663412045e-06,745995390814617.2,745995390814617.2
1.1668058964692159e-05,1.1303711726244999e-06,746620009351590.5,746620009351590.5
1.1670110567960373e-05,1.1398961533974454e-06,747244737715682.0,747244737715682.0
1.1672162531963473e-05,1.149422808954464e-06,747869575926204.1,747869575926204.1
1.1674214856764896e-05,1.1589511395900505e-06,748494524002471.2,748494524002471.2
1.1676267542428077e-05,1.1684811455987352e-06,749119581963801.4,749119581963801.4
1.1678320589016465e-05,1.1780128272750846e-06,749744749829514.5,749744749829514.5
1.1680373996593523e-05,1.1879326125941754e-06,750389692257794.6,750389692257794.6
1.1682427765222725e-05,1.1981741947825852e-06,751051035015517.6,751051035015517.6
