time_days,epsilon_dot_alpha,epsilon_dot_beta_minus,epsilon_dot
1.1574074074074073e-05,7.84640674049761e-07,1035608564805608.6,1035608564805608.6
1.1576109151910821e-05,7.908062279457902e-07,1036039869636390.9,1036039869636390.9
1.157814458757678e-05,7.969728659355055e-07,1036471250303807.9,1036471250303807.9
1.158018038113487e-05,8.031405882095325e-07,1036902706821194.6,1036902706821194.6
1.1582216532648015e-05,8.093093949585054e-07,1037334239201882.9,1037334239201882.9
1.1584253042179158e-05,8.154792863731202e-07,1037765847459218.4,1037765847459218.4
1.1586289909791249e-05,8.216502626440961e-07,1038197531606538.2,1038197531606538.2
1.1588327135547246e-05,8.281011954022938e-07,1038644177259048.2,1038644177259048.2
1.1590364719510128e-05,8.347285309522656e-07,1039100256929965.8,1039100256929965.8
1.1592402661742875e-05,8.413570317913145e-07,1039556416793692.6,1039556416793692.6
1.1594440962308483e-05,8.479866981243421e-07,1040012656864333.1,1040012656864333.1
1.1596479621269957e-05,8.546175301562672e-07,1040468977155986.9,1040468977155986.9
1.1598518638690315e-05,8.612495280920674e-07,1040925377682762.1,1040925377682762.1
1.1600558014632583e-05,8.678826921367363e-07,1041381858458762.2,1041381858458762.2
1.1602597749159803e-05,8.745170224953183e-07,1041838419498102.9,1041838419498102.9
1.1604637842335022e-05,8.816002265439878e-07,1042318544747861.1,1042318544747861.1
1.1606678294221306e-05,8.887226393824412e-07,1042800745739287.2,1042800745739287.2
1.1608719104881723e-05,8.958463045597631e-07,1043283031516455.5,1043283031516455.5
1.1610760274379357e-05,9.029712222961483e-07,1043765402094272.2,1043765402094272.2
1.1612801802777306e-05,9.100973928118459e-07,1044247857487650.2,1044247857487650.2
1.1614843690138673e-05,9.172248163271229e-07,1044730397711502.9,1044730397711502.9
1.1616885936526574e-05,9.243534930623e-07,1045213022780740.0,1045213022780740.0
1.1618928542004138e-05,9.316798800066727e-07,1045705867185918.1,1045705867185918.1
1.1620971506634507e-05,9.393420114167695e-07,1046216051605616.2,1046216051605616.2
1.1623014830480826e-05,9.470054900648302e-07,1046726325731400.4,1046726325731400.4
1.162505851360626e-05,9.54670316187743e-07,1047236689579044.9,1047236689579044.9
1.1627102556073979e-05,9.623364900224353e-07,1047747143164328.9,1047747143164328.9
1.1629146957947168e-05,9.700040118058823e-07,1048257686503027.1,1048257686503027.1
1.163119171928902e-05,9.776728817750785e-07,1048768319610921.9,1048768319610921.9
1.1633236840162742e-05,9.85343100167095e-07,1049279042503795.0,1049279042503795.0
1.1635282320631548e-05,9.934004265326913e-07,1049809338918757.8,1049809338918757.8
1.163732816075867e-05,1.0016512745315406e-06,1050349431306176.6,1050349431306176.6
1.1639374360607345e-05,1.0099035732828086e-06,1050889618658424.1,1050889618658424.1
1.1641420920240822e-05,1.0181573230415782e-06,1051429900992193.4,1051429900992193.4
1.1643467839722364e-05,1.0264125240629853e-06,1051970278324189.4,1051970278324189.4
1.1645515119115243e-05,1.0346691766022063e-06,1052510750671115.0,1052510750671115.0
1.1647562758482743e-05,1.0429272809144704e-06,1053051318049674.5,1053051318049674.5
1.1649610757888157e-05,1.0512588007559138e-06,1053595556624862.5,1053595556624862.5
1.1651659117394789e-05,1.0601384720490418e-06,1054167057888517.8,1054167057888517.8
1.1653707837065959e-05,1.0690197046610416e-06,1054738659639647.1,1054738659639647.1
1.1655756916964996e-05,1.077902498866433e-06,1055310361895915.1,1055310361895915.1
1.1657806357155237e-05,1.0867868549397825e-06,1055882164674996.8,1055882164674996.8
1.1659856157700035e-05,1.0956727731557327e-06,1056454067994565.2,1056454067994565.2
1.1661906318662747e-05,1.104560253788939e-06,1057026071872299.4,1057026071872299.4
1.1663956840106745e-05,1.1134492971141222e-06,1057598176325878.4,1057598176325878.4
1.1666007722095419e-05,1.1228109019038078e-06,1058193372019367.8,1058193372019367.8
1.1668058964692159e-05,1.1323653314944265e-06,1058798004292019.4,1058798004292019.4
1.1670110567960373e-05,1.141921441047129e-06,1059402742877591.8,1059402742877591.8
1.1672162531963473e-05,1.1514792308572994e-06,1060007587794778.1,1060007587794778.1
1.1674214856764896e-05,1.1610387012203955e-06,1060612539062273.8,1060612539062273.8
1.1676267542428077e-05,1.1705998524319099e-06,1061217596698779.2,1061217596698779.2
1.1678320589016465e-05,1.1801626847873719e-06,1061822760722995.9,1061822760722995.9
1.1680373996593523e-05,1.1900445022953652e-06,1062443239908822.0,1062443239908822.0
1.1682427765222725e-05,1.2003194046522097e-06,1063082585949899.1,1063082585949899.1
1.1684481894967554e-05,1.2105961136523677e-06,1063722044407643.1,1063722044407643.1
1.1686536385891505e-05,1.2208746296135053e-06,1064361615301819.2,1064361615301819.2
1.1688591238058084e-05,1.2311549528533563e-06,1065001298652197.8,1065001298652197.8
1.1690646451530811e-05,1.24143708368969e-06,1065641094478554.6,1065641094478554.6
1.1692702026373212e-05,1.2517210224403276e-06,1066281002800662.9,1066281002800662.9
1.169475796264883e-05,1.262250391993929e-06,1066932488635896.2,1066932488635896.2
1.1696814260421214e-05,1.2732962643487456e-06,1067608308770178.2,1067608308770178.2
1.1698870919753925e-05,1.284344078907072e-06,1068284247734392.1,1068284247734392.1
1.170092794071054e-05,1.2953938360104323e-06,1068960305549433.8,1068960305549433.8
1.1702985323354636e-05,1.3064455360003523e-06,1069636482236198.5,1069636482236198.5
1.1705043067749818e-05,1.3174991792184813e-06,1070312777815589.5,1070312777815589.5
1.170710117395969e-05,1.3285547660064814e-06,1070989192308508.5,1070989192308508.5
1.1709159642047868e-05,1.3398781141787022e-06,1071678006990124.2,1071678006990124.2
1.1711218472077982e-05,1.3517488988934138e-06,1072392143370274.0,1072392143370274.0
1.1713277664113672e-05,1.3636217708565533e-06,1073106405317527.8,1073106405317527.8
1.1715337218218593e-05,1.375496730435143e-06,1073820792853966.0,1073820792853966.0
1.1717397134456403e-05,1.3873737779962362e-06,1074535306001669.8,1074535306001669.8
1.1719457412890783e-05,1.39925291390699e-06,1075249944782726.8,1075249944782726.8
1.172151805358541e-05,1.4111341385345613e-06,1075964709219224.9,1075964709219224.9
1.1723579056603986e-05,1.4234191718595491e-06,1076697819361010.6,1076697819361010.6
1.1725640422010216e-05,1.4361724963922937e-06,1077452199823349.0,1077452199823349.0
1.1727702149867825e-05,1.4489280633511016e-06,1078206712928938.6,1078206712928938.6
1.1729764240240532e-05,1.4616858731302112e-06,1078961358701100.5,1078961358701100.5
1.1731826693192089e-05,1.47444592612402e-06,1079716137163163.4,1079716137163163.4
1.173388950878624e-05,1.487208222726925e-06,1080471048338455.8,1080471048338455.8
1.1735952687086755e-05,1.499972763333435e-06,1081226092250315.8,1081226092250315.8
1.1738016228157407e-05,1.5134108838141174e-06,1082011156640070.2,1082011156640070.2
1.174008013206198e-05,1.5271083183416305e-06,1082807798483650.8,1082807798483650.8
1.1742144398864272e-05,1.5408081612986966e-06,1083604580401327.8,1083604580401327.8
1.1744209028628096e-05,1.5545104131088165e-06,1084401502417734.4,1084401502417734.4
1.1746274021417267e-05,1.568215074195523e-06,1085198564557501.4,1085198564557501.4
1.1748339377295616e-05,1.5819221449824349e-06,1085995766845270.5,1085995766845270.5
1.1750405096326988e-05,1.595735843807168e-06,1086797663155237.1,1086797663155237.1
1.1752471178575235e-05,1.6104405924415523e-06,1087638529162693.6,1087638529162693.6
1.1754537624104223e-05,1.6251479266222532e-06,1088479543020212.4,1088479543020212.4
1.1756604432977824e-05,1.6398578468038744e-06,1089320704753794.2,1089320704753794.2
1.1758671605259932e-05,1.6545703534411457e-06,1090162014389440.0,1090162014389440.0
1.1760739141014437e-05,1.6692854469888015e-06,1091003471953153.5,1091003471953153.5
1.1762807040305254e-05,1.684003127901734e-06,1091845077470945.2,1091845077470945.2
1.1764875303196305e-05,1.6993663821883414e-06,1092714320680795.4,1092714320680795.4
1.1766943929751517e-05,1.7151526174871825e-06,1093601685045904.8,1093601685045904.8
1.1769012920034836e-05,1.7309416284909111e-06,1094489205436919.9,1094489205436919.9
1.1771082274110218e-05,1.746733415687573e-06,1095376881881273.1,1095376881881273.1
1.1773151992041629e-05,1.7625279795653104e-06,1096264714406402.4,1096264714406402.4
1.1775222073893044e-05,1.7783253206123283e-06,1097152703039754.4,1097152703039754.4
