time_days,Nuclei:Lu177 top 13
1.1574074074074073e-05,9.513839469496211e-90
1.1576109151910821e-05,9.513839467380144e-90
1.157814458757678e-05,9.513839465263708e-90
1.158018038113487e-05,9.513839463146898e-90
1.1582216532648015e-05,9.513839461029717e-90
1.1584253042179158e-05,9.513839458912164e-90
1.1586289909791249e-05,9.513839456794239e-90
1.1588327135547246e-05,9.513839454675941e-90
1.1590364719510128e-05,9.51383945255727e-90
1.1592402661742875e-05,9.513839450438227e-90
1.1594440962308483e-05,9.513839448318812e-90
1.1596479621269957e-05,9.513839446199023e-90
1.1598518638690315e-05,9.513839444078863e-90
1.1600558014632583e-05,9.513839441958328e-90
1.1602597749159803e-05,9.513839439837423e-90
1.1604637842335022e-05,9.513839437716144e-90
1.1606678294221306e-05,9.51383943559449e-90
1.1608719104881723e-05,9.513839433472465e-90
1.1610760274379357e-05,9.513839431350062e-90
1.1612801802777306e-05,9.513839429227293e-90
1.1614843690138673e-05,9.513839427104147e-90
1.1616885936526574e-05,9.513839424980631e-90
1.1618928542004138e-05,9.513839422856736e-90
1.1620971506634507e-05,9.513839420732472e-90
1.1623014830480826e-05,9.513839418607835e-90
1.162505851360626e-05,9.513839416482821e-90
1.1627102556073979e-05,9.513839414357436e-90
1.1629146957947168e-05,9.513839412231676e-90
1.163119171928902e-05,9.51383941010554e-90
1.1633236840162742e-05,9.513839407979034e-90
1.1635282320631548e-05,9.513839405852152e-90
1.163732816075867e-05,9.513839403724896e-90
1.1639374360607345e-05,9.513839401597268e-90
1.1641420920240822e-05,9.513839399469265e-90
1.1643467839722364e-05,9.513839397340887e-90
1.1645515119115243e-05,9.513839395212136e-90
1.1647562758482743e-05,9.513839393083008e-90
1.1649610757888157e-05,9.513839390953508e-90
1.1651659117394789e-05,9.513839388823634e-90
1.1653707837065959e-05,9.513839386693383e-90
1.1655756916964996e-05,9.513839384562758e-90
1.1657806357155237e-05,9.51383938243176e-90
1.1659856157700035e-05,9.513839380300386e-90
1.1661906318662747e-05,9.51383937816864e-90
1.1663956840106745e-05,9.513839376036516e-90
1.1666007722095419e-05,9.513839373904019e-90
1.1668058964692159e-05,9.513839371771145e-90
1.1670110567960373e-05,9.513839369637899e-90
1.1672162531963473e-05,9.513839367504278e-90
1.1674214856764896e-05,9.51383936537028e-90
1.1676267542428077e-05,9.513839363235905e-90
1.1678320589016465e-05,9.513839361101156e-90
1.1680373996593523e-05,9.513839358966032e-90
