time_days,Nuclei:Pb212 top 16
1.1574074074074073e-05,3.440255772482375e-88
1.1576109151910821e-05,3.440255761487896e-88
1.157814458757678e-05,3.4402557504914825e-88
1.158018038113487e-05,3.4402557394931365e-88
1.1582216532648015e-05,3.440255728492857e-88
1.1584253042179158e-05,3.440255717490642e-88
1.1586289909791249e-05,3.440255706486494e-88
1.1588327135547246e-05,3.4402556954804107e-88
1.1590364719510128e-05,3.440255684472391e-88
1.1592402661742875e-05,3.4402556734624374e-88
1.1594440962308483e-05,3.440255662450548e-88
1.1596479621269957e-05,3.440255651436722e-88
1.1598518638690315e-05,3.4402556404209595e-88
1.1600558014632583e-05,3.440255629403259e-88
1.1602597749159803e-05,3.440255618383623e-88
1.1604637842335022e-05,3.4402556073620484e-88
1.1606678294221306e-05,3.4402555963385366e-88
1.1608719104881723e-05,3.440255585313086e-88
1.1610760274379357e-05,3.4402555742856966e-88
1.1612801802777306e-05,3.4402555632563683e-88
1.1614843690138673e-05,3.440255552225101e-88
1.1616885936526574e-05,3.4402555411918947e-88
1.1618928542004138e-05,3.440255530156747e-88
1.1620971506634507e-05,3.440255519119661e-88
1.1623014830480826e-05,3.440255508080633e-88
1.162505851360626e-05,3.4402554970396647e-88
1.1627102556073979e-05,3.4402554859967545e-88
1.1629146957947168e-05,3.440255474951903e-88
1.163119171928902e-05,3.44025546390511e-88
1.1633236840162742e-05,3.4402554528563737e-88
1.1635282320631548e-05,3.4402554418056953e-88
1.163732816075867e-05,3.440255430753073e-88
1.1639374360607345e-05,3.4402554196985087e-88
1.1641420920240822e-05,3.4402554086420004e-88
1.1643467839722364e-05,3.440255397583547e-88
1.1645515119115243e-05,3.4402553865231507e-88
1.1647562758482743e-05,3.4402553754608086e-88
1.1649610757888157e-05,3.4402553643965215e-88
1.1651659117394789e-05,3.4402553533302895e-88
1.1653707837065959e-05,3.440255342262111e-88
1.1655756916964996e-05,3.440255331191987e-88
1.1657806357155237e-05,3.440255320119917e-88
1.1659856157700035e-05,3.4402553090458994e-88
1.1661906318662747e-05,3.440255297969935e-88
1.1663956840106745e-05,3.4402552868920227e-88
1.1666007722095419e-05,3.4402552758121636e-88
1.1668058964692159e-05,3.4402552647303555e-88
1.1670110567960373e-05,3.440255253646599e-88
1.1672162531963473e-05,3.4402552425608945e-88
1.1674214856764896e-05,3.4402552314732404e-88
1.1676267542428077e-05,3.4402552203836363e-88
1.1678320589016465e-05,3.440255209292083e-88
1.1680373996593523e-05,3.440255198198578e-88
1.1682427765222725e-05,3.4402551871031245e-88
1.1684481894967554e-05,3.440255176005718e-88
1.1686536385891505e-05,3.440255164906363e-88
1.1688591238058084e-05,3.4402551538050544e-88
1.1690646451530811e-05,3.440255142701794e-88
1.1692702026373212e-05,3.440255131596582e-88
1.169475796264883e-05,3.440255120489417e-88
1.1696814260421214e-05,3.4402551093802995e-88
1.1698870919753925e-05,3.440255098269228e-88
1.170092794071054e-05,3.440255087156204e-88
1.1702985323354636e-05,3.440255076041225e-88
1.1705043067749818e-05,3.440255064924292e-88
1.170710117395969e-05,3.4402550538054034e-88
1.1709159642047868e-05,3.440255042684562e-88
1.1711218472077982e-05,3.440255031561763e-88
1.1713277664113672e-05,3.44025502043701e-88
1.1715337218218593e-05,3.4402550093103e-88
1.1717397134456403e-05,3.440254998181634e-88
1.1719457412890783e-05,3.440254987051011e-88
1.172151805358541e-05,3.440254975918431e-88
1.1723579056603986e-05,3.4402549647838935e-88
1.1725640422010216e-05,3.440254953647399e-88
1.1727702149867825e-05,3.4402549425089456e-88
1.1729764240240532e-05,3.440254931368533e-88
1.1731826693192089e-05,3.440254920226163e-88
1.173388950878624e-05,3.4402549090818334e-88
1.1735952687086755e-05,3.440254897935544e-88
1.1738016228157407e-05,3.4402548867872956e-88
1.174008013206198e-05,3.4402548756370864e-88
1.1742144398864272e-05,3.4402548644849177e-88
1.1744209028628096e-05,3.440254853330787e-88
1.1746274021417267e-05,3.440254842174695e-88
1.1748339377295616e-05,3.440254831016642e-88
1.1750405096326988e-05,3.440254819856627e-88
1.1752471178575235e-05,3.4402548086946494e-88
1.1754537624104223e-05,3.4402547975307093e-88
1.1756604432977824e-05,3.440254786364807e-88
1.1758671605259932e-05,3.44025477519694e-88
1.1760739141014437e-05,3.44025476402711e-88
1.1762807040305254e-05,3.4402547528553164e-88
1.1764875303196305e-05,3.4402547416815593e-88
1.1766943929751517e-05,3.4402547305058366e-88
1.1769012920034836e-05,3.440254719328149e-88
1.1771082274110218e-05,3.4402547081484964e-88
1.1773151992041629e-05,3.4402546969668774e-88
1.1775222073893044e-05,3.4402546857832927e-88
1.1777292519728452e-05,3.440254674597741e-88
1.177936332961185e-05,3.440254663410223e-88
1.1781434503607254e-05,3.440254652220739e-88
1.1783506041778683e-05,3.440254641029287e-88
1.178557794419017e-05,3.440254629835865e-88
1.1787650210905758e-05,3.440254618640478e-88
1.178972284198951e-05,3.440254607443122e-88
1.1791795837505486e-05,3.440254596243796e-88
1.1793869197517767e-05,3.440254585042501e-88
1.179594292209044e-05,3.440254573839237e-88
1.1798017011287611e-05,3.440254562634003e-88
1.180009146517339e-05,3.4402545514267997e-88
1.1802166283811898e-05,3.4402545402176245e-88
1.180424146726727e-05,3.440254529006479e-88
1.1806317015603657e-05,3.440254517793362e-88
1.1808392928885212e-05,3.4402545065782733e-88
1.1810469207176105e-05,3.440254495361213e-88
1.1812545850540515e-05,3.440254484142181e-88
1.1814622859042633e-05,3.440254472921176e-88
1.1816700232746663e-05,3.4402544616981975e-88
1.1818777971716817e-05,3.4402544504732454e-88
1.182085607601732e-05,3.4402544392463204e-88
1.182293454571241e-05,3.440254428017422e-88
1.1825013380866334e-05,3.440254416786549e-88
1.182709258154335e-05,3.4402544055537e-88
1.1829172147807727e-05,3.4402543943188776e-88
1.183125207972375e-05,3.4402543830820787e-88
1.183333237735571e-05,3.440254371843304e-88
1.1835413040767908e-05,3.4402543606025545e-88
1.1837494070024666e-05,3.4402543493598274e-88
1.1839575465190307e-05,3.440254338115125e-88
1.1841657226329168e-05,3.440254326868443e-88
1.18437393535056e-05,3.440254315619785e-88
1.1845821846783964e-05,3.440254304369148e-88
1.184790470622863e-05,3.4402542931165343e-88
1.1849987931903983e-05,3.440254281861942e-88
1.1852071523874415e-05,3.44025427060537e-88
1.1854155482204337e-05,3.4402542593468195e-88
1.185623980695816e-05,3.440254248086289e-88
1.185832449820032e-05,3.440254236823779e-88
1.186040955599525e-05,3.440254225559289e-88
1.1862494980407405e-05,3.4402542142928176e-88
1.1864580771501242e-05,3.4402542030243656e-88
1.1866666929341244e-05,3.4402541917539317e-88
1.1868753453991893e-05,3.440254180481517e-88
1.1870840345517681e-05,3.44025416920712e-88
1.187292760398312e-05,3.4402541579307404e-88
1.187501522945273e-05,3.440254146652378e-88
1.1877103221991039e-05,3.440254135372034e-88
1.1879191581662589e-05,3.4402541240897043e-88
1.1881280308531934e-05,3.440254112805392e-88
1.188336940266364e-05,3.440254101519096e-88
1.1885458864122283e-05,3.440254090230815e-88
1.1887548692972447e-05,3.4402540789405494e-88
1.1889638889278737e-05,3.4402540676482994e-88
1.1891729453105753e-05,3.440254056354063e-88
1.1893820384518129e-05,3.44025404505784e-88
1.1895911683580489e-05,3.440254033759633e-88
1.1898003350357477e-05,3.440254022459438e-88
1.1900095384913753e-05,3.440254011157256e-88
1.190218778731398e-05,3.440253999853087e-88
1.1904280557622842e-05,3.4402539885469305e-88
1.1906373695905023e-05,3.440253977238786e-88
1.1908467202225226e-05,3.4402539659286544e-88
