time_days,Nuclei:Pu241 top 4
1.1574074074074073e-05,3.153695761819739e-92
1.1576109151910821e-05,3.153695761786986e-92
1.157814458757678e-05,3.153695761754227e-92
1.158018038113487e-05,3.153695761721463e-92
1.1582216532648015e-05,3.153695761688692e-92
1.1584253042179158e-05,3.153695761655917e-92
1.1586289909791249e-05,3.153695761623134e-92
1.1588327135547246e-05,3.153695761590347e-92
1.1590364719510128e-05,3.1536957615575526e-92
1.1592402661742875e-05,3.153695761524754e-92
1.1594440962308483e-05,3.153695761491949e-92
1.1596479621269957e-05,3.153695761459138e-92
1.1598518638690315e-05,3.1536957614263216e-92
1.1600558014632583e-05,3.153695761393499e-92
1.1602597749159803e-05,3.1536957613606714e-92
1.1604637842335022e-05,3.153695761327838e-92
1.1606678294221306e-05,3.153695761294999e-92
1.1608719104881723e-05,3.1536957612621524e-92
1.1610760274379357e-05,3.153695761229301e-92
1.1612801802777306e-05,3.153695761196444e-92
1.1614843690138673e-05,3.153695761163582e-92
1.1616885936526574e-05,3.1536957611307136e-92
1.1618928542004138e-05,3.153695761097839e-92
1.1620971506634507e-05,3.15369576106496e-92
1.1623014830480826e-05,3.153695761032074e-92
1.162505851360626e-05,3.1536957609991815e-92
1.1627102556073979e-05,3.153695760966284e-92
1.1629146957947168e-05,3.1536957609333814e-92
1.163119171928902e-05,3.1536957609004725e-92
1.1633236840162742e-05,3.1536957608675574e-92
1.1635282320631548e-05,3.153695760834637e-92
1.163732816075867e-05,3.15369576080171e-92
1.1639374360607345e-05,3.1536957607687796e-92
1.1641420920240822e-05,3.153695760735841e-92
1.1643467839722364e-05,3.153695760702897e-92
1.1645515119115243e-05,3.153695760669948e-92
1.1647562758482743e-05,3.153695760636992e-92
1.1649610757888157e-05,3.153695760604032e-92
1.1651659117394789e-05,3.153695760571065e-92
1.1653707837065959e-05,3.153695760538091e-92
1.1655756916964996e-05,3.153695760505114e-92
1.1657806357155237e-05,3.153695760472129e-92
1.1659856157700035e-05,3.153695760439139e-92
1.1661906318662747e-05,3.153695760406144e-92
1.1663956840106745e-05,3.1536957603731415e-92
1.1666007722095419e-05,3.1536957603401345e-92
1.1668058964692159e-05,3.153695760307121e-92
1.1670110567960373e-05,3.153695760274102e-92
1.1672162531963473e-05,3.153695760241078e-92
1.1674214856764896e-05,3.1536957602080464e-92
1.1676267542428077e-05,3.153695760175011e-92
1.1678320589016465e-05,3.1536957601419683e-92
1.1680373996593523e-05,3.153695760108919e-92
1.1682427765222725e-05,3.153695760075866e-92
1.1684481894967554e-05,3.153695760042806e-92
1.1686536385891505e-05,3.15369576000974e-92
1.1688591238058084e-05,3.153695759976668e-92
1.1690646451530811e-05,3.153695759943592e-92
1.1692702026373212e-05,3.15369575991051e-92
1.169475796264883e-05,3.153695759877421e-92
1.1696814260421214e-05,3.153695759844326e-92
1.1698870919753925e-05,3.153695759811225e-92
1.170092794071054e-05,3.153695759778119e-92
1.1702985323354636e-05,3.153695759745007e-92
1.1705043067749818e-05,3.1536957597118885e-92
1.170710117395969e-05,3.153695759678766e-92
1.1709159642047868e-05,3.153695759645637e-92
1.1711218472077982e-05,3.1536957596125e-92
1.1713277664113672e-05,3.15369575957936e-92
1.1715337218218593e-05,3.153695759546212e-92
1.1717397134456403e-05,3.15369575951306e-92
1.1719457412890783e-05,3.1536957594799006e-92
1.172151805358541e-05,3.153695759446737e-92
1.1723579056603986e-05,3.153695759413567e-92
1.1725640422010216e-05,3.153695759380391e-92
1.1727702149867825e-05,3.1536957593472075e-92
1.1729764240240532e-05,3.153695759314021e-92
1.1731826693192089e-05,3.153695759280826e-92
1.173388950878624e-05,3.153695759247627e-92
1.1735952687086755e-05,3.153695759214421e-92
1.1738016228157407e-05,3.15369575918121e-92
1.174008013206198e-05,3.1536957591479936e-92
1.1742144398864272e-05,3.1536957591147706e-92
1.1744209028628096e-05,3.153695759081542e-92
1.1746274021417267e-05,3.153695759048307e-92
1.1748339377295616e-05,3.153695759015067e-92
1.1750405096326988e-05,3.153695758981821e-92
1.1752471178575235e-05,3.153695758948569e-92
1.1754537624104223e-05,3.1536957589153114e-92
1.1756604432977824e-05,3.153695758882047e-92
1.1758671605259932e-05,3.153695758848777e-92
1.1760739141014437e-05,3.1536957588155014e-92
1.1762807040305254e-05,3.15369575878222e-92
1.1764875303196305e-05,3.153695758748934e-92
1.1766943929751517e-05,3.1536957587156404e-92
1.1769012920034836e-05,3.153695758682342e-92
