time_days,Nuclei:Ir195 top 14
1.1574074074074073e-05,3.2094679721502955e-88
1.1576109151910821e-05,3.209467924674753e-88
1.157814458757678e-05,3.209467877190863e-88
1.158018038113487e-05,3.209467829698625e-88
1.1582216532648015e-05,3.209467782198038e-88
1.1584253042179158e-05,3.209467734689099e-88
1.1586289909791249e-05,3.2094676871718065e-88
1.1588327135547246e-05,3.20946763964616e-88
1.1590364719510128e-05,3.209467592112158e-88
1.1592402661742875e-05,3.2094675445697985e-88
1.1594440962308483e-05,3.209467497019081e-88
1.1596479621269957e-05,3.209467449460003e-88
1.1598518638690315e-05,3.2094674018925627e-88
1.1600558014632583e-05,3.20946735431676e-88
1.1602597749159803e-05,3.209467306732592e-88
1.1604637842335022e-05,3.2094672591400594e-88
1.1606678294221306e-05,3.2094672115391574e-88
1.1608719104881723e-05,3.209467163929889e-88
1.1610760274379357e-05,3.209467116312248e-88
1.1612801802777306e-05,3.209467068686236e-88
1.1614843690138673e-05,3.2094670210518495e-88
1.1616885936526574e-05,3.2094669734090884e-88
1.1618928542004138e-05,3.2094669257579513e-88
1.1620971506634507e-05,3.2094668780984366e-88
1.1623014830480826e-05,3.2094668304305426e-88
1.162505851360626e-05,3.2094667827542676e-88
1.1627102556073979e-05,3.2094667350696105e-88
1.1629146957947168e-05,3.2094666873765696e-88
1.163119171928902e-05,3.2094666396751433e-88
1.1633236840162742e-05,3.209466591965331e-88
1.1635282320631548e-05,3.209466544247129e-88
1.163732816075867e-05,3.2094664965205395e-88
1.1639374360607345e-05,3.209466448785557e-88
1.1641420920240822e-05,3.209466401042182e-88
1.1643467839722364e-05,3.209466353290415e-88
1.1645515119115243e-05,3.2094663055302513e-88
1.1647562758482743e-05,3.20946625776169e-88
1.1649610757888157e-05,3.209466209984731e-88
1.1651659117394789e-05,3.209466162199372e-88
1.1653707837065959e-05,3.2094661144056113e-88
1.1655756916964996e-05,3.2094660666034475e-88
1.1657806357155237e-05,3.2094660187928793e-88
1.1659856157700035e-05,3.2094659709739056e-88
1.1661906318662747e-05,3.2094659231465247e-88
1.1663956840106745e-05,3.209465875310735e-88
1.1666007722095419e-05,3.2094658274665344e-88
1.1668058964692159e-05,3.209465779613923e-88
1.1670110567960373e-05,3.209465731752898e-88
1.1672162531963473e-05,3.209465683883458e-88
1.1674214856764896e-05,3.209465636005602e-88
1.1676267542428077e-05,3.209465588119328e-88
1.1678320589016465e-05,3.209465540224635e-88
1.1680373996593523e-05,3.209465492321521e-88
1.1682427765222725e-05,3.2094654444099856e-88
1.1684481894967554e-05,3.209465396490026e-88
1.1686536385891505e-05,3.209465348561642e-88
1.1688591238058084e-05,3.209465300624831e-88
1.1690646451530811e-05,3.209465252679592e-88
1.1692702026373212e-05,3.209465204725923e-88
1.169475796264883e-05,3.2094651567638237e-88
1.1696814260421214e-05,3.209465108793292e-88
1.1698870919753925e-05,3.2094650608143256e-88
1.170092794071054e-05,3.209465012826924e-88
1.1702985323354636e-05,3.2094649648310855e-88
1.1705043067749818e-05,3.209464916826809e-88
1.170710117395969e-05,3.2094648688140926e-88
1.1709159642047868e-05,3.209464820792934e-88
1.1711218472077982e-05,3.209464772763333e-88
1.1713277664113672e-05,3.2094647247252874e-88
1.1715337218218593e-05,3.2094646766787967e-88
1.1717397134456403e-05,3.2094646286238575e-88
1.1719457412890783e-05,3.209464580560471e-88
1.172151805358541e-05,3.209464532488633e-88
1.1723579056603986e-05,3.209464484408343e-88
1.1725640422010216e-05,3.209464436319601e-88
1.1727702149867825e-05,3.209464388222403e-88
1.1729764240240532e-05,3.2094643401167487e-88
1.1731826693192089e-05,3.209464292002638e-88
1.173388950878624e-05,3.2094642438800667e-88
1.1735952687086755e-05,3.209464195749035e-88
1.1738016228157407e-05,3.209464147609542e-88
1.174008013206198e-05,3.209464099461585e-88
1.1742144398864272e-05,3.209464051305162e-88
1.1744209028628096e-05,3.2094640031402734e-88
1.1746274021417267e-05,3.2094639549669155e-88
1.1748339377295616e-05,3.209463906785089e-88
1.1750405096326988e-05,3.209463858594791e-88
1.1752471178575235e-05,3.20946381039602e-88
1.1754537624104223e-05,3.2094637621887757e-88
1.1756604432977824e-05,3.2094637139730553e-88
1.1758671605259932e-05,3.209463665748858e-88
1.1760739141014437e-05,3.209463617516182e-88
1.1762807040305254e-05,3.209463569275026e-88
1.1764875303196305e-05,3.2094635210253884e-88
1.1766943929751517e-05,3.209463472767268e-88
1.1769012920034836e-05,3.2094634245006624e-88
1.1771082274110218e-05,3.2094633762255714e-88
1.1773151992041629e-05,3.209463327941993e-88
1.1775222073893044e-05,3.209463279649926e-88
1.1777292519728452e-05,3.209463231349367e-88
1.177936332961185e-05,3.209463183040317e-88
1.1781434503607254e-05,3.209463134722772e-88
1.1783506041778683e-05,3.2094630863967344e-88
1.178557794419017e-05,3.2094630380621986e-88
1.1787650210905758e-05,3.209462989719166e-88
1.178972284198951e-05,3.2094629413676335e-88
1.1791795837505486e-05,3.2094628930076004e-88
1.1793869197517767e-05,3.209462844639064e-88
1.179594292209044e-05,3.209462796262024e-88
1.1798017011287611e-05,3.2094627478764783e-88
1.180009146517339e-05,3.209462699482426e-88
1.1802166283811898e-05,3.209462651079866e-88
1.180424146726727e-05,3.2094626026687957e-88
1.1806317015603657e-05,3.209462554249213e-88
1.1808392928885212e-05,3.2094625058211177e-88
1.1810469207176105e-05,3.209462457384508e-88
1.1812545850540515e-05,3.209462408939383e-88
1.1814622859042633e-05,3.2094623604857414e-88
1.1816700232746663e-05,3.209462312023579e-88
1.1818777971716817e-05,3.2094622635528975e-88
1.182085607601732e-05,3.209462215073692e-88
1.182293454571241e-05,3.2094621665859654e-88
1.1825013380866334e-05,3.209462118089713e-88
1.182709258154335e-05,3.209462069584934e-88
1.1829172147807727e-05,3.2094620210716284e-88
1.183125207972375e-05,3.209461972549792e-88
1.183333237735571e-05,3.209461924019425e-88
1.1835413040767908e-05,3.2094618754805265e-88
1.1837494070024666e-05,3.209461826933093e-88
1.1839575465190307e-05,3.2094617783771246e-88
1.1841657226329168e-05,3.2094617298126195e-88
1.18437393535056e-05,3.2094616812395744e-88
1.1845821846783964e-05,3.2094616326579914e-88
1.184790470622863e-05,3.209461584067866e-88
1.1849987931903983e-05,3.209461535469198e-88
1.1852071523874415e-05,3.2094614868619856e-88
1.1854155482204337e-05,3.2094614382462274e-88
1.185623980695816e-05,3.209461389621922e-88
1.185832449820032e-05,3.2094613409890664e-88
1.186040955599525e-05,3.209461292347662e-88
1.1862494980407405e-05,3.2094612436977045e-88
1.1864580771501242e-05,3.209461195039194e-88
1.1866666929341244e-05,3.209461146372129e-88
1.1868753453991893e-05,3.209461097696508e-88
1.1870840345517681e-05,3.209461049012328e-88
1.187292760398312e-05,3.209461000319588e-88
1.187501522945273e-05,3.2094609516182885e-88
1.1877103221991039e-05,3.2094609029084264e-88
1.1879191581662589e-05,3.20946085419e-88
1.1881280308531934e-05,3.209460805463008e-88
1.188336940266364e-05,3.209460756727449e-88
1.1885458864122283e-05,3.2094607079833216e-88
1.1887548692972447e-05,3.209460659230625e-88
1.1889638889278737e-05,3.2094606104693556e-88
1.1891729453105753e-05,3.2094605616995135e-88
1.1893820384518129e-05,3.209460512921097e-88
1.1895911683580489e-05,3.2094604641341053e-88
1.1898003350357477e-05,3.209460415338535e-88
1.1900095384913753e-05,3.209460366534387e-88
1.190218778731398e-05,3.209460317721657e-88
1.1904280557622842e-05,3.209460268900345e-88
1.1906373695905023e-05,3.2094602200704505e-88
