time_days,Nuclei:Ac228 top 11
1.1574074074074073e-05,1.978826119685686e-88
1.1576109151910821e-05,1.9788261196685277e-88
1.157814458757678e-05,1.9788261196513664e-88
1.158018038113487e-05,1.978826119634202e-88
1.1582216532648015e-05,1.978826119617035e-88
1.1584253042179158e-05,1.9788261195998644e-88
1.1586289909791249e-05,1.9788261195826912e-88
1.1588327135547246e-05,1.9788261195655148e-88
1.1590364719510128e-05,1.9788261195483354e-88
1.1592402661742875e-05,1.978826119531153e-88
1.1594440962308483e-05,1.9788261195139674e-88
1.1596479621269957e-05,1.9788261194967787e-88
1.1598518638690315e-05,1.9788261194795876e-88
1.1600558014632583e-05,1.978826119462393e-88
1.1602597749159803e-05,1.9788261194451953e-88
1.1604637842335022e-05,1.978826119427995e-88
1.1606678294221306e-05,1.9788261194107913e-88
1.1608719104881723e-05,1.9788261193935848e-88
1.1610760274379357e-05,1.978826119376375e-88
1.1612801802777306e-05,1.9788261193591626e-88
1.1614843690138673e-05,1.978826119341947e-88
1.1616885936526574e-05,1.9788261193247282e-88
1.1618928542004138e-05,1.9788261193075063e-88
1.1620971506634507e-05,1.9788261192902817e-88
1.1623014830480826e-05,1.978826119273054e-88
1.162505851360626e-05,1.978826119255823e-88
1.1627102556073979e-05,1.9788261192385894e-88
1.1629146957947168e-05,1.9788261192213526e-88
1.163119171928902e-05,1.9788261192041126e-88
1.1633236840162742e-05,1.9788261191868695e-88
1.1635282320631548e-05,1.9788261191696234e-88
1.163732816075867e-05,1.9788261191523745e-88
1.1639374360607345e-05,1.9788261191351226e-88
1.1641420920240822e-05,1.9788261191178673e-88
1.1643467839722364e-05,1.9788261191006094e-88
1.1645515119115243e-05,1.9788261190833483e-88
1.1647562758482743e-05,1.978826119066084e-88
1.1649610757888157e-05,1.9788261190488167e-88
1.1651659117394789e-05,1.9788261190315463e-88
1.1653707837065959e-05,1.9788261190142731e-88
1.1655756916964996e-05,1.978826118996997e-88
1.1657806357155237e-05,1.9788261189797176e-88
1.1659856157700035e-05,1.9788261189624352e-88
1.1661906318662747e-05,1.9788261189451495e-88
1.1663956840106745e-05,1.9788261189278612e-88
1.1666007722095419e-05,1.97882611891057e-88
1.1668058964692159e-05,1.9788261188932753e-88
1.1670110567960373e-05,1.9788261188759778e-88
1.1672162531963473e-05,1.9788261188586773e-88
1.1674214856764896e-05,1.9788261188413734e-88
1.1676267542428077e-05,1.9788261188240665e-88
1.1678320589016465e-05,1.978826118806757e-88
1.1680373996593523e-05,1.978826118789444e-88
1.1682427765222725e-05,1.978826118772128e-88
1.1684481894967554e-05,1.9788261187548094e-88
1.1686536385891505e-05,1.9788261187374874e-88
1.1688591238058084e-05,1.9788261187201623e-88
1.1690646451530811e-05,1.9788261187028342e-88
1.1692702026373212e-05,1.9788261186855033e-88
1.169475796264883e-05,1.978826118668169e-88
1.1696814260421214e-05,1.978826118650832e-88
1.1698870919753925e-05,1.9788261186334915e-88
1.170092794071054e-05,1.9788261186161483e-88
1.1702985323354636e-05,1.9788261185988023e-88
1.1705043067749818e-05,1.9788261185814526e-88
1.170710117395969e-05,1.9788261185641005e-88
1.1709159642047868e-05,1.978826118546745e-88
1.1711218472077982e-05,1.9788261185293864e-88
1.1713277664113672e-05,1.9788261185120248e-88
1.1715337218218593e-05,1.97882611849466e-88
1.1717397134456403e-05,1.9788261184772923e-88
1.1719457412890783e-05,1.9788261184599218e-88
1.172151805358541e-05,1.9788261184425478e-88
1.1723579056603986e-05,1.9788261184251714e-88
1.1725640422010216e-05,1.9788261184077914e-88
1.1727702149867825e-05,1.9788261183904083e-88
1.1729764240240532e-05,1.9788261183730223e-88
1.1731826693192089e-05,1.978826118355633e-88
1.173388950878624e-05,1.978826118338241e-88
1.1735952687086755e-05,1.978826118320846e-88
1.1738016228157407e-05,1.9788261183034477e-88
1.174008013206198e-05,1.9788261182860465e-88
1.1742144398864272e-05,1.978826118268642e-88
1.1744209028628096e-05,1.9788261182512347e-88
1.1746274021417267e-05,1.978826118233824e-88
1.1748339377295616e-05,1.9788261182164105e-88
1.1750405096326988e-05,1.978826118198994e-88
1.1752471178575235e-05,1.9788261181815742e-88
1.1754537624104223e-05,1.9788261181641514e-88
1.1756604432977824e-05,1.9788261181467256e-88
1.1758671605259932e-05,1.978826118129297e-88
1.1760739141014437e-05,1.978826118111865e-88
1.1762807040305254e-05,1.97882611809443e-88
1.1764875303196305e-05,1.978826118076992e-88
1.1766943929751517e-05,1.9788261180595508e-88
1.1769012920034836e-05,1.9788261180421066e-88
1.1771082274110218e-05,1.9788261180246593e-88
1.1773151992041629e-05,1.9788261180072092e-88
1.1775222073893044e-05,1.9788261179897557e-88
1.1777292519728452e-05,1.9788261179722992e-88
1.177936332961185e-05,1.9788261179548396e-88
1.1781434503607254e-05,1.978826117937377e-88
1.1783506041778683e-05,1.9788261179199113e-88
1.178557794419017e-05,1.9788261179024425e-88
1.1787650210905758e-05,1.978826117884971e-88
1.178972284198951e-05,1.978826117867496e-88
1.1791795837505486e-05,1.9788261178500183e-88
1.1793869197517767e-05,1.9788261178325372e-88
1.179594292209044e-05,1.978826117815053e-88
1.1798017011287611e-05,1.9788261177975656e-88
1.180009146517339e-05,1.9788261177800756e-88
1.1802166283811898e-05,1.9788261177625822e-88
1.180424146726727e-05,1.9788261177450858e-88
1.1806317015603657e-05,1.9788261177275863e-88
1.1808392928885212e-05,1.9788261177100835e-88
1.1810469207176105e-05,1.978826117692578e-88
1.1812545850540515e-05,1.9788261176750695e-88
1.1814622859042633e-05,1.9788261176575574e-88
1.1816700232746663e-05,1.9788261176400426e-88
1.1818777971716817e-05,1.978826117622525e-88
1.182085607601732e-05,1.9788261176050037e-88
1.182293454571241e-05,1.9788261175874797e-88
1.1825013380866334e-05,1.9788261175699523e-88
1.182709258154335e-05,1.978826117552422e-88
1.1829172147807727e-05,1.9788261175348886e-88
1.183125207972375e-05,1.9788261175173523e-88
1.183333237735571e-05,1.9788261174998126e-88
1.1835413040767908e-05,1.9788261174822704e-88
1.1837494070024666e-05,1.9788261174647244e-88
1.1839575465190307e-05,1.978826117447176e-88
1.1841657226329168e-05,1.9788261174296238e-88
1.18437393535056e-05,1.9788261174120688e-88
1.1845821846783964e-05,1.978826117394511e-88
1.184790470622863e-05,1.9788261173769499e-88
1.1849987931903983e-05,1.9788261173593856e-88
1.1852071523874415e-05,1.9788261173418183e-88
1.1854155482204337e-05,1.9788261173242477e-88
1.185623980695816e-05,1.9788261173066745e-88
1.185832449820032e-05,1.9788261172890978e-88
1.186040955599525e-05,1.9788261172715182e-88
1.1862494980407405e-05,1.9788261172539353e-88
1.1864580771501242e-05,1.9788261172363496e-88
1.1866666929341244e-05,1.9788261172187605e-88
1.1868753453991893e-05,1.9788261172011687e-88
1.1870840345517681e-05,1.9788261171835735e-88
1.187292760398312e-05,1.9788261171659752e-88
1.187501522945273e-05,1.978826117148374e-88
1.1877103221991039e-05,1.9788261171307697e-88
1.1879191581662589e-05,1.9788261171131623e-88
1.1881280308531934e-05,1.9788261170955514e-88
1.188336940266364e-05,1.9788261170779378e-88
1.1885458864122283e-05,1.978826117060321e-88
1.1887548692972447e-05,1.9788261170427014e-88
1.1889638889278737e-05,1.978826117025078e-88
1.1891729453105753e-05,1.978826117007452e-88
1.1893820384518129e-05,1.978826116989823e-88
1.1895911683580489e-05,1.9788261169721906e-88
1.1898003350357477e-05,1.9788261169545552e-88
1.1900095384913753e-05,1.978826116936917e-88
1.190218778731398e-05,1.9788261169192752e-88
1.1904280557622842e-05,1.9788261169016306e-88
1.1906373695905023e-05,1.9788261168839827e-88
1.1908467202225226e-05,1.9788261168663317e-88
1.1910561076648163e-05,1.978826116848678e-88
1.1912655319238558e-05,1.9788261168310207e-88
1.1914749930061148e-05,1.9788261168133605e-88
1.1916844909180674e-05,1.978826116795697e-88
1.1918940256661901e-05,1.978826116778031e-88
1.1921035972569594e-05,1.9788261167603615e-88
1.1923132056968534e-05,1.9788261167426887e-88
1.1925228509923516e-05,1.978826116725013e-88
1.1927325331499338e-05,1.9788261167073342e-88
1.1929422521760818e-05,1.9788261166896522e-88
1.1931520080772786e-05,1.9788261166719672e-88
1.1933618008600073e-05,1.9788261166542788e-88
1.193571630530753e-05,1.9788261166365879e-88
1.1937814970960021e-05,1.9788261166188933e-88
1.1939914005622416e-05,1.9788261166011957e-88
1.1942013409359598e-05,1.978826116583495e-88
1.1944113182236459e-05,1.9788261165657916e-88
1.1946213324317909e-05,1.9788261165480845e-88
1.1948313835668861e-05,1.9788261165303746e-88
1.1950414716354249e-05,1.9788261165126616e-88
1.1952515966439013e-05,1.9788261164949456e-88
1.1954617585988102e-05,1.978826116477226e-88
1.1956719575066477e-05,1.9788261164595035e-88
1.195882193373912e-05,1.978826116441778e-88
1.1960924662071011e-05,1.9788261164240497e-88
1.196302776012715e-05,1.978826116406318e-88
1.1965131227972544e-05,1.978826116388583e-88
1.1967235065672215e-05,1.978826116370845e-88
1.1969339273291195e-05,1.9788261163531038e-88
1.1971443850894526e-05,1.9788261163353596e-88
1.1973548798547261e-05,1.978826116317612e-88
1.197565411631447e-05,1.978826116299862e-88
1.197775980426123e-05,1.978826116282108e-88
1.1979865862452626e-05,1.9788261162643515e-88
1.1981972290953762e-05,1.9788261162465917e-88
1.1984079089829748e-05,1.9788261162288285e-88
1.198618625914571e-05,1.9788261162110625e-88
1.198829379896678e-05,1.9788261161932935e-88
1.1990401709358103e-05,1.978826116175521e-88
1.199250999038484e-05,1.9788261161577456e-88
1.1994618642112156e-05,1.978826116139967e-88
1.1996727664605237e-05,1.9788261161221855e-88
1.1998837057929273e-05,1.9788261161044003e-88
1.2000946822149464e-05,1.9788261160866125e-88
1.2003056957331031e-05,1.9788261160688214e-88
1.2005167463539195e-05,1.9788261160510273e-88
1.2007278340839195e-05,1.9788261160332298e-88
1.2009389589296282e-05,1.9788261160154292e-88
1.2011501208975716e-05,1.9788261159976258e-88
1.2013613199942771e-05,1.978826115979819e-88
1.2015725562262726e-05,1.978826115962009e-88
1.2017838296000882e-05,1.9788261159441965e-88
1.2019951401222542e-05,1.9788261159263803e-88
1.2022064877993026e-05,1.9788261159085607e-88
1.2024178726377662e-05,1.9788261158907386e-88
1.2026292946441793e-05,1.978826115872913e-88
1.202840753825077e-05,1.9788261158550842e-88
1.2030522501869958e-05,1.9788261158372526e-88
1.2032637837364735e-05,1.9788261158194175e-88
1.2034753544800484e-05,1.9788261158015792e-88
1.2036869624242604e-05,1.9788261157837382e-88
1.203898607575651e-05,1.9788261157658938e-88
1.204110289940762e-05,1.978826115748046e-88
1.2043220095261365e-05,1.9788261157301958e-88
1.2045337663383193e-05,1.9788261157123422e-88
1.204745560383856e-05,1.9788261156944852e-88
1.2049573916692932e-05,1.978826115676625e-88
1.2051692602011791e-05,1.978826115658762e-88
1.2053811659860622e-05,1.9788261156408954e-88
1.2055931090304936e-05,1.978826115623026e-88
1.205805089341024e-05,1.9788261156051536e-88
1.206017106924206e-05,1.9788261155872777e-88
1.2062291617865934e-05,1.978826115569399e-88
1.2064412539347413e-05,1.978826115551517e-88
1.2066533833752049e-05,1.9788261155336315e-88
1.2068655501145422e-05,1.978826115515743e-88
1.2070777541593109e-05,1.9788261154978518e-88
1.2072899955160708e-05,1.9788261154799572e-88
1.2075022741913823e-05,1.9788261154620595e-88
1.2077145901918073e-05,1.9788261154441587e-88
1.2079269435239086e-05,1.9788261154262543e-88
1.20813933419425e-05,1.9788261154083475e-88
1.2083517622093972e-05,1.978826115390437e-88
1.2085642275759164e-05,1.9788261153725236e-88
1.208776730300375e-05,1.978826115354607e-88
1.2089892703893416e-05,1.978826115336687e-88
1.2092018478493862e-05,1.978826115318764e-88
1.2094144626870797e-05,1.978826115300838e-88
1.2096271149089946e-05,1.9788261152829088e-88
1.2098398045217035e-05,1.9788261152649765e-88
1.2100525315317814e-05,1.9788261152470406e-88
1.2102652959458035e-05,1.978826115229102e-88
1.210478097770347e-05,1.9788261152111604e-88
1.2106909370119895e-05,1.978826115193215e-88
1.2109038136773103e-05,1.978826115175267e-88
1.2111167277728895e-05,1.9788261151573158e-88
1.2113296793053085e-05,1.9788261151393612e-88
1.2115426682811497e-05,1.9788261151214035e-88
1.2117556947069973e-05,1.9788261151034427e-88
1.2119687585894356e-05,1.9788261150854786e-88
1.2121818599350509e-05,1.9788261150675115e-88
1.2123949987504302e-05,1.9788261150495412e-88
1.2126081750421618e-05,1.9788261150315682e-88
1.2128213888168358e-05,1.9788261150135915e-88
1.2130346400810421e-05,1.9788261149956118e-88
1.213247928841373e-05,1.9788261149776287e-88
1.2134612551044211e-05,1.9788261149596426e-88
1.2136746188767809e-05,1.9788261149416534e-88
1.2138880201650473e-05,1.978826114923661e-88
1.2141014589758171e-05,1.9788261149056652e-88
1.2143149353156875e-05,1.9788261148876667e-88
1.214528449191258e-05,1.9788261148696647e-88
1.2147420006091276e-05,1.9788261148516596e-88
1.2149555895758982e-05,1.9788261148336514e-88
1.2151692160981716e-05,1.97882611481564e-88
1.215382880182551e-05,1.9788261147976255e-88
1.2155965818356418e-05,1.9788261147796078e-88
1.2158103210640488e-05,1.9788261147615868e-88
1.2160240978743794e-05,1.9788261147435627e-88
1.2162379122732416e-05,1.9788261147255355e-88
1.2164517642672447e-05,1.9788261147075053e-88
1.216665653862999e-05,1.9788261146894714e-88
1.2168795810671159e-05,1.9788261146714348e-88
1.2170935458862082e-05,1.9788261146533948e-88
1.2173075483268899e-05,1.9788261146353517e-88
1.2175215883957757e-05,1.9788261146173056e-88
1.2177356660994821e-05,1.978826114599256e-88
1.2179497814446264e-05,1.9788261145812035e-88
1.218163934437827e-05,1.9788261145631476e-88
1.2183781250857039e-05,1.9788261145450886e-88
1.2185923533948775e-05,1.9788261145270266e-88
1.2188066193719701e-05,1.9788261145089612e-88
1.219020923023605e-05,1.9788261144908927e-88
1.2192352643564062e-05,1.978826114472821e-88
1.2194496433769993e-05,1.978826114454746e-88
1.219664060092011e-05,1.978826114436668e-88
1.2198785145080696e-05,1.978826114418587e-88
1.2200930066318032e-05,1.9788261144005024e-88
1.2203075364698425e-05,1.9788261143824153e-88
1.2205221040288189e-05,1.9788261143643242e-88
1.2207367093153647e-05,1.9788261143462303e-88
1.2209513523361139e-05,1.9788261143281334e-88
1.2211660330977009e-05,1.978826114310033e-88
1.2213807516067617e-05,1.9788261142919295e-88
1.2215955078699339e-05,1.978826114273823e-88
1.2218103018938555e-05,1.978826114255713e-88
1.2220251336851659e-05,1.9788261142376002e-88
1.222240003250506e-05,1.978826114219484e-88
1.2224549105965179e-05,1.9788261142013645e-88
1.2226698557298438e-05,1.978826114183242e-88
1.2228848386571285e-05,1.9788261141651162e-88
1.2230998593850174e-05,1.9788261141469872e-88
1.2233149179201565e-05,1.978826114128855e-88
1.223530014269194e-05,1.9788261141107197e-88
1.2237451484387783e-05,1.9788261140925812e-88
1.2239603204355601e-05,1.9788261140744396e-88
1.2241755302661896e-05,1.9788261140562947e-88
1.2243907779373198e-05,1.9788261140381464e-88
1.2246060634556042e-05,1.9788261140199953e-88
1.2248213868276974e-05,1.9788261140018406e-88
1.225036748060255e-05,1.9788261139836832e-88
1.2252521471599347e-05,1.9788261139655226e-88
1.2254675841333938e-05,1.9788261139473581e-88
1.2256830589872924e-05,1.9788261139291912e-88
1.225898571728291e-05,1.9788261139110206e-88
1.2261141223630509e-05,1.9788261138928472e-88
1.226329710898235e-05,1.9788261138746704e-88
1.2265453373405079e-05,1.97882611385649e-88
1.2267610016965341e-05,1.978826113838307e-88
1.226976703972981e-05,1.9788261138201204e-88
1.2271924441765152e-05,1.9788261138019309e-88
1.2274082223138057e-05,1.9788261137837382e-88
1.2276240383915228e-05,1.9788261137655422e-88
1.2278398924163371e-05,1.9788261137473426e-88
1.2280557843949212e-05,1.9788261137291405e-88
1.2282717143339486e-05,1.978826113710935e-88
1.2284876822400935e-05,1.9788261136927262e-88
1.2287036881200321e-05,1.9788261136745143e-88
1.2289197319804412e-05,1.978826113656299e-88
1.2291358138279988e-05,1.9788261136380804e-88
1.2293519336693842e-05,1.9788261136198588e-88
1.2295680915112783e-05,1.9788261136016343e-88
1.2297842873603626e-05,1.978826113583406e-88
1.2300005212233195e-05,1.9788261135651748e-88
1.2302167931068333e-05,1.9788261135469406e-88
1.2304331030175894e-05,1.9788261135287027e-88
1.230649450962274e-05,1.9788261135104618e-88
1.2308658369475742e-05,1.9788261134922178e-88
1.2310822609801795e-05,1.9788261134739705e-88
1.2312987230667793e-05,1.97882611345572e-88
1.2315152232140647e-05,1.9788261134374663e-88
1.2317317614287277e-05,1.9788261134192095e-88
1.2319483377174625e-05,1.978826113400949e-88
1.232164952086963e-05,1.978826113382686e-88
1.232381604543925e-05,1.9788261133644195e-88
1.2325982950950455e-05,1.9788261133461496e-88
1.2328150237470232e-05,1.9788261133278768e-88
1.2330317905065564e-05,1.9788261133096008e-88
1.2332485953803464e-05,1.9788261132913213e-88
1.2334654383750945e-05,1.9788261132730388e-88
1.2336823194975036e-05,1.978826113254753e-88
1.2338992387542776e-05,1.978826113236464e-88
1.234116196152122e-05,1.9788261132181718e-88
1.234333191697743e-05,1.9788261131998762e-88
1.234550225397848e-05,1.9788261131815778e-88
1.2347672972591459e-05,1.9788261131632755e-88
1.2349844072883465e-05,1.9788261131449704e-88
1.2352015554921612e-05,1.9788261131266625e-88
1.2354187418773015e-05,1.9788261131083507e-88
1.235635966450482e-05,1.9788261130900358e-88
1.2358532292184164e-05,1.978826113071718e-88
1.2360705301878208e-05,1.9788261130533966e-88
1.2362878693654122e-05,1.9788261130350723e-88
1.236505246757909e-05,1.9788261130167446e-88
1.2367226623720302e-05,1.9788261129984138e-88
1.2369401162144966e-05,1.9788261129800794e-88
1.2371576082920295e-05,1.9788261129617425e-88
1.2373751386113522e-05,1.978826112943402e-88
