,Label,Author,Title,Publisher,Year,URL
0,wc12,J. K. Tuli,Weak rates from the Nuclear Wallet Cards,National Nuclear Data Center,2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wc12
1,ec,-,electron capture rates,-,-,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ec
2,wc17,-,Weak rates from the Nuclear Wallet Cards,National Nuclear Data Center,2017,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wc17
3,wc07,J. K. Tuli,weak rates from the Nuclear Wallet Cards,National Nuclear Data Center,2007,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wc07
4,btyk,K Takahashi,Beta-Decay Half-Lives Calculated on the Gross Theory,"ADNDT 12, 101",1973,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=btyk
5,mo03,P. MÃ¶ller,New calculations of gross Î²-decay properties for astrophysical applications: Speeding-up the c,"PRC 67, 055802",2003,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mo03
6,bqa+,P. Moller,theoretical beta decay rates,At. Data Nucl. Data Tables 66,1997,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bqa+
7,mo97,-,-,-,2017,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mo97
8,mo92,P MÃ¶ller,-,-,1992,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mo92
9,bhi+,M. Hirsch,theoretical beta decay rates,Data Nucl. Data Tables 53 165,1995,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bhi+
10,bex+,-,-,-,-,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bex+
11,an06,S. Ando,Radiative neutron capture on a proton at big-bang nucleosynthesis energies,"PRC 74, 025809",2006,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=an06
12,nk06,"Nagai, Y.","Measurement of the 2 H(n, &gamma; ) 3 H reaction cross section between 10 and 550 keV","PRC 74, 025804",2006,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=nk06
13,de04,"Descouvemont, P",Compilation and R-matrix analysis of Big Bang nuclear reaction rates,"ADNDT 88, 203",2004,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=de04
14,ka02,I. Dillman,KADoNiS v0.2,"AIP Conf. Proc. 819, 123",2007,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ka02
15,cf88,G R Caughlan,Thermonuclear Reaction Rates V,"ADNDT 40, 283",1988,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=cf88
16,nacr,Angulo C.,A compilation of charged-particle induced thermonuclear reaction rates,"Nuclear Physics, A656, 3-183",1999,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=nacr
17,mb11,"Mukhamedzhanov, A.M.",Reexamination of the astrophysical S factor for the &alpha;+dâ†’6Li+&gamma; reaction,"PRC 83, 055805",2011,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mb11
18,jz10,Su Jun,"Neutron Spectroscopic Factors of 7Li and Astrophysical 6Li(n,&gamma;)7Li Reaction Rates","Chinese Physics Letters 27, 05",2010,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=jz10
19,ks03,-,KADONIS V0.3 refit 2017,KADoNiS v0.3,2009,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ks03
20,wies,michael wiescher,various,-,2000,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wies
21,cd08,"Cyburt, R.H.","Evaluation of modern He3(a,g)Be7 data","PRC 78, 064614",2008,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=cd08
22,wag,R V Wagoner,Synthesis of the Elements Within Objects Exploding from Very High Temperatures,"ApJSup, 162, 18, 247",1969,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wag
23,bb92,T Rauscher,Production of heavy elements in inhomogeneous cosmologies,"ApJ 429, 499",1994,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bb92
24,fkth,thielemann,theoretical rates calculated with SMOKER,-,1987,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=fkth
