    time    temp    dens
   2.53937571403549E-01   8.30331014380906E-01   2.41287076376436E+04
     nin     zin       y       x
  1    0     7.34686344517961E-01   7.34686344517961E-01
  0    1     1.69737440375785E-12   1.69737440375785E-12
  1    1     5.23473444323946E-11   1.04694688864789E-10
  2    1     6.18007332640473E-08   1.85402199792142E-07
  1    2     4.30814521782945E-23   1.29244356534883E-22
  2    2     7.78090488496022E-05   3.11236195398409E-04
  4    2     1.22987446460898E-11   7.37924678765387E-11
  3    3     2.30328921974564E-24   1.38197353184738E-23
  4    3     1.13202081967198E-13   7.92414573770388E-13
  5    3     1.44540058951668E-13   1.15632047161334E-12
  6    3     1.87122709336118E-06   1.68410438402506E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.14940034477225E-13   1.03446031029502E-12
  6    4     2.32421190352286E-10   2.32421190352286E-09
  7    4     7.41216208110346E-13   8.15337828921380E-12
  8    4     1.68604148649807E-07   2.02324978379769E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     2.61380695907625E-15   2.87518765498387E-14
  7    5     1.62138887361598E-13   1.94566664833918E-12
  8    5     1.13261032265933E-07   1.47239341945713E-06
  9    5     1.43750003661629E-07   2.01250005126281E-06
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     2.91286194059804E-18   3.49543432871765E-17
  7    6     2.45988504742860E-14   3.19785056165718E-13
  8    6     2.77756987873390E-13   3.88859783022746E-12
  9    6     1.61565030675933E-12   2.42347546013900E-11
 10    6     5.53130971478186E-06   8.85009554365097E-05
 11    6     8.36853502186179E-07   1.42265095371650E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     4.90307873730451E-23   6.86431023222631E-22
  8    7     1.43521900946386E-13   2.15282851419578E-12
  9    7     3.93010887880737E-13   6.28817420609180E-12
 10    7     1.90097281400735E-12   3.23165378381250E-11
 11    7     1.71263367085306E-12   3.08274060753551E-11
 12    7     2.01817984302210E-12   3.83454170174199E-11
 13    7     8.33018644803257E-07   1.66603728960651E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     9.57542830208156E-21   1.53206852833305E-19
  9    8     3.86670176203375E-23   6.57339299545738E-22
 10    8     9.30967455835202E-19   1.67574142050336E-17
 11    8     5.29777310681002E-15   1.00657689029390E-13
 12    8     2.36436615369356E-13   4.72873230738712E-12
 13    8     1.65765971639280E-11   3.48108540442489E-10
 14    8     3.75396749458944E-07   8.25872848809676E-06
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
