    time    temp    dens
   1.49849648808996E+00   4.38969244157376E-01   1.17421536288021E+02
     nin     zin       y       x
  1    0     1.26855219487866E-08   1.26855219487866E-08
  0    1     7.70183082074707E-14   7.70183082074707E-14
  1    1     1.01283836298970E-10   2.02567672597939E-10
  2    1     1.81844258975902E-12   5.45532776927706E-12
  1    2     3.53184773182928E-15   1.05955431954878E-14
  2    2     2.60402080563436E-04   1.04160832225374E-03
  4    2     4.20277069450888E-12   2.52166241670533E-11
  3    3     3.49871657946429E-14   2.09922994767857E-13
  4    3     2.61020897085477E-10   1.82714627959834E-09
  5    3     4.28735726892774E-14   3.42988581514219E-13
  6    3     7.42652987850616E-07   6.68387689065555E-06
  3    4     4.88587458206020E-19   3.42011220744214E-18
  5    4     4.64247157557788E-07   4.17822441802009E-06
  6    4     7.31825811796086E-07   7.31825811796086E-06
  7    4     2.70742318500798E-16   2.97816550350878E-15
  8    4     1.58584599186653E-14   1.90301519023983E-13
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     3.56988692750516E-18   3.56988692750516E-17
  6    5     3.61041119873417E-10   3.97145231860758E-09
  7    5     1.84963320265514E-11   2.21955984318617E-10
  8    5     2.25418330053491E-12   2.93043829069538E-11
  9    5     2.21072935523772E-18   3.09502109733280E-17
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     4.97316243681267E-25   5.47047868049393E-24
  6    6     3.75264665116101E-07   4.50317598139321E-06
  7    6     1.53808505345851E-08   1.99951056949607E-07
  8    6     9.19935804734624E-09   1.28791012662847E-07
  9    6     4.49304799733660E-11   6.73957199600490E-10
 10    6     3.55277489602921E-06   5.68443983364673E-05
 11    6     1.10811795108914E-12   1.88380051685153E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.46383922383274E-19   1.90299099098256E-18
  7    7     1.45765825417153E-12   2.04072155584014E-11
  8    7     1.56256720638979E-06   2.34385080958468E-05
  9    7     4.95863022958147E-08   7.93380836733035E-07
 10    7     2.38252228443247E-08   4.05028788353520E-07
 11    7     9.12621660502431E-09   1.64271898890438E-07
 12    7     1.20768982047781E-09   2.29461065890784E-08
 13    7     1.42215929816409E-07   2.84431859632818E-06
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     4.27779065584134E-25   6.41668598376202E-24
  8    8     3.00616026278889E-09   4.80985642046223E-08
  9    8     2.06436333448816E-10   3.50941766862987E-09
 10    8     4.67839268357947E-09   8.42110683044305E-08
 11    8     3.20591181618676E-07   6.09123245075485E-06
 12    8     6.15502901553967E-07   1.23100580310793E-05
 13    8     1.43631613694586E-07   3.01626388758630E-06
 14    8     4.28518724356393E-06   9.42741193584065E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     2.07005409483327E-24   3.51909196121655E-23
  9    9     1.88929409226207E-21   3.40072936607172E-20
 10    9     1.52860150486294E-09   2.90434285923959E-08
 11    9     6.92488567018187E-09   1.38497713403637E-07
 12    9     1.40657234580741E-08   2.95380192619557E-07
 13    9     5.54996500479603E-07   1.22099230105513E-05
 14    9     1.12215871052010E-09   2.58096503419623E-08
