    time    temp    dens
   3.31807949415257E+01   2.07310289039034E-02   1.08156988608628E-02
     nin     zin       y       x
  1    0     3.02555592434799E-10   3.02555592434799E-10
  0    1     8.26058259150282E-12   8.26058259150282E-12
  1    1     9.43320694556164E-11   1.88664138911233E-10
  2    1     2.39857644953282E-12   7.19572934859847E-12
  1    2     1.49237532926014E-14   4.47712598778043E-14
  2    2     2.60401338270683E-04   1.04160535308273E-03
  4    2     1.88208249855733E-23   1.12924949913440E-22
  3    3     1.06184712998026E-12   6.37108277988158E-12
  4    3     2.59239336662822E-10   1.81467535663975E-09
  5    3     6.83757714586203E-18   5.47006171668962E-17
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     7.65080409238646E-20   5.35556286467053E-19
  5    4     1.12628032588869E-06   1.01365229329982E-05
  6    4     7.32045903475262E-07   7.32045903475262E-06
  7    4     4.99506515926138E-13   5.49457167518751E-12
  8    4     1.81179698564248E-23   2.17415638277097E-22
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.87675571835169E-18   1.87675571835169E-17
  6    5     3.66096927296781E-10   4.02706620026459E-09
  7    5     2.61086691791356E-20   3.13304030149628E-19
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.55369657168930E-07   5.46443588602716E-06
  7    6     1.56720350876972E-08   2.03736456140063E-07
  8    6     1.03511480227769E-08   1.44916072318877E-07
  9    6     7.17813938609743E-15   1.07672090791461E-13
 10    6     2.63513249928369E-18   4.21621199885391E-17
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     5.89293084386004E-20   7.66081009701805E-19
  7    7     1.56062665407139E-12   2.18487731569994E-11
  8    7     5.07935265670948E-06   7.61902898506422E-05
  9    7     4.19897594430443E-09   6.71836151088709E-08
 10    7     1.29504560579885E-10   2.20157752985804E-09
 11    7     3.07718199291628E-21   5.53892758724930E-20
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.63101580577381E-25   2.44652370866072E-24
  8    8     1.06956908193367E-07   1.71131053109388E-06
  9    8     1.98948577174600E-09   3.38212581196820E-08
 10    8     1.25552442578086E-08   2.25994396640556E-07
 11    8     1.68241309768796E-07   3.19658488560712E-06
 12    8     1.38271971677640E-07   2.76543943355279E-06
 13    8     2.52020277250202E-10   5.29242582225423E-09
 14    8     2.93605322800719E-10   6.45931710161583E-09
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.87657252697670E-24   3.19017329586039E-23
  9    9     1.29262171386606E-24   2.32671908495891E-23
 10    9     2.12687198263131E-07   4.04105676699950E-06
 11    9     1.89276347262554E-07   3.78552694525108E-06
 12    9     3.00526625141145E-09   6.31105912796404E-08
 13    9     5.61185435858315E-08   1.23460795888829E-06
 14    9     7.16744366504203E-14   1.64851204295967E-12
