    time    temp    dens
   3.66950154571298E+03   1.00000000000000E-02   7.99638547542295E-09
     nin     zin       y       x
  1    0     4.89638821399323E-11   4.89638821399323E-11
  0    1     1.80666155487822E-09   1.80666155487822E-09
  1    1     3.88467283715212E-16   7.76934567430423E-16
  2    1     2.58377389308614E-08   7.75132167925843E-08
  1    2     1.68887658067546E-13   5.06662974202638E-13
  2    2     2.90662130387802E-04   1.16264852155121E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.64077759400907E-08   9.84466556405443E-08
  4    3     2.74852568270115E-09   1.92396797789081E-08
  5    3     8.47321381722702E-24   6.77857105378161E-23
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     6.22803792950473E-21   4.35962655065331E-20
  5    4     1.14965352341834E-06   1.03468817107651E-05
  6    4     7.61595811118364E-07   7.61595811118364E-06
  7    4     2.63821433943773E-21   2.90203577338151E-20
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.62163910845265E-15   7.62163910845265E-14
  6    5     2.30430237154450E-08   2.53473260869895E-07
  7    5     1.91683363963195E-25   2.30020036755834E-24
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77250287459923E-07   5.72700344951908E-06
  7    6     1.65673900363607E-08   2.15376070472689E-07
  8    6     1.17670890309266E-08   1.64739246432973E-07
  9    6     3.09278487269497E-25   4.63917730904245E-24
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     7.45502428375876E-22   9.69153156888638E-21
  7    7     1.86979082031050E-11   2.61770714843470E-10
  8    7     7.34194844188696E-06   1.10129226628304E-04
  9    7     8.69122307491488E-22   1.39059569198638E-20
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.60839429403564E-07   2.57343087045702E-06
  9    8     2.88505068465817E-09   4.90458616391889E-08
 10    8     1.81507309673743E-08   3.26713157412738E-07
 11    8     1.28539330296734E-23   2.44224727563794E-22
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     9.66912379387236E-24   1.74044228289703E-22
 10    9     5.71699232073795E-07   1.08622854094021E-05
 11    9     4.64167972677763E-23   9.28335945355526E-22
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.05850418688324E-06   2.11700837376648E-05
 11   10     2.39681931178350E-07   5.03332055474535E-06
 12   10     8.62057013777241E-06   1.89652543030993E-04
 13   10     1.45798116100057E-18   3.35335667030131E-17
 14   10     1.03258661383133E-13   2.47820787319520E-12
 15   10     1.00000000000000E-99   1.00000000000000E-99
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
