    time    temp    dens
   9.39788368687479E-04   1.28520778554531E+00   2.05046529670939E+11
     nin     zin       y       x
  1    0     8.78551495950306E-01   8.78551495950306E-01
  0    1     2.15919921749825E-19   2.15919921749825E-19
  1    1     4.72172233903344E-18   9.44344467806689E-18
  2    1     1.74244434818311E-11   5.22733304454932E-11
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     1.83822335058007E-11   7.35289340232026E-11
  4    2     2.20284978763487E-07   1.32170987258092E-06
  3    3     1.00000000000000E-99   1.00000000000000E-99
  4    3     2.14536492851626E-23   1.50175544996138E-22
  5    3     2.41319634346082E-23   1.93055707476866E-22
  6    3     7.51227748568645E-12   6.76104973711781E-11
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.79516547160793E-20   1.61564892444713E-19
  6    4     1.21745216440686E-19   1.21745216440686E-18
  7    4     1.46276164193084E-19   1.60903780612392E-18
  8    4     6.56428816038980E-10   7.87714579246776E-09
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     4.16657907824677E-25   4.58323698607145E-24
  7    5     3.31574162483385E-23   3.97888994980062E-22
  8    5     5.38531338451059E-17   7.00090739986377E-16
  9    5     2.98191035188935E-12   4.17467449264509E-11
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.00000000000000E-99   1.00000000000000E-99
  7    6     1.00000000000000E-99   1.00000000000000E-99
  8    6     2.27534065335982E-25   3.18547691470374E-24
  9    6     1.35920938921830E-24   2.03881408382745E-23
 10    6     1.54818055062668E-18   2.47708888100269E-17
 11    6     3.25128551156227E-14   5.52718536965586E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     1.00000000000000E-99   1.00000000000000E-99
  9    7     1.00000000000000E-99   1.00000000000000E-99
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.09831872143163E-25   2.08680557072010E-24
 13    7     3.16283069504794E-17   6.32566139009589E-16
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.00000000000000E-99   1.00000000000000E-99
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     1.00000000000000E-99   1.00000000000000E-99
 11    8     1.00000000000000E-99   1.00000000000000E-99
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.37683148772011E-20   3.02902927298424E-19
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.00000000000000E-99   1.00000000000000E-99
 11    9     1.00000000000000E-99   1.00000000000000E-99
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.00000000000000E-99   1.00000000000000E-99
 13   10     1.00000000000000E-99   1.00000000000000E-99
 14   10     1.00000000000000E-99   1.00000000000000E-99
 15   10     1.00000000000000E-99   1.00000000000000E-99
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     9.94123358622838E-22   3.18119474759308E-20
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     9.38024354599298E-21   3.18928280563761E-19
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
