    time    temp    dens
   1.48118690745474E+02   1.00000000000000E-02   1.21586498841324E-04
     nin     zin       y       x
  1    0     7.32253668588427E-10   7.32253668588427E-10
  0    1     8.28752668209874E-11   8.28752668209874E-11
  1    1     3.31491721281547E-16   6.62983442563094E-16
  2    1     2.58217408170060E-08   7.74652224510179E-08
  1    2     6.82420789289638E-15   2.04726236786891E-14
  2    2     2.70841809655906E-04   1.08336723862362E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.64239370637422E-08   9.85436223824534E-08
  4    3     2.74852470284660E-09   1.92396729199262E-08
  5    3     1.97008279067919E-18   1.57606623254335E-17
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     6.40383344541884E-21   4.48268341179319E-20
  5    4     1.14965353075764E-06   1.03468817768188E-05
  6    4     7.61595806120231E-07   7.61595806120231E-06
  7    4     2.81004583689898E-15   3.09105042058888E-14
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.60458059694547E-15   7.60458059694547E-14
  6    5     2.30430189973021E-08   2.53473208970324E-07
  7    5     4.36103658362578E-20   5.23324390035093E-19
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77250288337860E-07   5.72700346005432E-06
  7    6     1.65673884157574E-08   2.15376049404846E-07
  8    6     1.17670885144495E-08   1.64739239202293E-07
  9    6     7.52309191107797E-20   1.12846378666170E-18
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.27559541007704E-20   5.55827403310016E-19
  7    7     1.86977977146434E-11   2.61769168005007E-10
  8    7     7.34194843764267E-06   1.10129226564640E-04
  9    7     1.22221817208037E-13   1.95554907532860E-12
 10    7     2.60176317635165E-18   4.42299739979781E-17
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     7.35691469972021E-25   1.10353720495803E-23
  8    8     1.60839305900092E-07   2.57342889440147E-06
  9    8     2.88505105578111E-09   4.90458679482789E-08
 10    8     1.81507309431988E-08   3.26713156977579E-07
 11    8     1.34085324826775E-08   2.54762117170873E-07
 12    8     6.29027298051313E-10   1.25805459610263E-08
 13    8     1.32566942304124E-19   2.78390578838659E-18
 14    8     5.69867287141581E-24   1.25370803171148E-22
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     5.75407074111848E-25   9.78192025990142E-24
  9    9     1.40359726364421E-23   2.52647507455957E-22
 10    9     5.58290699432714E-07   1.06075232892216E-05
 11    9     2.30924972670595E-09   4.61849945341190E-08
 12    9     1.10032201527855E-15   2.31067623208495E-14
 13    9     1.78487661411092E-15   3.92672855104402E-14
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
